자치구,동,인구수,여자,남자
종로구,사직동,9630,4335,5295
종로구,삼청동,2741,1312,1429
종로구,부암동,9702,4654,5048
종로구,평창동,18272,8518,9754
종로구,무악동,8245,3823,4422
종로구,교남동,10148,4671,5477
종로구,가회동,4152,1915,2237
종로구,종로1.2.3.4가동,8867,5094,3773
종로구,종로5·6가동,5464,2894,2570
종로구,이화동,7697,3613,4084
종로구,창신1동,5640,3006,2634
종로구,창신2동,8984,4597,4387
종로구,창신3동,6668,3302,3366
종로구,숭인1동,6126,2913,3213
종로구,숭인2동,10266,5048,5218
종로구,청운효자동,12100,5595,6505
종로구,혜화동,18982,8728,10254
중구,소공동,3423,1739,1684
중구,회현동,5394,2793,2601
중구,명동,3726,1654,2072
중구,필동,4630,2365,2265
중구,장충동,5301,2711,2590
중구,광희동,6326,3194,3132
중구,을지로동,1932,1148,784
중구,신당5동,10640,5156,5484
중구,황학동,13481,6364,7117
중구,중림동,12283,6118,6165
중구,신당동,9116,4406,4710
중구,다산동,14193,6860,7333
중구,약수동,16847,7814,9033
중구,청구동,13769,6544,7225
중구,동화동,10389,5003,5386
용산구,후암동,17220,8408,8812
용산구,용산2가동,10779,5270,5509
용산구,남영동,7811,4700,3111
용산구,원효로2동,13839,6513,7326
용산구,효창동,10179,4831,5348
용산구,용문동,11932,5694,6238
용산구,이촌1동,26447,12435,14012
용산구,이촌2동,8310,3883,4427
용산구,이태원1동,8068,4200,3868
용산구,이태원2동,10576,4966,5610
용산구,서빙고동,13879,6659,7220
용산구,보광동,14610,7463,7147
용산구,청파동,20081,9279,10802
용산구,원효로1동,16618,7900,8718
용산구,한강로동,23286,11158,12128
용산구,한남동,22883,11212,11671
성동구,왕십리2동,16730,8061,8669
성동구,마장동,22975,11267,11708
성동구,사근동,13627,6840,6787
성동구,행당1동,14238,6834,7404
성동구,행당2동,23273,10886,12387
성동구,응봉동,15348,7313,8035
성동구,금호1가동,15196,7227,7969
성동구,금호4가동,14419,6852,7567
성동구,성수1가1동,16792,8393,8399
성동구,성수1가2동,12686,6214,6472
성동구,성수2가1동,16138,8405,7733
성동구,성수2가3동,10926,5509,5417
성동구,송정동,10854,5711,5143
성동구,용답동,12474,6389,6085
성동구,왕십리도선동,26959,12736,14223
성동구,금호2.3가동,22801,10820,11981
성동구,옥수동,26173,12205,13968
광진구,화양동,26567,12266,14301
광진구,군자동,21341,10530,10811
광진구,중곡1동,15761,7603,8158
광진구,중곡2동,21650,10158,11492
광진구,중곡3동,16301,8058,8243
광진구,중곡4동,28806,14048,14758
광진구,능동,11602,5342,6260
광진구,구의1동,23481,11168,12313
광진구,구의2동,26891,12943,13948
광진구,구의3동,28756,13585,15171
광진구,광장동,34719,16796,17923
광진구,자양1동,23019,11111,11908
광진구,자양2동,24768,11980,12788
광진구,자양3동,28172,13453,14719
광진구,자양4동,21276,10484,10792
동대문구,회기동,12924,5938,6986
동대문구,휘경1동,16110,7349,8761
동대문구,휘경2동,24857,12330,12527
동대문구,청량리동,19216,9540,9676
동대문구,용신동,33984,16850,17134
동대문구,제기동,26598,13339,13259
동대문구,전농1동,29553,14753,14800
동대문구,전농2동,18747,8985,9762
동대문구,답십리2동,28376,13803,14573
동대문구,장안1동,38712,19103,19609
동대문구,장안2동,32761,16289,16472
동대문구,이문1동,21054,10123,10931
동대문구,이문2동,20364,9809,10555
동대문구,답십리1동,29336,14107,15229
중랑구,면목2동,24449,12161,12288
중랑구,면목4동,19215,9534,9681
중랑구,면목5동,14959,7506,7453
중랑구,면목7동,22027,11029,10998
중랑구,상봉1동,24017,11676,12341
중랑구,상봉2동,20558,9891,10667
중랑구,중화1동,19669,9632,10037
중랑구,중화2동,25280,12946,12334
중랑구,묵1동,34602,16640,17962
중랑구,묵2동,18841,9223,9618
중랑구,망우3동,16539,8293,8246
중랑구,신내1동,38522,18646,19876
중랑구,신내2동,20311,9643,10668
중랑구,면목본동,34129,16836,17293
중랑구,면목3.8동,24989,12359,12630
중랑구,망우본동,35493,17608,17885
성북구,돈암1동,14640,6826,7814
성북구,돈암2동,23817,11276,12541
성북구,안암동,16809,8218,8591
성북구,보문동,15753,7544,8209
성북구,정릉1동,18290,8768,9522
성북구,정릉2동,23130,11147,11983
성북구,정릉3동,16308,8014,8294
성북구,정릉4동,25135,12022,13113
성북구,길음1동,35128,16660,18468
성북구,길음2동,20779,10005,10774
성북구,월곡1동,26408,12688,13720
성북구,월곡2동,19914,9574,10340
성북구,장위1동,24344,11880,12464
성북구,장위2동,13937,6866,7071
성북구,장위3동,15868,7777,8091
성북구,성북동,17023,7907,9116
성북구,삼선동,23428,11084,12344
성북구,동선동,16143,6707,9436
성북구,종암동,40053,19655,20398
성북구,석관동,35773,17659,18114
강북구,번1동,18791,9411,9380
강북구,번2동,15725,7583,8142
강북구,번3동,16751,7823,8928
강북구,수유1동,20740,10194,10546
강북구,수유2동,21323,10134,11189
강북구,수유3동,23516,11617,11899
강북구,삼양동,23611,11779,11832
강북구,미아동,21898,10460,11438
강북구,송중동,29818,14321,15497
강북구,송천동,26497,13089,13408
강북구,삼각산동,31175,14961,16214
강북구,우이동,20578,9903,10675
강북구,인수동,30401,14659,15742
도봉구,쌍문1동,21618,10326,11292
도봉구,쌍문2동,18824,8968,9856
도봉구,쌍문3동,16871,8112,8759
도봉구,쌍문4동,18555,8746,9809
도봉구,방학1동,28813,14299,14514
도봉구,방학2동,19760,9971,9789
도봉구,방학3동,26952,13054,13898
도봉구,창1동,24731,11737,12994
도봉구,창2동,29214,14187,15027
도봉구,창3동,13863,6928,6935
도봉구,창4동,26503,12734,13769
도봉구,창5동,24579,11719,12860
도봉구,도봉1동,21032,10589,10443
도봉구,도봉2동,26785,13070,13715
노원구,월계1동,22153,11453,10700
노원구,월계2동,26521,12738,13783
노원구,월계3동,29883,14234,15649
노원구,공릉2동,42389,20637,21752
노원구,하계1동,27706,13275,14431
노원구,하계2동,21855,10411,11444
노원구,중계본동,23875,11611,12264
노원구,중계1동,26733,12999,13734
노원구,중계4동,19850,9535,10315
노원구,상계1동,38030,18377,19653
노원구,상계2동,20015,9864,10151
노원구,상계5동,23971,11598,12373
노원구,상계8동,22491,10751,11740
노원구,상계9동,20346,9571,10775
노원구,상계10동,18617,8615,10002
노원구,상계3.4동,26033,12939,13094
노원구,상계6.7동,32563,15027,17536
노원구,중계2.3동,34026,15592,18434
노원구,공릉1동,37388,18190,19198
은평구,녹번동,37109,17545,19564
은평구,불광1동,38695,18218,20477
은평구,갈현1동,21768,10631,11137
은평구,갈현2동,28374,13431,14943
은평구,구산동,32338,15798,16540
은평구,대조동,27167,12589,14578
은평구,응암1동,33303,15750,17553
은평구,응암2동,28258,13694,14564
은평구,신사1동,27117,12993,14124
은평구,신사2동,20059,9981,10078
은평구,증산동,15085,7350,7735
은평구,수색동,13246,6501,6745
은평구,진관동,55605,26067,29538
은평구,불광2동,27645,13334,14311
은평구,응암3동,24608,11931,12677
은평구,역촌동,45636,21359,24277
서대문구,천연동,17222,8179,9043
서대문구,홍제1동,23723,11093,12630
서대문구,홍제3동,17490,8400,9090
서대문구,홍제2동,13697,6427,7270
서대문구,홍은1동,22895,11036,11859
서대문구,홍은2동,27089,13004,14085
서대문구,남가좌1동,15610,7458,8152
서대문구,남가좌2동,30758,14678,16080
서대문구,북가좌1동,18007,8651,9356
서대문구,북가좌2동,31671,15449,16222
서대문구,충현동,20722,9978,10744
서대문구,북아현동,16123,7726,8397
서대문구,신촌동,24469,9915,14554
서대문구,연희동,37599,17811,19788
마포구,용강동,21943,10397,11546
마포구,대흥동,15976,7459,8517
마포구,염리동,17742,8347,9395
마포구,신수동,22833,11093,11740
마포구,서교동,26912,11993,14919
마포구,합정동,17631,8140,9491
마포구,망원1동,20258,9467,10791
마포구,망원2동,18723,8749,9974
마포구,연남동,16002,7453,8549
마포구,성산1동,19235,9044,10191
마포구,성산2동,39830,17891,21939
마포구,상암동,31356,14876,16480
마포구,도화동,21269,10147,11122
마포구,서강동,25657,12156,13501
마포구,공덕동,37726,17718,20008
마포구,아현동,25536,11956,13580
양천구,목1동,30696,14776,15920
양천구,목2동,30056,14623,15433
양천구,목3동,22021,10483,11538
양천구,목4동,25441,12412,13029
양천구,신월1동,20668,10559,10109
양천구,신월2동,20714,10083,10631
양천구,신월3동,15277,8065,7212
양천구,신월4동,17897,8723,9174
양천구,신월5동,14714,7301,7413
양천구,신월6동,13871,6771,7100
양천구,신월7동,19739,9621,10118
양천구,신정1동,20337,9911,10426
양천구,신정2동,19520,9582,9938
양천구,신정3동,50271,24395,25876
양천구,신정6동,24531,11923,12608
양천구,신정7동,29030,14011,15019
양천구,목5동,41103,20375,20728
양천구,신정4동,33492,16268,17224
강서구,염창동,41692,20150,21542
강서구,등촌1동,24628,11359,13269
강서구,등촌2동,20247,9862,10385
강서구,등촌3동,30700,14486,16214
강서구,화곡본동,34659,16752,17907
강서구,화곡2동,17995,8683,9312
강서구,화곡3동,21664,10313,11351
강서구,화곡4동,20792,10163,10629
강서구,화곡6동,25167,12122,13045
강서구,화곡8동,24775,11931,12844
강서구,가양1동,34435,15716,18719
강서구,가양2동,13971,6595,7376
강서구,가양3동,15004,6978,8026
강서구,발산1동,36393,17164,19229
강서구,공항동,31297,15832,15465
강서구,방화1동,42879,20894,21985
강서구,방화2동,23523,11617,11906
강서구,방화3동,22790,11026,11764
강서구,화곡1동,52820,25602,27218
강서구,우장산동,42995,20552,22443
구로구,신도림동,36339,17634,18705
구로구,구로1동,21132,10345,10787
구로구,구로3동,25194,12977,12217
구로구,구로4동,23580,11690,11890
구로구,구로5동,32012,15626,16386
구로구,고척1동,22389,11139,11250
구로구,고척2동,26993,13358,13635
구로구,개봉2동,31144,15160,15984
구로구,개봉3동,20602,10020,10582
구로구,오류1동,23064,11166,11898
구로구,수궁동,23656,11664,11992
구로구,가리봉동,13060,7403,5657
구로구,구로2동,30908,15876,15032
구로구,개봉1동,34433,17144,17289
구로구,오류2동,38917,18734,20183
구로구,항동,16561,8091,8470
금천구,가산동,26363,14337,12026
금천구,독산1동,47111,24184,22927
금천구,독산2동,20112,10217,9895
금천구,독산3동,27629,14013,13616
금천구,독산4동,16676,8387,8289
금천구,시흥1동,34402,17113,17289
금천구,시흥2동,21209,10185,11024
금천구,시흥3동,10890,5395,5495
금천구,시흥4동,20904,10327,10577
금천구,시흥5동,19605,9801,9804
영등포구,여의동,33222,15600,17622
영등포구,당산1동,20728,10134,10594
영등포구,당산2동,37960,17781,20179
영등포구,양평1동,18624,9061,9563
영등포구,양평2동,22432,10969,11463
영등포구,신길1동,18747,9581,9166
영등포구,신길3동,17546,8714,8832
