"고유번호","언어","상호명","주소","신주소","전화번호","팩스번호","웹사이트","운영시간","운영요일","휴무일","교통정보","태그","장애인편의시설"
"252","ko","63스퀘어","150-763 서울 영등포구 여의도동 60 ","07345 서울 영등포구 63로 50 (여의도동 63한화생명빌딩) ","1833-7001","","www.63art.co.kr","매일 10:00 - 19:00 아쿠아리움 / 연중무휴 (운영시간 마감 30분 전 입장마감) 매일 10:00 - 20:00 63아트 / 연중무휴 (운영시간 마감 30분 전 입장마감)","월~일","연중무휴","1호선 대방역 6번 출구 셔틀버스 탑승    5호선 여의도역 5번 출구 셔틀버스 탑승    5호선 여의나루역 4번 출구 셔틀버스 탑승 "," 63아쿠아플라넷 63빌딩전망대63스퀘어여의도 63아트63빌딩레스토랑 아쿠아리움 전망대 데이트코스63빌딩","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"72","ko","경복궁","110-820 서울 종로구 세종로 1-1 ","03045 서울 종로구 사직로 161 (세종로 경복궁) ","02-3700-3900","02-3700-3909","http://www.royalpalace.go.kr:8080/","1월 ~ 2월 : 09:00~17:00(입장마감 16:00)  3월 ~ 5월 : 09:00~18:00(입장마감 17:00)  6월 ~ 8월 : 09:00~18:30(입장마감 17:30)  9월 ~ 10월 : 09:00~18:00(입장마감 17:00)  11월 ~ 12월 : 09:00~17:00(입장마감 16:00) ※ 기관 사정에 따라 관람시간 단축 및 조정이 있을 수 있습니다.  ","","화요일","5호선 광화문역 2번 출구 도보 10분 3호선 경복궁 5번 출구 도보 5분","경복궁입장료한국역사적명소서울볼거리서울나들이서울명소서울가볼만한곳경복궁서울관광지서울여행한국전통서울데이트한국문화서울궁궐","장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"6957","ko","경희대학교 자연사박물관","130-701 서울 동대문구 회기동 1 ","02447 서울특별시 동대문구 경희대로 26 자연사박물관","02-961-0142 ","","http://nhm.khu.ac.kr/","10:00~17:00","월-금","-주말 -공휴일","1호선 외대앞 1번 출구 1호선 회기역 1번 출구"," 경희대학교 경희대 회기역유물 경희대자연사박물관 박물관 유럽산암석화성암 전시외대앞역퇴작암자연사박물관","장애인 전용 주차장"
"1900","ko","광화문광장","110-050 서울 종로구 세종로 1-68","03154 서울특별시 종로구 세종대로 172 ","02-120","","http://plaza.seoul.go.kr/gwanghwamun","도심 열린 광장으로 연중 24시간 상시 개방","월~일","연중무휴","3호선 경복궁 67번 출구 외환은행 방향으로 직진  5호선 광화문 1번 2번 8번 출구  1호선 시청 3번 출구 덕수궁을 지나 코리아나 호텔 방향으로 직진  "," 청계천 경복궁 이순신 세종대왕세종문화회관광화문 광화문광장도시 문화 광장","장애인화장실접근가능"
"20550","ko","국립고궁박물관","110-820 서울 종로구 세종로 1-57 ","03045 서울 종로구 효자로 12 (세종로 국립고궁박물관) ","02-3701-7500","","http://www.gogung.go.kr/main.do","10:00~18:00 (입장은 마감 1시간 전까지)","월~일","-1월 1일 -설날 추석 당일","3호선 경복궁역 5번 출구"," 경복궁역 유물 역사 관광지 서울관광 왕실문화 전시국립고궁박물관 문화재 박물관","장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"40770","ko","국립기상박물관"," 서울 종로구 송월동 1-1 ","03178 서울 종로구 송월길 52 (송월동 국립기상박물관) ","070-7850-8493 ","","https://science.kma.go.kr/museum","10:00  - 18:00","화요일 - 일요일","매주 월요일 1월 1일 설날 및 추석 당일","5호선 서대문역 4번 출구","가장오래된측우대날씨측우기측우대국립기상박물관한양도성경희궁100년관측소단풍서울기상관측소벚꽃","장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"433","ko","국립중앙박물관","140-797 서울 용산구 용산동6가 168-6 ","04383 서울 용산구 서빙고로 137 (국립중앙박물관) ","02-2077-9000","","http://www.museum.go.kr/site/main/home","월 화 목 금 일요일 : 10:00 - 18:00  수 토요일 : 10:00 - 21:00  옥외 전시장(정원)은 오전 7시부터 관람하실 수 있습니다. ","","휴관일: 1월1일 설날(1.25.) 추석(10.1.) 상설전시실 정기휴실일 : 매년 4 11월 첫째 월요일 - 2020년 휴실일 : 4.6.(월) / 11.2.(월) ※기획전시실(특별전시 종료시 휴실) 어린이박물관 야외전시장은 정상 개관","4호선·경의중앙선 이촌역 2번 출구 ","유물 시티투어버스 용산구관람 역사 어린이박물관 이촌역 국립 박물관국립중앙 국립중앙박물관","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"35405","ko","국립한글박물관 "," 서울 용산구 용산동6가 168-6 ","04383 서울 용산구 서빙고로 139 (용산동6가 국립한글박물관) ","02-2124-6200","","https://www.hangeul.go.kr/main.do","월 - 일   ","10:00 - 18:00","1월 1일 설날 당일 추석 당일 * 한글도서관 휴관일: 토요일 일요일 공휴일(한글날 제외)","4호선·경의중앙선 이촌역 2번 출구","한글박물관세종대왕한글 훈민정음국립한글박물관","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"11659","ko","국립현대미술관 서울관","110-200 서울 종로구 소격동 165 165","03062 서울 종로구 삼청로 30 (소격동) ","02-3701-9500","","http://www.mmca.go.kr/","월요일 화요일 목요일 금요일 일요일 : 10:00 ~ 18:00 수요일 토요일 : 10:00 ~ 21:00 (18:00 ~ 21:00 야간개장) * 발권시간 : 관람종료 1시간 전까지 가능","월~일","1월1일 설날 추석","3호선 안국 1번 출구에서 북촌길 방면 또는 삼청로 민속박물관 방면  "," 전시 복합문화예술센터광화문문화의거리 현대미술삼청동 미술관안국역소격동국립현대미술관","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"5765","ko","국회의사당","150-701 서울시 영등포구 여의도동 1 ","07233 서울특별시 영등포구 의사당대로 1  (여의도동) ","02-788-2114","02-788-3664","http://www.assembly.go.kr","평일 09:00~18:00 (17:00까지 입장가능) 토요일 09:00~13:00(12:00까지 입장가능)  국회의사당 (10인 이상의 단체)   ※ 12시 참관에 한해 개인참관(10인 미만) 신청 가능","월~토","일요일 공휴일 근로자의 날(5.1) 국회개원기념일(5.31)","9호선 국회의사당 1번 6번 출구"," 국회의사당역 국회의사당 국회참관 국회도서관 민주주의 의원회관인권국회 여의도 역사","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"36","ko","남산서울타워 ","140-022 서울 용산구 용산동2가 산 1-3 ","04340 서울 용산구 남산공원길 105 (용산동2가 YTN서울타워) ","02-3455-9277","","http://www.seoultower.co.kr/","평일 12:00 ~ 21:00 주말/ 공휴일 11:00 ~ 21:00  * 마감시간 30분 전까지 입장가능 * 레스토랑 운영시간은 매장마다 상이하므로 홈페이지 확인바람","매일","연중무휴","3호선 충무로역 2번 출구 02번 버스 탑승 후 서울타워 하차    3호선 동대입구역 6번 출구 02번 탑승 후 서울타워 하차    6호선 이태원역 4번 출구 03번 버스 탑승 후 서울타워 하차  ","서울데이트남산남산서울타워야경케이블카전망대남산타워명동서울야경서울야경명소N서울타워남산타워전망대전망서울데이트장소","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능"
"6668","ko","대한민국역사박물관"," 서울시 종로구 세종로 82-1 대한민국역사박물관 ","03141 서울시 종로구 세종대로 198 (세종로) ","02-3703-9200","02-3703-9216","http://www.much.go.kr","월 화 목 금 일 10:00 - 18:00 / 수 토 10:00 - 21:00","월 - 일","-1월 1일 -설날 -추석 휴관  ","3호선 경복궁 6번 출구 안국역 6번 출구 5호선 광화문 2번 출구 1호선 종각 1번 출구"," 역사체험학습야경 대한민국역사박물관 역사박물관 전망대종각역 광화문 전시경복궁역 박물관독립선언서 광화문역","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"2049","ko","덕수궁","100-120 서울 중구 정동 5-1","04519 서울 중구 세종대로 99 ","02-771-9951","02-771-9953","http://www.deoksugung.go.kr/","09:00 ~ 20:00 (매표 및 입장시간) 21:00 (퇴장시간)","화~일","월요일","2호선 시청 12번 출구 도보 5분 1호선 시청 2번 출구 도보 5분  ","정동돌담길한국궁서울필수여행지덕수궁야간한국여행지덕수궁궁고종의길정동길서울야경서울나들이서울여행서울걷기좋은길궁궐투어덕수궁투어한국역사한국전통","장애인 안내(휠체어 대여 및 기타)장애인화장실"
"1789","ko","도산공원","135-896 서울 강남구 신사동 649-9 649-9","06020 서울 강남구 도산대로45길 20 (도산전시관) ","02-3423-6285","","","24시간 개방  (도산 안창호 기념관 매일 10:00~ 17:00)","월~일","도산 안창호 기념관 1월 1일 명절 연휴 휴무 ","3호선 압구정 2번 3번 출구 도보 10분  ","도산공원 압구정역 전시 도산안창호강남안창호공원 기념관","장애인화장실접근가능"
"26206","ko","동대문역사관 상설전시실 재개관","100-197 서울 중구 을지로7가 2-1 ","04566 서울 중구 을지로 281 (을지로7가 2-1) 동대문역사공원 내 동대문역사관","+82-2-2153-0200","+82-2-2034-0697","http://www.museum.seoul.kr","10:00~18:00","행사기간 담당자 문의","월요일 1월 1일","2호선 동대문역사문화공원 1·2번 출구  지선버스 - 2012 동대문디자인플라자 하차 도보1분","전시상설전시실동대문역사관동대문역사문화공원박물관동대문유물서울역사박물관전시회","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능"
"5815","ko","롯데월드 민속박물관","138-721 서울 송파구 잠실동 40-1 서울 송파구 잠실동 40-1","05554 서울 송파구 올림픽로 240 (잠실동 롯데월드) ","1661-2000","","http://www.lotteworld.com/museum/","11:00~19:00(입장 및 매표 마감시간 18:30)","월~일","","8호선 잠실 3번출구 (롯데월드 쇼핑몰 3층) 2호선 잠실 3번출구 (롯데월드 쇼핑몰 3층)"," 잠실역 궁중의례 민속식당가 전통음식 전시 전통공예품 잠실롯데월드민속박물관 박물관 어린이박물관전통","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"21278","ko","롯데월드타워","138-240 서울 송파구 신천동 29 ","05551 서울 송파구 올림픽로 300 (신천동) ","02-3213-5000","","http://www.lwt.co.kr/","매일 09:00 - 20:30 롯데면세점 연중 무휴 매일 10:00 - 23:00 롯데마트 격주 일요일 휴무 매일 10:00 - 20:00 롯데아쿠아리움 연중 무휴 매일 10:30 - 20:00 에비뉴엘 월 1회 정기 휴무 매일 10:30 - 22:00 쇼핑몰 연중 무휴 서울스카이 평일 10:30 - 22:00 (월~목요일 일요일) 주말 10:30 - 23:00 (금 토 공휴일 前일) ※시설별 상이 (홈페이지 참조)","월~일","연중무휴 ","2호선 잠실역 2번 출구 도보 5분 8호선 잠실역 11번 출구 도보 5분","잠실 전망대서울스카이 백화점 면세점롯데월드타워아쿠아리움 롯데월드","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"1232","ko","리움 미술관 ","140-893 서울 용산구 한남동 742-1 ","04348 서울 용산구 이태원로55길 60-16 (한남동) ","02-2014-6900","","http://leeum.samsungfoundation.org/html/global/main.asp","10:30 ~ 18:00 (매표마감 17:30)","화~일","-월요일 -1월 1일 -설 연휴 -추석 연휴","6호선 한강진역 1번 출구 도보 10분","이태원예술체험리움미술관삼성리움한남동미술관미술관한강진역삼성미술관리움갤러리한남동문화","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"11469","ko","명동관광정보센터","100-793 서울 중구 을지로2가 181 외환은행 본점 별관 1층","04538 서울시 중구 을지로 66 한국외환은행 ","02-778-0333","","http://www.facebook.com/MyeongdongTouristInformationCenter","명동관광정보센터 / 기념품판매관 - 09:00~18:00","","일요일 명절 당일","2호선 을지로입구 5 6번 출구","명동관광정보센터관광정보명동서울관광정보센터을지로입구역안내관광정보센터","접근가능"
"4037","ko","명동성당","100-809 서울 중구 명동2가 1-1 ","04537 서울 중구 명동길 74 (명동성당) ","02-774-1784","","http://www.mdsd.or.kr","","","없음","4호선 명동 5번 8번 출구 도보 10분 2호선 을지로입구 5번 출구 도보 15~20분 2호선 을지로3가 12번 출구 도보 10분"," 명동 성당 종교 가톨릭 명동주교좌성당명동대성당 명동성당 천주교 역사 고딕","엘리베이터장애인 전용 주차장장애인화장실접근가능"
