No.,도서관 구분,도서관명,이용시간,휴관일,전화번호,홈페이지,자치구,주소,책이음,수정일
2051,작은 도서관,&Lounge작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~18:00","둘째·넷째 일요일, 공휴일",070-4239-2722,,동대문구,"서울특별시 동대문구 고산자로36길 3, 경동시장 신관 2층",미참여,
2597,전문 도서관,(사)국민문화연구소 자료실,,,02-765-7651~2,,종로구,서울특별시 종로구 이화동 율곡로13가길 19-5,미참여,2020-10-23
64,공공 도서관,4.19혁명기념도서관,평일 : 09:00~15:30,주말 및 법정 공휴일,02-730-4190,http://library.419revolution.org,종로구,서울특별시 종로구 새문안로 17,미참여,2021-08-28
2724,작은 도서관,5세대sf작은도서관,평일: 13:00~18:00 주말: 휴관,"일요일, 공휴일 휴관",,,강서구,서울특별시 강서구 공항대로 103 마곡엠밸리9단지상가 403호,미참여,2021-08-28
2529,작은 도서관,7단지 작은도서관,평일 : 13;00~17:30,"토,일,공휴일",02-2646-2367,,양천구,서울특별시 양천구 목동로 212(목동),미참여,
2413,작은 도서관,BIBLIOTECA,"월, 화, 수, 목, 금, 토요일 : 10:00~17:001",일요일,,http://,강남구,서울특별시 강남구 도산대로 25길 15-4 1층,미참여,2021-09-24
2587,작은 도서관,Book Bridge 작은 도서관,"화목10:00~15:00,금14:00~18:00 토 : 11:00~17:00, 일 : 11:00~17:0","매주 토요일, 일요일",010-4264-****,,은평구,"서울특별시 은평구 통일로 590, B동 204호",미참여,2021-01-29
2512,작은 도서관,Book積북적도서관,"평일 : 14:00~19:00, 주말 : 14:00~19:00","일요일, 법정공휴일",070-4670-6589,없음,송파구,서울특별시 송파구 가락로 245 진성빌딩 2층 와이즈더샵상가 Y210호,미참여,
155,작은 도서관,CMS영어작은도서관,"평일 : 13:00~18:30, 주말 : 09:00~16:00","토요일, 공휴일",,,강북구,서울특별시 강북구 삼양로74길 70 2층,미참여,
2049,작은 도서관,DMC래미안e편한세상아파트1블럭작은도서관,"평일 : 10:00~21:00, 주말 : (토):10:00~18:00",일요일,02-302-3105,,서대문구,서울특별시 서대문구 수색로 100 1블럭 커뮤니티센터,미참여,
2552,작은 도서관,H HOUSE 라이브러리,,,848-9166,,영등포구,서울특별시 영등포구 시흥대로 595 대림뉴스테이 201호,미참여,
2490,장애인 도서관,IT로 열린도서관,평일 : 09:00~18:00,"토,일,공휴일",02-3471-3434,http://www.itlo.org/,서초구,"서울특별시 서초구 방배로 36, 이삭빌딩 301호",미참여,
2531,작은 도서관,K-Culture 작은도서관,평일:10:00~17:00,"토,일.공휴일",02-2646-0365,,양천구,서울특별시 양천구 목동로3길 57,미참여,
1772,전문 도서관,KBS도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-781-1661,,영등포구,서울특별시 영등포구 여의공원로 13 한국방송공사 내,미참여,2021-08-28
