순번,지식산업센터명,회사명,설립승인일,공장대표주소
1,더리즌밸리, (주)하나자산신탁,20180528,서울특별시 금천구 가산로9길 66 (가산동)
2,LG아파트형공장,(주)LG,20090424,"서울특별시 금천구 가산디지털1로 189 (가산동, (주)LG 가산 디지털센터)"
3,건우정공,(주)건우정공,20080627,"서울특별시 금천구 디지털로 177 (가산동, (주)건우정공)"
4,에스티엑스브이타워,(주)골드랜드리치,20100929,"서울특별시 금천구 가산디지털1로 128 (가산동, STX V-TOWER)"
5,한라시그마밸리,(주)국도테크노타운,20091020,"서울특별시 금천구 가산디지털2로 53 (가산동, 한라시그마밸리)"
6,남성프라자(에이스테크노9차),(주)남성텔레콤,20050822,"서울특별시 금천구 디지털로 130 (가산동, 남성프라자 (에이스9))"
7,(주)동광인터내셔날,(주)동광인터내셔날,20051123,"서울특별시 금천구 가산디지털2로 144 (가산동, 창고)"
8,알에스엠타워,(주)동암씨티,20110818,서울특별시 금천구 가산디지털2로 30 (가산동) (총 2 필지)
9,가산비즈니스센터,(주)동주디앤엠,20110927,"서울특별시 금천구 가산디지털1로 165,  가산비즈니스센터 (가산동)"
10,두앤캔하우스,(주)두앤켄,20021114,"서울특별시 성동구 아차산로 3 (성수동1가, 성수동 아파트형 공장 두앤캔 하우스)"
11,영동테크노타워,(주)두원씨앤디,20050310,서울특별시 성동구 아차산로 103 (성수동2가)
12,코오롱디지털타워빌란트,(주)디지탈타워,20040426,"서울특별시 구로구 디지털로32길 30 (구로동, 코오롱 디지털타워 빌란트) (총 2 필지)"
13,양평동 이노플렉스,(주)래안디앤씨,20080627,"서울특별시 영등포구 양산로 57-5 (양평동3가, 양평동 이노플렉스)"
14,마리오-2패션타워,(주)마리오,20030212,서울특별시 금천구 디지털로9길 23 (가산동)
15,가산동아파트형공장,(주)마리오,20010613,"서울특별시 금천구 디지털로 185 (가산동, 가산동 아파트형공장 )"
16,서울숲 sk v1 타워,(주)메이저아이앤디,20100413,"서울특별시 성동구 성수동2가 284-55번지 ,284-107"
17,가산테라타워,(주)비에이스타,20171215,서울특별시 금천구 디지털로10길 78 (가산동)
18,(주)삼보판매,(주)삼보판매,20051205,서울특별시 금천구 벚꽃로 266 (가산동)
19,(주)삼보판매,(주)삼보판매,20071221,서울특별시 금천구 벚꽃로 266 (가산동)
20,(주)삼우,(주)삼우아트,20030620,"서울특별시 성동구 연무장17길 3 (성수동2가, (주)삼우 아파트형공장)"
21,대륭테크노타운21차,(주)삼정씨엔에스,20170814,서울특별시 금천구 범안로 1126 (가산동)
22,트리플렉스,(주)삼창홀딩스,20180514,서울특별시 영등포구 문래북로 116 (문래동3가)
23,아벨테크노,(주)생보부동산신탁,20160822,서울특별시 강서구 화곡로68길 15 (등촌동)
24,센터플러스,(주)센터인더스트리,20020619,"서울특별시 영등포구 경인로82길 3-4 (문래동1가, 센터플러스)"
25,솔버스 비즈센터,(주)솔버스,20091019,"서울특별시 영등포구 선유서로31길 3 (양평동3가, 솔버스 비즈타워)"
26,수성 위너스,(주)수성엔지니어링,20170410,서울특별시 송파구 문정동 640-7번지 (문정지구 5-6BL)
27,벽산디지털밸리7차,(주)신산디앤아이,20090610,"서울특별시 구로구 디지털로33길 50 (구로동, 벽산 디지털밸리7)"
28,에스비즈니스센터,(주)신성씨앤티,20150610,서울특별시 금천구 가산디지털2로 9 (가산동)
29,IT캐슬2차,(주)썬트리,20080808,"서울특별시 금천구 가산디지털1로 137 (가산동, IT캐슬 2차) (총 3 필지)"
30,아시아미디어타워,(주)아시아인앤씨,20071113,"서울특별시 중구 충무로 29 (초동, 아시아미디어타워)"
31,스타밸리,(주)에이씨티에스,20060530,"서울특별시 금천구 디지털로9길 99 (가산동, 스타밸리)"
32,휴먼테코,(주)엘에스엘이스테이트,20080917,"서울특별시 성동구 아차산로17길 57 (성수동2가, 일신건영휴먼테코) (총 2 필지)"
33,우림이비즈센터,(주)우림휴먼텍,20011210,"서울특별시 구로구 디지털로33길 28 (구로동, 우림이비지센타)"
34,우림라이온스밸리2차,(주)우림휴먼텍,20060728,"서울특별시 금천구 가산디지털1로 2 (가산동, 우림라이온스밸리 2차)"
35,선유도 우림라이온스밸리B,(주)우림휴먼텍,20090930,"서울특별시 영등포구 양평로21가길 19 (양평동5가, 선유도 우림라이온스밸리B)"
36,선유도 우림라이온스밸리A,(주)우림휴먼텍,20090929,"서울특별시 영등포구 양평로 149 (양평동5가, 선유도 우림라이온스밸리A)"
37,우영테크노센타,(주)우영엔지니어링,19960513,"서울특별시 성동구 아차산로 144 (성수동2가, 우영테크노센터)"
38,송파유탑테크밸리,(주)유탑건설,20140707,서울특별시 송파구 문정동 651-14번지 (문정도시개발구역 3-12BL)
39,이글타운아파트형공장,(주)이글벳,20021212,"서울특별시 성동구 광나루로6길 20 (성수동2가, 이-글타운아파트형공장)"
40,IT미래타워,(주)일신통신,20070302,"서울특별시 금천구 디지털로9길 33 (가산동, IT 미래 TOWER)"
41,JEI PLATZ,(주)재능유통,20070208,"서울특별시 금천구 가산디지털1로 186 (가산동, JEI PLATZ)"
42,메가벤처타워,(주)조양그린,20031222,"서울특별시 영등포구 문래로20길 60 (문래동3가, 메가벤처타워)"
43,지영플라자,(주)지영상사,20010829,"서울특별시 성동구 아차산로5길 10 (성수동2가, 지영프라자)"
44,(주)진도에프앤,(주)진도에프앤,20060608,"서울특별시 금천구 벚꽃로 234 (가산동, 에이스하이엔드타워6)"
45,천강,(주)천강종합건설,19950601,"서울특별시 구로구 구로중앙로 218 (신도림동, 천강아파트형공장)"
46,파트너스타워,(주)케이알제이호개발전문위탁관리부동산투자회사,20091023,"서울특별시 금천구 가산디지털1로 83 (가산동, 파트너스 타워1)"
47,서울숲코오롱디지털타워2차,(주)케이티,20100727,"서울특별시 성동구 성수이로7길 27 (성수동2가, 서울숲 코오롱 디지털타워2)"
48,KnK디지털타워,(주)케이티,20100827,"서울특별시 영등포구 영신로 220 (영등포동8가, KnK디지털타워)"
49,강서 한화비즈메트로 일차,(주)코람코자산신탁,20100712,"서울특별시 강서구 양천로 551-17,  외 2필지 (가양동)"
50,강서 한화비즈메트로 이차,(주)코람코자산신탁,20100712,서울특별시 강서구 양천로 551-24 (가양동)
51,에이스가산타워,(주)코람코자산신탁,20190227,"서울특별시 금천구 디지털로 121 (가산동, 에이스가산타워)"
52,강서IT밸리,(주)코빅코리아,20101126,"서울특별시 강서구 화곡로68길 82,  강서IT밸리 (등촌동)"
53,에이스태세라타워,(주)태평세라믹스,20180502,서울특별시 금천구 가산디지털2로 46 (가산동)
54,PNS홈즈타워,(주)피엔에스홈즈,20161019,서울특별시 송파구 문정동 639-3번지 (문정도시개발구역 10-2블럭)
55,서울숲 한라에코밸리,(주)하나다올신탁,20120730,"서울특별시 성동구 뚝섬로1길 25,  외 1필지(656-1222) (성수동1가)"
56,서울숲 드림타워(삼공),(주)하나다올신탁,20121031,"서울특별시 성동구 성수이로 66, 309-51(추가) (성수동2가, 성수동2가 323 지식산업센터)"
57,가산W센터,(주)하나자산신탁,20151211,서울특별시 금천구 가산디지털1로 181 (가산동)
58,에이스비즈포레,(주)하나자산신탁,20170727,서울특별시 금천구 가산디지털2로 173 (가산동)
59,성수역 현대 테라스타워,(주)하나자산신탁,20181210,"서울특별시 성동구 연무장5가길 1 (성수동2가, 제일사진인쇄(주))"
60,문정 현대지식산업센터Ⅰ-2,(주)하나자산신탁,20160224,서울특별시 송파구 문정동 644-2번지 (문정 특별계획구역 6-2BL) 외 1필지
61,문정 현대지식산업센터Ⅰ-1,(주)하나자산신탁,20160224,서울특별시 송파구 문정동 644번지 (문정 특별계획구역 6-1BL) 외 1필지
62,그린빌딩지식산업센터,(주)한국종합공해시험연구소,20190403,서울특별시 구로구 경인로53나길 23 (구로동)
63,엘리시아,(주)한국토지신탁,20080923,"서울특별시 금천구 디지털로 173 (가산동, 엘리시아)"
64,서울숲IT밸리,(주)한국토지신탁,20130405,서울특별시 성동구 성수동1가 13-170번지 외 9필지
65,한섬아파트형공장,(주)한섬,20060105,"서울특별시 금천구 디지털로9길 57 (가산동, (주)한섬 금천공장)"
66,한스빌딩,(주)한스 바이오메드,20170223,서울특별시 송파구 문정동 640-3번지
67,풍림테크원,(주)협성뉴산업타워,20051006,"서울특별시 성동구 성수이로18길 31 (성수동2가, 풍림테크원)"
68,서울숲 코오롱 1차,KB 부동산신탁,20080410,서울특별시 성동구 성수일로4길 25 (성수동2가)
69,더루벤스밸리,KB부동산신탁(주),20110607,"서울특별시 금천구 가산디지털1로 1,  더루벤스밸리 (가산동)"
70,가든파이브웍스,SH공사,20081127,"서울특별시 송파구 충민로 52,  외21필지 (문정동)"
71,SK V1 center,SK건설(주) 외 1,20120926,"서울특별시 영등포구 당산로41길 11, SK V1 center (당산동4가)"
72,SK,SK테크노빌딩,19960531,"서울특별시 성동구 성수일로 55 (성수동1가, SK테크노빌딩)"
73,SK트윈테크타워,SK트윈테크타워,20020322,"서울특별시 금천구 가산디지털1로 119 (가산동, SK트윈테크타워)"
74,이-스페이스,e-SPACE관리운영위원회,20001218,"서울특별시 구로구 디지털로27길 36 (구로동, 이-스페이스)"
75,대성 디큐브폴리스,가산브이프로젝트 금융투자(주),20091209,"서울특별시 금천구 서부샛길 606,  외 24필지 (가산동)"
76,벽산/경인디지털밸리2차,경인정밀(주),20030625,"서울특별시 금천구 가산디지털2로 184 (가산동, 벽산/경인디지털밸리2)"
77,벽산디지털밸리3차,광동제약(주),20040713,"서울특별시 구로구 디지털로 271 (구로동, 벽산디지털밸리III)"
78,더스카이밸리,국제자산신탁(주),20160808,서울특별시 금천구 가산디지털1로 142 (가산동)
79,문정역 테라타워,국제자산신탁(주),20140917,서울특별시 송파구 문정동 651번지 (문정지구 특별계획구역 3-1BL)
80,벽산디지털밸리5차,군인공제회,20051007,"서울특별시 금천구 벚꽃로 244 (가산동, 벽산디지털밸리V)"
81,삼성IT밸리,금성디지탈밸리(주),20070126,"서울특별시 구로구 디지털로33길 27 (구로동, 삼성IT밸리)"
82,코오롱싸이언스밸리1차,금은산업개발(주),20050708,"서울특별시 구로구 디지털로34길 43 (구로동, 코오롱싸이언스밸리1차)"
83,코오롱싸이언스밸리2차,금은산업개발(주),20060109,"서울특별시 구로구 디지털로34길 55 (구로동, 코오롱싸이언스밸리2차) (총 3 필지)"
84,남영아파트형공장(변경전:아주),남영아파트형공장,20050127,"서울특별시 성동구 성수일로 84 (성수동2가, 남영아파트형공장)"
85,대군인더스타운,대군토건(주),19960509,"서울특별시 성동구 연무장17길 14 (성수동2가, 대군인더스 타운)"
86,대동,대동상사,20010201,서울특별시 금천구 범안로9길 58 (독산동)
87,대륭테크노타운2차,대륭2차운영협의회,19990610,"서울특별시 금천구 가산디지털1로 33-33 (가산동, 대륭테크노타운2)"
88,대륭테크노타운8차,대륭8차 운영위원회,20040608,"서울특별시 금천구 가마산로 96 (가산동, 대륭테크노타운8)"
89,대륭테크노타운 7차,대륭기업,20021024,"서울특별시 금천구 서부샛길 638 (가산동, 대륭테크노타운7)"
90,대륭테크노타운20차,대륭디벨로퍼(주),20170418,"서울특별시 금천구 가산디지털1로 5 (가산동, 2동)"
91,대륭테크노타운 5차,대륭종합건설(주),20010508,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5) (총 3 필지)"
92,대륭포스트타워3차,대륭종합건설(주),20050513,"서울특별시 구로구 디지털로34길 27 (구로동, 대륭포스트타워Ⅲ)"
93,대륭테크노타운3차,대륭종합건설(주),20000602,"서울특별시 금천구 가산디지털2로 115 (가산동, 대륭테크노타운Ⅲ)"
94,대륭테크노타운12차,대륭종합건설(주),20070316,"서울특별시 금천구 가산디지털2로 14 (가산동, 대륭테크노타운12차)"
95,대륭테크노타운13차,대륭종합건설(주),20080528,"서울특별시 금천구 가산디지털1로 24 (가산동, 대륭테크노타운13차)"
96,대륭포스트타워2차,대륭종합건설(주),20051027,"서울특별시 구로구 디지털로 306 (구로동, 대륭포스트타워2) (총 5 필지)"
97,대륭테크노타운19차,대륭종합건설(주),20171107,서울특별시 금천구 가산디지털2로 70 (가산동)
98,대륭테크노타운 6차,대륭종합건설(주),20030516,"서울특별시 금천구 서부샛길 648,  대륭테크노타운6차 (가산동)"
99,대륭테크노타운18차,대륭테크노타운18차 운영위원회,20161222,"서울특별시 금천구 가산디지털1로 19 (가산동, 대륭테크노타운18차)"
100,대륭포스트타워1차,대륭포스트1차 입주자대표운영위원회,20051006,"서울특별시 구로구 디지털로 288 (구로동, 대륭포스트타워1)"
101,대륭포스트타워5차,대륭포스트타워5차 운영위원회,20090202,"서울특별시 금천구 디지털로9길 68 (가산동, 대륭포스트타워 5차)"
