순번,종류,번호,가로시설물,설치일,공사구분,공사날짜,공사내용,이력변경,좌표(Poi_X),좌표(Poi_Y),전원투입,행정구,지번 주소,도로명 주소,위치명
1,쉘터형 택시 승차대,A-02,표준형TS,2010-10-02,이설,2017-03-25,신분당선 공사로 이설,3월 이설,127.02229,37.50828,OK,강남구,논현동 164,강남대로 518,어반테일러 앞
2,쉘터형 택시 승차대,A-03,표준형TS,2010-10-14,,,,,127.02127,37.51668,,강남구,논현동 2-15,도산대로 114,수일빌딩 앞(수협은행 앞)
3,쉘터형 택시 승차대,A-04,스마트TS,2010-10-29,교체,2019-06-05,표준형TS => 스마트TS 교체 설치,6월 교체,127.022959,37.518136,OK,강남구,신사동 537-8,도산대로 133,가로수길 영동빌딩 (올리브영 가로수길 중앙점 앞)
4,쉘터형 택시 승차대,A-08,표준형TS,2010-10-07,,,,,127.03552,37.5137,OK,강남구,논현동 248,언주로 640,임페리얼팰리스호텔 앞
5,쉘터형 택시 승차대,A-09,표준형TS,2002-01-01,교체,2021-05-28,21년도 택시승차대 5단계 개선정비,5월 교체,127.05136,37.51688,OK,강남구,삼성동 52-17,삼성로 646,한국건설기술인협회별관 좌측(상아아파트 건너)
6,쉘터형 택시 승차대,A-10,표준형TS,2010-09-29,,,,,127.05093,37.51729,,강남구,삼성동 21,삼성로 649,상아아파트 4동 앞
7,쉘터형 택시 승차대,A-11,표준형TS,2010-10-29,,,,     ,127.03311,37.525,OK,강남구,신사동 623-5,언주로 835,삼원가든 앞
8,쉘터형 택시 승차대,A-12,표준형TS,2010-10-07,,,,,127.03547,37.51807,OK,강남구,논현동 105-7,언주로 726,논현삼계탕 앞(서울세관 건너)
9,쉘터형 택시 승차대,A-13,TS,2002-01-01,,,,,127.03746,37.50988,,강남구,논현동 275,언주로 116길,논현동부센트레빌 103동 앞
10,쉘터형 택시 승차대,A-14,표준형TS,2010-09-30,,,,,127.04885,37.51868,OK,강남구,청담동 46-16,학동로 435,언고신관빌딩(삼성동롯데아파트 101동 건너)
11,쉘터형 택시 승차대,A-15,TS(Stern),2015-04-28,,,,,127.06058,37.51303,OK,강남구,삼성동 111-8,영동대로 513,코엑스 아트홀 앞
12,쉘터형 택시 승차대,A-16,표준형TS,2010-10-04,,,,,127.06234,37.51098,,강남구,삼성동 167,영동대로 512,한국전력 우측
13,쉘터형 택시 승차대,A-17,표준형TS,2010-11-23,,,,,127.05613,37.49127,,강남구,대치동 500,남부순환로 2912,그랑프리엔상가 앞
14,쉘터형 택시 승차대,A-20,표준형TS,2010-10-04,,,,,127.04776,37.50374,OK,강남구,역삼동 804,테헤란로 156,빅토리아빌딩 앞(선릉역 5번출구)
15,쉘터형 택시 승차대,A-22,표준형TS,2002-01-01,교체,2021-05-22,21년도 택시승차대 5단계 개선정비,5월 교체,127.0643,37.49484,,강남구,대치동 509,삼성로 156,서울대곡초교 앞(대치역 6번출구)
16,쉘터형 택시 승차대,A-23,표준형TS,2010-11-23,이설,2021-05-22,21년도 택시승차대 5단계 개선정비,5월 이설,127.06101,37.49331,,강남구,대치2동 507,남부순환로 2936,선경종합상가 앞(선경아파트 1동)
17,쉘터형 택시 승차대,A-24,TS,2002-01-01,,,,,127.06273,37.49445,,강남구,대치1동 599,남부순환로 2947,하나대투증권 대치역지점 앞(대치역 2번출구)
18,쉘터형 택시 승차대,A-27,표준형TS,2010-10-01,,,,,127.06472,37.50644,,강남구,삼성동 1008-3,영동대로 416,코스모타워 앞
19,쉘터형 택시 승차대,A-28,표준형TS,2010-10-07,,,,,127.03057,37.49882,OK,강남구,역삼동 824-3,테헤란로 114,동경빌딩 앞(올레서비스센터 강남점)
20,쉘터형 택시 승차대,A-30,표준형TS,2010-11-24,,,,,127.05114,37.4896,OK,강남구,도곡동 467-7,남부순환로 2804,아카데미스위트 빌딩 앞(타워팰리스2차 우측)
21,쉘터형 택시 승차대,A-31,TS,2002-01-01,,,,,127.04885,37.49484,OK,강남구,도곡동 538,도곡로 320,래미안도곡카운티아파트 101동 앞
22,쉘터형 택시 승차대,A-32,표준형TS,2010-10-03,,,,,127.04141,37.50233,,강남구,역삼동 676,테헤란로 237,르네상스호텔 앞
23,쉘터형 택시 승차대,A-33,표준형TS,2010-10-30,,,,,127.04807,37.50408,OK,강남구,역삼동 708,테헤란로 328,현정빌딩 앞(선릉역 4번출구)
24,쉘터형 택시 승차대,A-35,표준형TS,2010-11-24,,,,,127.05524,37.49695,OK,강남구,대치동 408,도곡로 408,고용노동부 서울강남지청 앞
25,쉘터형 택시 승차대,B-03,표준형TS,2019-10-24,신설,2017-01-12,구청 요청으로 신규 설치,10월 신설,127.16375,37.556627,,강동구,고덕동 299,고덕로,고덕그라시움 107동 앞
26,쉘터형 택시 승차대,B-05,TS,2002-01-01,,,,,127.12901,37.52369,,강동구,성내3동 448-11,강동대로 207,삼성SDS 성내사옥 앞
27,쉘터형 택시 승차대,B-07,표준형TS,2002-01-01,교체,2021-05-21,21년도 택시승차대 5단계 개선정비,5월 교체,127.13698,37.53029,,강동구,성내3동 397-10,양재대로 1393,삼진빌딩 앞
28,쉘터형 택시 승차대,B-08,표준형TS,2002-01-01,교체,2021-05-21,21년도 택시승차대 5단계 개선정비,5월 교체,127.12172,37.52703,OK,강동구,성내동 459-6,강동대로 143-22,채선당 올림픽공원점 앞(청구빌라트 옆)
29,쉘터형 택시 승차대,B-16,TS,2002-01-01,,,,,127.14254,37.54616,,강동구,천호동 42,양재대로 1571,홈플러스 강동점앞(굽은다리역 2번 출구 방향)
30,쉘터형 택시 승차대,B-17,표준형TS,2012-04-13,,,,,127.14826,37.55476,,강동구,상일동149,동남로 892,강동경희대학교병원앞(장례식장 건물 앞)
31,쉘터형 택시 승차대,C-03,TS(시범),2002-01-01,,,,,127.02421,37.63159,,강북구,미아동 189-14,도봉로 260,운산빌딩 앞
32,쉘터형 택시 승차대,C-04,표준형TS,2012-07-04,,,,,127.03024,37.61466,,강북구,미아동 70-6,도봉로 62,롯데백화점 미아점 앞
33,쉘터형 택시 승차대,D-01,표준형TS,2011-09-23,,,,,126.84906,37.55134,OK,강서구,화곡동 998-9,화곡로 301,강서구청 건너
34,쉘터형 택시 승차대,D-09,표준형TS,2011-09-22,,,,,126.83706,37.55854,OK,강서구,내발산동 644,공항대로 272,발산역8번출구
35,쉘터형 택시 승차대,D-14,표준형TS,2011-09-23,,,,,126.83977,37.5585,,강서구,등촌동 673-6,공항대로 291,성원sante view빌딩 앞(국민연금공단 옆)
36,쉘터형 택시 승차대,D-15,표준형TS,2011-09-22,,,,,126.83709,37.55881,,강서구,가양1동 970,공항대로 267,발산역9번출구
37,쉘터형 택시 승차대,D-18,표준형TS,2011-09-21,,,,,126.83844,37.54363,OK,강서구,화곡5동 1031-12,강서로 194,유광사 여성병원 앞
38,쉘터형 택시 승차대,D-21,표준형TS,2011-12-30,,,,,126.83977,37.5585,OK,강서구,가양동 451-3,동서대로 1700,강나루현대홈타운 101동 앞(가양역 5번 출구 방향)
39,쉘터형 택시 승차대,D-22,표준형TS,2011-12-29,,,,,126.83706,37.55854,OK,강서구,방화동 829-10,금낭화로 132,우장산역 2번출구 뒤편(우정산E편한세상상가 앞)
