,상호명,위도,경도,행정동
0,63스퀘어,37.5198995549038,126.940200432343,여의도동
1,경복궁,37.5776087830657,126.976896737645,세종로
2,경희대학교 자연사박물관,37.5978344312692,127.055201028009,이문동
3,광화문광장,37.572602860810186,126.97691639601517,세종로
4,국립고궁박물관,37.576635285174,126.974823115204,세종로
5,국립기상박물관,37.5714163900279,126.966264876069,신문로2가
6,국립중앙박물관,37.5240180044574,126.98021428621992,용산동6가
7,국립한글박물관 ,37.5211853774917,126.980977473728,용산동6가
8,국립현대미술관 서울관,37.578627489574416,126.9800979573524,소격동
9,국회의사당,37.53190827313679,126.91416237338858,여의도동
10,남산서울타워 ,37.551279740966,126.988217046052,용산동2가
11,대한민국역사박물관,37.573986969296435,126.97785780450153,세종로
12,덕수궁,37.5655638710672,126.974894754989,정동
13,도산공원,37.52455769460598,127.03528760485077,신사동
14,동대문역사관 상설전시실 재개관,None,None,
15,롯데월드 민속박물관,37.51167139884303,127.09788298321479,잠실동
16,롯데월드타워,37.51260447840551,127.10255558658325,신천동
17,리움 미술관 ,37.53833657002706,126.99911744955163,한남동
18,명동관광정보센터,37.5651511309814,126.985013903885,을지로2가
19,명동성당,37.56318453011765,126.98735609674071,명동2가
20,몽촌역사관,37.52385065871324,127.12427977288019,방이동
21,문화역서울 284,37.5558828120624,126.971588794949,봉래동2가
22,봉은사 ,37.63780878230513,126.94335545006767,진관동
23,서울 한양도성,37.58079664277135,127.00863578989066,삼선동1가
24,서울도서관 (옛 서울시청사),None,None,
25,서울도시건축전시관,37.56690492421112,126.97670535593808,태평로1가
26,서울로7017 여행자터미널,37.55628931036153,126.9686166748801,남대문로5가
27,서울시립미술관 (서소문본관),37.5638841095158,126.973500865717,서소문동
28,서울역사박물관,37.5705003227005,126.970546366796,신문로2가
29,서울역사박물관 온라인 교육 서비스,None,None,
30,선정릉(선릉),37.5091105328378,127.04892851392,삼성동
31,송은(SONGEUN),37.5241627897077,127.04411917168424,청담동
32,송파관광정보센터,37.5118643204974,127.10408152472,신천동
33,쇳대박물관,37.57742154971932,127.008207479111,이화동
34,스마트서울 전시관,37.509434017997116,126.89060710219647,신도림동
35,스페이스 씨,37.524130447526,127.032756774322,신사동
36,양화진외국인선교사묘원,37.5465363146722,126.910929600004,합정동
37,연세대학교 스팀슨관&언더우드관&아펜젤러관,37.5660945923844,126.938248358592,신촌동
38,예술가의 집 (구 서울대학교 본관),None,None,
39,예술의 전당 한가람미술관,37.4804281441544,127.014236530093,서초동
40,운현궁 ,37.576226410093,126.987085596535,운니동
41,이음피움 봉제역사관,37.57481750914515,127.01032861126887,창신동
42,전쟁기념관,37.53694681778275,126.97712765885771,용산동1가
43,조계사,37.57395881968132,126.98185608504004,수송동
44,종묘,37.5761080433804,126.994212979827,훈정동
45,창경궁,37.5794165384496,126.995199911733,와룡동
46,창경궁 대온실 ,37.5830168543695,126.993999600727,와룡동
47,창덕궁,37.58187064743792,126.99164485515004,와룡동
48,한성백제박물관,37.5154126785182,127.120895017165,방이동
