,도서관명,위도,경도,행정동
0,4.19혁명기념도서관,37.56741637359157,126.96770760739012,평동
1,가락몰도서관,37.495062657708914,127.11541617178486,가락동
3,가온도서관,37.556455162939926,127.01084215378374,신당동
4,가좌행복작은도서관,37.5691531056173,126.91330238876,성산동
6,강남구립못골도서관,37.4715326281388,127.09655319056951,자곡동
7,강남역삼푸른솔도서관,37.49641755756527,127.03200170271194,역삼동
8,강동구립강일도서관,37.565123328472204,127.17375708642582,강일동
9,강동구립둔촌도서관,37.53176276563934,127.14813775507461,둔촌동
10,강동구립성내도서관,37.532860698473,127.133341328252,성내동
11,강동구립암사도서관,37.5528340129829,127.133367851564,암사동
12,강동구립천호도서관,37.5406516788332,127.134106523559,천호동
13,강동구립해공도서관,37.54386324306552,127.12554412122884,천호동
14,강북문화정보도서관,37.62489854721974,127.03601125702522,번동
15,강북청소년문화정보도서관,37.6230370062297,127.021685508671,미아동
16,강서영어도서관,37.5345516033599,126.860953319985,화곡동
17,개봉도서관,37.48906560958533,126.85890398698226,개봉동
18,개봉어린이도서관,37.496764724776,126.855930077729,개봉동
19,개울건강도서관,37.5259761251494,126.856638670181,신정동
20,거마도서관,37.493600802540946,127.14666468180349,거여동
21,곰달래도서관,37.52911310500611,126.84915907010613,화곡동
23,공릉행복발전소공릉도서관,37.6220542853083,127.072803624022,공릉동
24,관악중앙도서관,37.46705411409455,126.94476867051847,신림동
25,광진정보도서관,37.55106994644599,127.11060915357692,광장동
26,구로기적의도서관,37.506736031998194,126.87737724082697,신도림동
27,구로꿈나무도서관,37.4895646781022,126.886405992083,구로동
28,구립김영삼도서관,37.5054033017348,126.94988637914703,상도1동
29,구산동도서관마을,37.6094957710892,126.9130834335,구산동
30,구의제3동도서관,37.5380034331623,127.091965863206,구의동
31,군자동도서관,37.55549185293039,127.07538820877974,군자동
32,궁동어린이도서관,37.5021640678149,126.829270522694,궁동
34,글마루한옥어린이도서관,37.5069042355873,126.845627548004,개봉동
35,글빛도서관,37.6037557517832,127.02219631446,길음동
36,글빛정보도서관,37.4862606702991,126.959715810473,봉천동
37,금천구립가산도서관,37.47350505908624,126.89212800300261,가산동
38,금천구립금나래도서관,37.45646657552785,126.89573760091004,시흥동
39,금천구립독산도서관,37.4675376244392,126.908061745875,독산동
40,금천구립시흥도서관,37.449658360743335,126.91462938852946,시흥동
41,길꽃어린이도서관,37.5786572090441,126.813862703073,방화3동
42,꿈꾸는어린이도서관,37.5473597241619,126.873336510192,염창동
43,꿈마을도서관,37.4845070213314,126.953995599491,봉천동
44,남가좌새롬어린이도서관,37.5783110346573,126.924087279318,남가좌2동
45,남산타운어린이도서관,37.5512764799889,127.00760482589,신당동
46,내곡도서관,37.45211750606295,127.05442922269215,신원동
47,내를건너서숲으로도서관,37.59164512011434,126.90802704867765,신사동
48,노원어린이도서관,37.6582137734171,127.076633178109,중계4동
49,노원중앙도서관,37.66106965639641,127.06500809784696,상계동
50,논현도서관,37.517169787476796,127.03719238456367,논현동
51,다산성곽도서관,37.5516262305673,127.004390902135,신당동
52,달빛마루도서관,37.60439608687779,127.03132878074689,하월곡동
53,대림도서관,37.50433205158517,126.8960646480413,대림동
54,대방어린이도서관,37.5029809896133,126.925244793887,대방동
55,대치도서관,37.4960532414605,127.063856083151,대치동
56,도곡정보문화도서관,37.4881641147195,127.038742912705,도곡동
57,도봉기적의도서관,37.68084438252608,127.05020873112919,도봉동
58,도봉문화정보도서관,37.6445499352563,127.043999919307,창1동
59,도봉아이나라도서관,37.659049979674,127.049489134922,창4동
60,돌마리도서관,37.50355740676333,127.10368546923891,석촌동
61,동대문구답십리도서관,37.5732251013776,127.050292608064,답십리동
62,동대문구정보화도서관,37.5898911041047,127.047328254504,청량리동
63,동대문책마당,37.5744184358972,127.039747507296,용두동
64,동작어린이도서관,37.5091900042695,126.943412067095,노량진2동
65,둘리도서관,37.6521664216185,127.027591147992,쌍문동
66,등빛도서관,37.562405162431354,126.842391494442,등촌동
67,마포구립서강도서관,37.5477685977495,126.932207063747,창전동
68,마포중앙도서관,37.563736903564376,126.90811796211945,성산동
69,마포푸르메어린이도서관,37.5844738246742,126.880533140995,상암동
70,명성교회도서관,37.5469117922772,127.146271160771,명일동
71,목마교육도서관,37.53720433024216,126.88180228002163,목동
72,못골한옥어린이도서관,37.4730745859462,127.099415313691,자곡동
74,문래도서관,37.516806312124174,126.89091193215603,문래동3가
75,미감도서관,37.5389609183545,126.865466540815,목동
76,미아문화정보도서관,37.62691014932691,127.02701993258331,미아동
77,반포도서관,37.5024886017556,127.012544317106,반포동
78,방배도서관,37.478526070273126,126.99996834396919,방배동
79,방아다리문학도서관,37.5385543353993,126.82720523965,신월동
80,배봉산 숲속도서관,37.578441311875,127.062728634017,전농동
81,불암도서관,37.64521919111325,127.08286657300108,중계동
82,사당솔밭도서관,37.48403213246281,126.96735910708873,사당동
83,삼각산어린이도서관,37.6151841719855,127.020704628481,미아동
84,상계도서관,37.6785425209255,127.051968795357,상계동
86,서대문구립이진아기념도서관,37.5730148054303,126.95553506563,현저동
87,서울특별시교육청강남도서관,37.5137496645852,127.047053910424,삼성동
88,서울특별시교육청강동도서관,37.5386472872747,127.143779340133,길동
89,서울특별시교육청강서도서관,37.547804075855574,126.85991704125635,등촌동
90,서울특별시교육청개포도서관,37.4831147542321,127.063890295852,개포동
93,서울특별시교육청구로도서관,37.49330274243058,126.8949378309081,구로동
94,서울특별시교육청남산도서관,37.5529511206446,126.981426607934,후암동
95,서울특별시교육청노원평생학습관,37.6393382220024,127.067721965418,중계2.3동
96,서울특별시교육청도봉도서관,37.6528032237738,127.01300017887,쌍문1동
97,서울특별시교육청동대문도서관,37.5734602570425,127.024813573937,신설동
99,서울특별시교육청마포평생학습관,37.5538746652143,126.957230424014,아현동
100,서울특별시교육청마포평생학습관아현분관,37.5538746652143,126.957230424014,아현동
101,서울특별시교육청서대문도서관,37.5730148054303,126.95553506563,현저동
102,서울특별시교육청송파도서관,37.499966080241805,127.13484118563224,오금동
103,서울특별시교육청양천도서관,37.5336136308998,126.876314985863,목5동
104,서울특별시교육청어린이도서관,37.57651646885979,126.96787235380161,사직동
105,서울특별시교육청영등포평생학습관,37.5337423950478,126.902169639597,당산동5가
106,서울특별시교육청용산도서관,37.5519886462656,126.980145783584,후암동
107,서울특별시교육청정독도서관,37.5814300334622,126.982995455867,화동
108,서울특별시교육청종로도서관,37.5764349954241,126.966491286462,사직동
109,서이도서관,37.49199533314262,127.02485444564135,서초동
110,서초청소년도서관,37.4923153422999,127.028192615151,서초동
111,석관동미리내도서관,37.6134847960337,127.065442349539,석관동
112,선유도서관,37.5333271303629,126.892933442399,양평동3가
113,성동구립금호도서관,37.5541248558247,127.024906752488,금호동1가
114,성동구립도서관,37.55918951636491,127.03496099832289,행당동
115,성동구립숲속도서관,37.5459044761691,127.010806677868,옥수동
116,성동구립용답도서관,37.5666798308756,127.051315975524,용답동
117,성북길빛도서관,37.60984827782593,127.02641010583264,길음동
118,성북정보도서관,37.6049723386975,127.050599359915,상월곡동
119,성수도서관,37.54536400860451,127.04704774759006,성수동1가
120,성현동작은도서관,37.4873117903244,126.95618292414,봉천동
121,소나무언덕2호도서관,37.5072666662958,127.094217298183,잠실동
122,소나무언덕3호도서관,37.492258088121,127.156658137699,마천동
123,소나무언덕잠실본동도서관,37.5030624909305,127.076922172523,잠실동
124,손기정어린이도서관,37.5551529613604,126.964746637945,만리동2가
125,솔샘문화정보도서관,37.6204362848309,127.012500675816,미아동
126,송중문화정보도서관,37.6183212242643,127.029975399619,미아동
127,송파글마루도서관,37.4808724363953,127.13038619364,장지동
128,송파어린이도서관,37.5121120314401,127.082487317166,잠실동
129,송파어린이영어도서관,37.5225557025948,127.10192440151,신천동
130,송파위례도서관,37.48120648794883,127.1437800046066,장지동
131,수유문화정보도서관,37.6300473625678,127.017604704177,수유동
132,신당누리도서관,37.5620193347533,127.014446716289,신당동
133,신월음악도서관,37.524686357953,126.840156305129,신월동
135,아름꿈도서관,37.5727047863558,127.0171293435,숭인동
136,아리랑도서관,37.5998971677465,127.013978426334,돈암동
137,아리랑어린이도서관,37.5998251797014,127.013185729055,돈암동
138,약수도서관,37.4978860452268,126.947432904218,상도동
139,양원숲속도서관,37.6068593340187,127.110755133814,망우동
140,양재도서관,37.4794113837383,127.033971843604,양재동
141,양천중앙도서관,37.51365822603642,126.83372802734786,신정동
142,어린이청소년 국학도서관,37.588685970492,126.995538987522,명륜3가
143,어울림도서관,37.56173398522627,127.01893549367252,신당동
144,여의샛강마을도서관,37.5216797272756,126.920048533997,여의도동
145,역삼도서관,37.49537383790107,127.03328248367103,역삼동
146,열린도서관,37.484136161779794,127.08451095383202,일원동
147,영어특성화도서관,37.51605178723754,126.86365713610795,신정동
148,오류도서관,37.4972158575593,126.842313738513,오류동
149,온누리도서관,37.49687279652441,126.88552756263704,구로동
150,용산꿈나무도서관,37.5390036092211,126.965258884714,원효로1가
151,우장산숲속도서관,37.5483057178016,126.841907428457,화곡동
152,월계도서관,37.628636996613,127.056125543739,월계동
153,월계어린이도서관,37.6242642209734,127.050793677781,월계동
154,월곡꿈그림도서관,37.6041108289933,127.04181080671,하월곡동
155,은뜨락도서관,37.630346164989334,126.92037635202264,진관동
156,은천동작은도서관,37.48535972805741,126.94246331846742,봉천동
157,은평구립도서관,37.619049316454,126.928381841584,불광동
158,은평뉴타운도서관,37.6372015551136,126.933100245847,진관동
159,응암정보도서관,37.5859413382366,126.919686615376,응암3동
160,자양제4동도서관,37.5340671480313,127.066110570378,자양동
161,자양한강도서관,37.529219976856744,127.07760406988577,자양동
162,잠원도서관,37.5149691587652,127.013980668551,잠원동
163,장위행복누림도서관,37.6158149916945,127.045822401949,장위동
165,정릉도서관,37.60467276414102,127.01065436177912,정릉동
166,조원도서관,37.48263112953136,126.90779451551435,신림동
167,종암동새날도서관,37.599110654103306,127.03530806376209,종암동
168,중곡문화체육센터도서관,37.5677708121349,127.084441225084,중곡동
169,중랑구립면목정보도서관,37.587426363943855,127.08764495481473,면목동
170,중랑구립정보도서관,37.61524044821545,127.0869527012108,묵동
171,중랑상봉도서관,37.59291825816655,127.08084626925489,상봉동
172,중랑숲어린이도서관,37.6026633682763,127.103881748506,망우동
173,즐거운도서관,37.49969993070047,127.05800117033047,대치동
174,증산정보도서관,37.5827862593609,126.907639432409,증산동
177,청담도서관,37.525122972960276,127.04939147975837,청담동
178,청수도서관,37.6117509244959,127.01080487286,정릉4동
179,청운문학도서관,37.5904038281362,126.96590530631,청운동
180,청파도서관,37.553924819516816,126.96760591723012,서계동
181,푸른들청소년도서관,37.54465998988,126.835107606436,화곡동
182,하늘도서관,37.4873576448868,126.881348298422,구로동
183,학마을도서관,37.6620663711816,127.027767080951,방학동
185,한내지혜의숲도서관,37.6235631462126,127.068786044514,월계동
186,해맞이역사도서관,37.519075879374796,126.83560508209513,신월동
187,해오름어린이도서관,37.5940518910298,127.010566791217,돈암2동
188,행복한도서관,37.5024645524447,127.064313916218,대치동
189,향기나무도서관,37.6454769132004,127.070313267835,중계동
190,홍은도담도서관,37.6017357837712,126.948940799014,홍은동
191,휘경어린이도서관,37.588666903169,127.060583701361,휘경동
