,정류소명,X좌표,Y좌표,행정동
0,종로2가사거리,126.9877499,37.56976513,종로5·6가동
1,창경궁.서울대학교병원,126.996566,37.57918302,이화동
2,명륜3가.성대입구,126.9983401,37.58267117,혜화동
3,종로2가.삼일교,126.9876131,37.56857927,종로5·6가동
4,혜화동로터리.여운형활동터,127.001744,37.586243,혜화동
5,서대문역사거리,126.966893,37.566137,교남동
6,서울역사박물관.경희궁앞,126.97038,37.569135,사직동
7,서울역사박물관.경희궁앞,126.970609,37.569412,사직동
8,광화문,126.9752508,37.57013547,사직동
9,광화문,126.9780855,37.57021681,종로1·2·3·4가동
10,종로1가,126.9809105,37.57011848,종로1·2·3·4가동
11,종로1가,126.9813906,37.57022903,종로1·2·3·4가동
12,종로2가,126.9855427,37.57013868,종로5·6가동
13,종로2가,126.9862475,37.5702572,종로5·6가동
14,종로3가.탑골공원,126.9895647,37.57024498,종로5·6가동
15,종로3가.탑골공원,126.9899878,37.57036054,종로5·6가동
16,종로4가.종묘,126.9947219,37.570507,종로1·2·3·4가동
17,종로4가.종묘,126.9952838,37.57062711,종로1·2·3·4가동
18,종로5가.광장시장,126.9988498,37.57075679,종로1·2·3·4가동
19,종로5가.광장시장,126.9993346,37.57088063,종로1·2·3·4가동
20,종로6가.동대문종합시장,127.0034639,37.57096248,종로5·6가동
21,종로6가.동대문종합시장,127.0057137,37.57112723,종로5·6가동
22,동대문역.흥인지문,127.0134512,37.57230232,창신1동
23,동대문(흥인지문),127.0120461,37.57195293,창신1동
24,동묘앞,127.0184514,37.57372552,숭인2동
25,동묘앞,127.019672,37.57424345,숭인동
26,경기상고,126.9693635,37.58755022,청운효자동
27,신교동,126.9702627,37.58329552,신교동
28,경기상고,126.9697701,37.58719079,청운효자동
29,경복고교,126.9710437,37.58511319,청운효자동
30,청운중학교,126.9725135,37.58785196,청운효자동
31,자하문고개.윤동주문학관,126.9671262,37.59218662,청운효자동
32,자하문고개.윤동주문학관,126.9671907,37.59233532,청운효자동
33,청운중학교,126.9724613,37.58812858,청운효자동
34,경복고교,126.9711547,37.58496634,청운효자동
35,통인시장종로구보건소,126.97105,37.5803257,청운효자동
36,통인시장종로구보건소,126.9713851,37.58051321,청운효자동
37,효자동,126.970621,37.58309104,효자동
38,사직단.어린이도서관,126.9679907,37.57513553,사직동
39,사직동주민센터,126.9713245,37.57618346,사직동
40,경복궁역,126.972196,37.57686669,적선동
41,경복궁역,126.9722829,37.57767139,사직동
42,경복궁,126.9787471,37.57557679,종로1·2·3·4가동
43,KT광화문지사,126.9773321,37.57222644,종로1·2·3·4가동
44,광화문,126.9763839,37.5698454,사직동
45,광화문.금호아시아나본관앞,126.9741676,37.57004915,사직동
46,서울역사박물관.경교장.강북삼성병원,126.9713911,37.56970191,사직동
47,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023,사직동
48,광화문.금호아시아나본관앞,126.9731336,37.57028804,사직동
49,광화문,126.975837,37.570365,사직동
50,세종문화회관,126.9768571,37.57359001,종로1·2·3·4가동
51,서울경찰청.경복궁역,126.9714843,37.57574466,사직동
52,사직단,126.968189,37.57485535,사직동
53,광화문광화문빌딩,126.9766885,37.56968761,사직동
54,덕성여중고,126.982017,37.57590175,종로5·6가동
55,안국역.종로경찰서.서울공예박물관,126.9839958,37.57606956,종로5·6가동
56,국민은행세검정지점,126.960888,37.60466298,부암동
57,세검정초등학교,126.9612198,37.60250228,부암동
58,세검정.상명대,126.9587224,37.6007326,부암동
59,상명대입구.석파랑,126.9585702,37.59941335,부암동
60,하림각,126.9617068,37.59813307,부암동
61,자하문터널입구.석파정,126.9636435,37.59559351,부암동
62,부암동주민센터.무계원,126.9639574,37.59273806,부암동
63,부암동주민센터.무계원,126.9651419,37.59278617,부암동
64,자하문터널입구.석파정,126.9639776,37.59555757,부암동
65,하림각,126.9622153,37.59814765,부암동
66,상명대입구.세검정교회,126.9592406,37.59961633,부암동
67,세검정.상명대,126.9589343,37.60055246,부암동
68,세검정초등학교,126.9614329,37.60226807,부암동
69,국민은행세검정지점,126.9612088,37.60471919,부암동
70,승가사입구,126.956306,37.61158441,평창동
71,구기동현대빌라,126.9564576,37.6100355,평창동
72,구기터널.삼성출판박물관,126.9562103,37.60860989,평창동
73,구기터널.삼성출판박물관,126.9564167,37.6083054,평창동
74,구기동,126.9585298,37.60696445,구기동
75,구기동,126.9591017,37.6070088,구기동
76,승가사입구,126.956482,37.61148,평창동
77,갑을씨티텔앞,126.963535,37.60437097,평창동
78,평창파출소,126.9660433,37.60532237,평창동
79,평창동주민센터,126.9695663,37.60660737,평창동
80,일성아파트,126.9729985,37.60876631,평창동
81,롯데아파트,126.9764662,37.61042956,평창동
82,롯데아파트,126.976652,37.610248,평창동
83,벽산평창힐스아파트,126.972797,37.60819,평창동
84,예능교회,126.97,37.606517,평창동
85,서울예술고등학교.평창동주민센터,126.9676276,37.60577876,평창동
86,화정박물관,126.9648103,37.60450382,평창동
87,강북삼성병원,126.9686005,37.56814593,교남동
88,독립문역.서대문형무소역사관,126.9594644,37.57321269,무악동
89,서대문.서울시교육청,126.9645273,37.56825381,교남동
90,서대문역사거리.적십자병원,126.9675878,37.56710815,교남동
91,독립문,126.9615633,37.57117332,교남동
92,창덕궁.서울돈화문국악당,126.9885394,37.57754057,종로5·6가동
93,서린동.SK서린빌딩,126.9802682,37.56924238,무교동
94,청계1가.광교,126.9849267,37.56868439,종로5·6가동
95,청계2가.수표교,126.9915405,37.56861789,종로1·2·3·4가동
96,청계4가.세운교,126.9964906,37.56886912,종로1·2·3·4가동
97,청계5가.광장시장,126.9997974,37.56945128,종로1·2·3·4가동
98,종로5가.광장시장,126.999974,37.57066325,종로1·2·3·4가동
99,종로4가.종묘,126.9967951,37.57042442,종로1·2·3·4가동
100,종로4가.종묘,126.994403,37.57029547,종로1·2·3·4가동
101,종로3가,126.9889374,37.57001124,종로5·6가동
102,종로2가,126.985437,37.56997031,종로5·6가동
103,종로1가,126.9803257,37.56998579,종로1·2·3·4가동
104,종로1가,126.980187,37.5704,종로1·2·3·4가동
105,종로2가,126.9849388,37.57033699,종로5·6가동
106,종로2가,126.9863596,37.57035879,종로5·6가동
107,종로3가,126.9899347,37.57049432,종로5·6가동
108,종로4가.종묘,126.99417,37.57071,종로1·2·3·4가동
109,종로5가,126.9990558,37.5709588,종로1·2·3·4가동
110,원남동,126.9973383,37.57453251,원남동
111,창덕궁.우리소리박물관,126.9886349,37.57727286,종로5·6가동
112,안국역.종로경찰서.인사동,126.9842426,37.5757849,종로5·6가동
113,조계사,126.9831556,37.57252231,종로5·6가동
114,조계사,126.9828259,37.57248581,종로5·6가동
115,안국동,126.9827201,37.57461057,종로5·6가동
116,종로5가.효제동.김상옥의거터,127.00223,37.5745,종로5·6가동
117,종로5가.효제초등학교,127.0021442,37.57287901,종로5·6가동
118,종로6가,127.0043133,37.57119391,종로5·6가동
119,창덕궁.돈화문국악당,126.9910846,37.5773031,종로1·2·3·4가동
120,종로5가,127.0021827,37.5705596,종로5·6가동
121,청계6가.동대문시장,127.0028494,37.56983511,종로5·6가동
122,동대문,127.0084126,37.57172624,종로5·6가동
123,충신동,127.0062788,37.57402235,충신동
124,종로6가.종로신진시장,127.0035695,37.57080106,종로5·6가동
125,충신동,127.0063434,37.57446028,충신동
126,현대그룹빌딩,127.000533,37.575873,종로5·6가동
127,방송통신대.이화장,127.002437,37.578043,이화동
128,혜화역.마로니에공원,127.0022769,37.58111949,이화동
129,혜화역.서울대병원입구,127.0019395,37.58106363,이화동
130,방송통신대.이화장,127.0019938,37.57812967,이화동
131,이화동(이화장),127.0006951,37.57611936,이화동
132,창경궁.서울대학교병원,126.9968717,37.57882799,이화동
133,이화동(이화장),127.0032708,37.57593729,이화동
134,혜화동로터리,127.0007247,37.58576463,혜화동
135,명륜동2가.성균관대입구,126.9993988,37.58333349,혜화동
136,혜화역.서울연극센터(장면총리가옥),127.0013282,37.58402281,혜화동
137,혜화역.동성중고(장면총리가옥),127.0017177,37.58456977,혜화동
138,종로구민회관.창신동두산아파트,127.0155555,37.57409268,창신1동
139,동대문,127.0136467,37.57229002,창신1동
140,동묘역앞,127.0156014,37.57168496,창신1동
141,동묘역앞,127.015945,37.57192215,숭인2동
142,청계2가교차로,126.9878779,37.5684809,종로1·2·3·4가동
143,창신3동주민센터,127.015178,37.578413,숭인1동
144,숭인1동주민센터.창신역4번출구,127.0155486,37.57877205,숭인1동
145,동묘역.롯데캐슬천지인,127.0158024,37.57418005,숭인1동
146,신설동로터리,127.0227802,37.57592883,숭인2동
147,동묘앞,127.0178163,37.57372922,숭인1동
148,구기동현대빌라,126.956622,37.609682,평창동
149,광장시장,126.9977438,37.56949631,종로1·2·3·4가동
150,혜화경찰서,126.9974788,37.57258074,종로1·2·3·4가동
151,서울역사박물관.김구집무실(경교장),126.9721318,37.56990034,사직동
152,청계3가.관수교,126.9937794,37.56868879,종로1·2·3·4가동
153,청계6가.버들다리,127.0080377,37.56993039,종로5·6가동
154,청계7가.맑은내다리,127.0129554,37.56999753,C동
155,청계8가.영도교,127.0182311,37.57094659,황학동
156,원남동사거리,126.9982147,37.57572287,종로1·2·3·4가동
157,숭인동,127.0204373,37.57427215,숭인2동
158,조계사,126.9831609,37.57280034,종로5·6가동
159,적선동,126.9702965,37.57620122,사직동
160,사직단,126.9680484,37.5751752,사직동
161,세종문화회관,126.9768673,37.57394965,종로1·2·3·4가동
162,이화동(이화장),127.002955,37.576257,이화동
163,상명대정문,126.9550207,37.60161972,부암동
164,이북오도청,126.9558883,37.61305032,평창동
165,국립고궁박물관.경복궁서문,126.9743664,37.57677167,청운효자동
166,청와대분수대앞,126.9738378,37.58287013,청운효자동
167,경복궁.국립민속박물관.현대미술관,126.9794299,37.57930743,청운효자동
168,경복궁동문,126.9792767,37.576833,청운효자동
169,상명대입구.세검정교회,126.9597922,37.59944351,부암동
170,상명대입구.석파랑,126.9581941,37.59957181,부암동
171,종로중부새마을금고,127.0065911,37.57241749,종로5·6가동
172,신설동로터리.신한은행앞.서울풍물시장,127.0231183,37.5743861,숭인2동
173,청계2가.삼일교,126.9872214,37.56844587,종로5·6가동
174,청계8가.황학교,127.022787,37.57213073,숭인2동
175,평창동삼성아파트,126.978368,37.610967,평창동
176,안국역.종로경찰서.인사동,126.9855365,37.57633293,종로5·6가동
177,안국역.종로경찰서.서울공예박물관,126.9847683,37.57640118,종로5·6가동
178,창덕궁,126.9890031,37.57722809,종로5·6가동
179,남인사마당,126.9874286,37.57131917,종로5·6가동
180,평창파출소,126.9668167,37.60568122,평창동
181,삼청공원,126.9816469,37.58822768,삼청동
182,수성동계곡,126.9642468,37.58207916,청운효자동
183,명륜3가종점,126.9928637,37.59094838,혜화동
184,명륜새마을금고,126.9967049,37.58765327,명륜동
185,서대문3번출구,126.9662183,37.56641607,충현동
186,낙산공원,127.0087216,37.58040372,창신3동
187,인사미술공간.세탁소,126.9893671,37.58141098,종로1·2·3·4가동
188,화정박물관,126.9648837,37.6048012,평창동
189,금융연수원,126.9815692,37.5865985,삼청동
190,박노수미술관,126.9666035,37.58099674,청운효자동
191,샘미용실,126.9932227,37.59030953,혜화동
192,서울국제고등학교,126.9972903,37.58907159,혜화동
193,화정박물관,126.9652008,37.60498061,평창동
194,적십자병원후문앞,126.9652273,37.56752954,교남동
195,서울성곽.성대후문,126.9896321,37.5892577,혜화동
196,빨래터.고희동미술관,126.9889728,37.58310083,가회동
197,세검초등학교,126.9614908,37.60425228,부암동
198,삼청동주민센터,126.9819072,37.58426383,삼청동
199,통인시장,126.9687504,37.58045307,청운효자동
200,양현관,126.9936044,37.58979142,혜화동
201,국민생활관,126.998862,37.58974563,혜화동
202,오거리,126.9622629,37.60706212,평창동
203,경희궁자이2.3단지,126.9640686,37.56878711,교남동
204,창신쌍용2단지.한성대후문,127.0127581,37.5812648,창신3동
205,통일부,126.9859477,37.58759481,삼청동
206,원서고개,126.9878088,37.58308055,가회동
207,종로5가입구.혜화경찰서,126.9975411,37.57174724,종로1·2·3·4가동
208,삼청파출소,126.981251,37.58181366,삼청동
209,오거리.한옥마을입구,126.9695411,37.57949632,청운효자동
210,명륜시장.성대후문,126.9952543,37.58851105,혜화동
211,혜화초등학교,126.9998517,37.58725323,혜화동
212,청련사입구,126.9624312,37.60798038,평창동
