,사업장명,위도,경도,행정동
0,성동 서울숲 여름캠핑장,37.5425256016071,127.040451359566,성수동1가
1,우이동 가족캠핑장,37.6658171314856,127.011787435721,우이동
2,무수아취 야영장,37.6763878808172,127.03308771773605,도봉동
3,북한산 캠핑장,37.64248071555712,127.04993362802077,월계동
4,천왕산 가족캠핑장,37.47899323006236,126.83139447182263,항동
5,천왕근린공원,37.475539632892,126.841124757085,천왕동
6,서울 서초 글램핑 청계산장,37.44830332055855,127.04643991926734,원지동
7,강동그린웨이 가족캠핑장,37.5360470217454,127.153776271499,둔촌동
8,한강공원 난지캠핑장,37.5689259702269,126.873327165656,상암동
9,노을공원 가족캠핑장,37.5699951008368,126.872166235201,상암동
