,번호,좌표(Poi_X),좌표(Poi_Y),행정동
0,A-02,127.02229,37.50828,논현동
1,A-03,127.02127,37.51668,논현동
2,A-04,127.022959,37.518136,신사동
3,A-08,127.03552,37.5137,논현동
4,A-09,127.05136,37.51688,삼성동
5,A-10,127.05093,37.51729,삼성동
6,A-11,127.03311,37.525,신사동
7,A-12,127.03547,37.51807,논현동
8,A-13,127.03746,37.50988,논현동
9,A-14,127.04885,37.51868,청담동
10,A-15,127.06058,37.51303,삼성동
11,A-16,127.06234,37.51098,삼성동
12,A-17,127.05613,37.49127,대치동
13,A-20,127.04776,37.50374,역삼동
14,A-22,127.0643,37.49484,대치동
15,A-23,127.06101,37.49331,대치2동
16,A-24,127.06273,37.49445,대치1동
17,A-27,127.06472,37.50644,삼성동
18,A-28,127.03057,37.49882,역삼동
19,A-30,127.05114,37.4896,도곡동
20,A-31,127.04885,37.49484,도곡동
21,A-32,127.04141,37.50233,역삼동
22,A-33,127.04807,37.50408,역삼동
23,A-35,127.05524,37.49695,대치동
24,B-03,127.16375,37.556627,고덕동
25,B-05,127.12901,37.52369,성내3동
26,B-07,127.13698,37.53029,성내3동
27,B-08,127.12172,37.52703,성내동
28,B-16,127.14254,37.54616,천호동
29,B-17,127.14826,37.55476,상일동149
30,C-03,127.02421,37.63159,미아동
31,C-04,127.03024,37.61466,미아동
32,D-01,126.84906,37.55134,화곡동
33,D-09,126.83706,37.55854,내발산동
34,D-14,126.83977,37.5585,등촌동
35,D-15,126.83709,37.55881,가양1동
36,D-18,126.83844,37.54363,화곡5동
37,D-21,126.83977,37.5585,가양동
38,D-22,126.83706,37.55854,방화동
39,D-23,126.80598,37.56485,내발산동
40,E-03,126.910781,37.481054,미성동
41,E-04,126.97799,37.47638,남현동
42,E-06,126.95058,37.48114,봉천동
43,E-07,126.92447,37.48975,봉천1동
44,E-11,126.94131,37.47054,신림동
45,F-03,127.10245,37.54351,광장동
46,F-06,127.08152,37.55633,능동
47,F-07,127.08939,37.55201,능동
48,F-13,127.09476,37.5369,구의동
49,F-15,127.07095,37.53971,자양동
50,G-01,126.88773,37.49453,구로동
51,G-05,126.89168,37.50709,구로동
52,G-06,126.84412,37.49532,오류동
53,G-08,126.88991,37.49512,구로동
54,G-10,126.88548,37.49309,구로동
55,G-12,126.889552,37.501452,구로5동
56,G-13,126.890714,37.50014,구로동
57,H-03,126.90125,37.45341,시흥동
58,H-07,126.89793,37.46718,독산동
59,I-01,127.05937,37.6582,상계동
60,I-04,127.06149,37.62318,월계동
61,I-06,127.07673,37.64792,중계동
62,I-09,127.05768,37.66137,상계동
63,I-10,127.05972,37.65806,상계동
64,I-11,127.06752,37.63568,하계동
65,I-12,127.06227,37.65475,상계동
66,J-03,127.03478,37.649,쌍문동
67,J-04,127.04363,37.65194,창동
68,K-01,127/02437,37.57595,신설동
69,K-02,127.07041,37.57004,장안2동
70,K-04,127.05122,37.56814,답십리동
71,K-08,127.07017,37.57009,장안동
72,K-13,127.06526,37.56284,장안동
73,K-16,127.03722,37.57424,용두동
74,L-14,126.94341,37.50525,노량진2동
75,L-17,126.96035,37.50794,흑석동
76,L-18,126.9058,37.4879,신대방동
77,M-03,126.95232,37.54567,공덕동
78,M-05,126.95558,37.55149,아현동
79,M-07,126.91033,37.55583,도화동
80,M-15,126.916842,37.548259,합정동
81,M-20,126.935033,37.553863,노고산동
82,M-21,126.93462,37.55395,노고산동
83,M-22,126.927844,37.558135,동교동
84,M-23,126.90607,37.56037,망원동
85,M-24,126.95017,37.5445,공덕동
86,M-25,126.9484,37.54153,도화동
87,M-27,126.91033,37.55583,서교동
88,N-02,126.93602,37.56024,창천동
89,N-04,126.9648,37.56353,충정로2가
90,N-05,126.96783,37.56439,미근동
91,N-06,126.93614,37.58131,홍은3동
92,N-07,126.94256,37.56237,신촌동
93,N-10,126.95073,37.58178,연희동
94,N-14,126.96382,37.56197,충정로3가
95,P-01,127.00394,37.50118,반포동
96,P-02,126.9413,37.4706,반포동
97,P-07,126.982434,37.487656,방배동
98,P-10,127.03082,37.49087,서초
99,P-12,127.014728,37.480168,서초동
100,P-13,127.01872,37.51798,서초
101,P-14,127.00744,37.50681,반포3동
102,P-15,127.00767,37.50988,반포동
103,P-16,127.00202,37.50532,반포동
104,P-22,127.01656,37.48447,서초동
105,P-26,127.01092,37.48563,서초동
106,P-31,127.0143,37.52,잠원동
107,P-32,127.01098,37.47941,서초동
108,Q-02,127.04346,37.56658,마장동
109,Q-03,127.04325,37.56622,마장동
110,Q-04,127.04374,37.55446,행당동17
111,Q-09,127.03738,37.56983,마장동
112,Q-10,127.03758,37.5696,마장동
113,Q-11,127.05256,37.53964,성수2가
114,Q-12,127.04008,37.55733,행당동
115,R-01,127.02418,37.6016,길음1동
116,R-04,127.03585,37.58961,안암동5가
117,R-12,127.04137,37.60145,월곡
118,S-01,127.07756,37.51144,잠실본동
119,S-02,127.13505,37.49821,오금동
120,S-06,127.10117,37.51226,신천동
121,S-12,127.10651,37.51524,신천동
122,S-13,127.12666,37.51265,방이동
123,S-15,127.08474,37.51183,잠실동
124,S-17,127.07656,37.51179,잠실동
125,S-18,127.12337,37.51347,방이동
126,S-19,127.11764,37.52854,풍납동
127,S-21,127.11498,37.51692,방이동
128,S-22,127.1302,37.51554,방이동
129,S-23,127.12619,37.50927,방이동
130,S-24,127.10801,37.51574,방이동
131,S-25,127.10111,37.51164,잠실동
132,S-27,127.12696,37.50086,가락동
133,S-29,127.08844,37.51133,잠실동
134,S-36,127.105,37.51509,신천동
135,S-37,127.0971,37.51227,잠실동
136,S-38,127.07921,37.50848,잠실동
137,S-46,127.11998,37.47843,문정동
138,S-47,127.10779,37.50637,송파동
139,T-02,126.8744,37.52474,목동
140,T-05,126.86513,37.52592,목동
141,T-11,126.86889,37.52229,신정동
142,T-13,126.86211,37.51671,신정동
143,T-15,126.86589,37.51804,신정동
144,T-17,126.86418,37.52669,신정동
145,T-19,126.8646,37.52491,신정동
146,T-20,126.88402,37.53681,목동
147,T-25,126.882,37.53786,목동
148,T-26,126.86284,37.51003,신정동
149,T-28,126.86441,37.52287,신정동
150,U-05,126.90998,37.51746,영등포동3가4-4
151,U-08,126.9012,37.52677,당산동3가2-11
152,U-11,126.89696,37.52674,당산동3가
153,U-15,126.90775,37.49081,대림동962-5
154,U-19,126.903286,37.525759,영등포동7가
155,U-22,126.899465,37.514061,문래동3가55-20
156,U-23,126.92716,37.52552,여의도동
157,U-24,126.920146,37.522686,여의도동
158,U-27,126.90961,37.51876,영등포동3가2
159,U-29,126.90569,37.52744,영등포8가
160,U-32,126.89505,37.51746,문래동3가55-3
161,U-38,126.933244,37.526066,여의도동
162,U-39,126.901528,37.506266,신길동
163,U-45,126.90663,37.51654,영등포동618-496
164,V-02,127.00679,37.53514,한남동707-18
165,V-03,127.00143,37.53783,한남동683-73
166,V-04,126.9996,37.53608,한남동738-15
167,V-05,127.00126,37.53796,한남동739-1
168,V-06,126.9727,37.54296,남영동74
169,V-07,126.96963,37.55024,사계동209
170,V-09,126.968844,37.553739,서계동224-32
171,V-14,126.96918,37.5302,한강로2가142
172,V-15,126.95585,37.53197,한강로3가16-49
173,V-17,126.9641,37.52499,한강로3가65-325
174,V-26,126.95927,37.53423,원효로3가52-5
175,V-60,126.98043,37.52061,용산동6가168-6
176,V-65,127.00432,37.53352,한남동657-58
177,V-70,126.962545,37.538802,효창동
178,V-71,126.965396,37.528624,한강로3가
179,V-75,126.965905,37.528562,한강로2가
180,W-03,126.92247,37.60562,역촌동17-16
181,W-04,126.91707,37.61046,역촌동1-46
182,W-10,126.91982,37.60063,응암동90-1
183,W-11,126.918713,37.636824,진관동
184,X-01,126.97884,37.57054,종로1가
185,X-03,126.99001,37.57023,종로3가
186,X-04,126.99362,37.57034,종로3가
187,X-08,127.0211,37.57453,숭인동200-6
188,X-11,127.00116,37.571,종로5가
189,X-12,126.99319,37.57056,종로3가
190,X-13,126.98903,37.57029,종로2가
191,X-14,126.98167,37.57032,청진동
192,X-15,126.97869,37.57027,서린동
193,X-16,126.97524,37.57042,신문로
194,X-19,126.97498,37.5703,신문로
195,X-23,126.97909,37.57562,중학동110-2
196,X-26,127.00108,37.57618,연건동128-8
197,X-27,126.98549,37.5767,안국동138-2
198,X-28,126.98299,37.57318,견지동
199,X-29,126.98746,37.56866,관철동10-2
200,X-32,127.00225,37.57936,동숭동169-1
201,X-35,126.99791,37.57307,인의동101-1
202,X-37,126.99938,37.58359,명륜3가
203,X-39,126.98775,37.56944,관철동
204,X-47,126.99986,37.57585,연지동1-1
205,Y-01,126.97914,37.56434,소공동87-1
206,Y-02,126.97923,37.56436,남대문로2가9-9
207,Y-04,126.97377,37.56288,서소문동75-95
208,Y-07,126.97203,37.55798,남대문로5가
209,Y-16,127.01599,37.56474,무학동
210,Y-17,126.99599,37.5618,충무로4가
211,Y-19,126.98479,37.56609,을지로2가
212,Y-20,126.97953,37.56748,무교동95
213,Y-21,126.98695,37.56109,충무로
214,Y-23,126.98245,37.56732,다동103
215,Y-25,127.00789,37.55146,신당동353-22
216,Y-26,126.97912,37.56119,남창동1-1
217,Y-28,127.01026,37.55393,신당동
218,Y-29,126.98482,37.56604,을지로
219,Y-30,126.99181,37.56626,을지로3가
220,Y-39,127.00491,37.56662,을지로6가
221,Y-42,126.99175,37.56638,을지로3가
222,Y-49,127.00296,37.56036,장충동2가
223,Y-54,127.01632,37.56612,을지로6가
224,Y-58,126.97032,37.56148,순화동
225,Y-59,126.96925,37.55586,봉래동2가
226,Y-60,126.97914,37.56434,을지로1가192-11
227,Z-01,127.07858,37.60595,묵동250-23
228,Z-02,127.07973,37.59989,중화동303-16
229,Z-03,127.09031,37.59747,상봉동81
230,Z-07,127.09359,37.59689,망우동
231,Z-08,127.098009,37.613475,신내동
232,Z-09,127.092399,37.598962,상봉동
233,Pole-01,127.02607,37.501586,역삼동
234,Pole-02,127.018274,37.625289,삼양동
235,Pole-03,127.019642,37.644993,수유동
236,Pole-04,127.023726,37.631959,수유1동
237,Pole-05,127.095488,37.536634,구의동
238,Pole-06,126.882588,37.501799,구로동
239,Pole-07,126.894453,37.45626,시흥동
240,Pole-08,127.049007,37.653504,창동
241,Pole-09,126.938934,37.513593,노량진동
242,Pole-10,126.980247,37.484824,사당동
243,Pole-11,126.981831,37.484117,사당동
244,Pole-12,127.026174,37.500446,서초동
245,Pole-13,127.104211,37.519521,신천동
246,Pole-14,126.96917,37.554384,동자동
247,Pole-15,126.96917,37.554384,동자동
248,Pole-16,126.96917,37.554384,동자동
249,Pole-17,127.06746,37.623201,월계동
250,Pole-18,126.90359,37.484531,신림동
251,Pole-19,126.484412,37.484412,신림동
252,Pole-20,126.888927,37.50966,신도림동
253,Pole-21,127.024689,37.503527,서초동
254,Pole-22,126.886019,37.525558,양평동2가
255,Pole-23,126.986511,37.56088,퇴계로134
256,Pole-24,127.092572,37.616654,신내로211
257,Pole-25,127.079778,37.670621,상계로309
258,Pole-26,127.091222,37.598008,망우로353
