,구별,2015_12 등록된 전기차,2016_12 등록된 전기차,2017_12 등록된 전기차,2018_12 등록된 전기차,2019_12 등록된 전기차,2020_12 등록된 전기차,2021_12 등록된 전기차
0,강남구,155,218,2385,4262,5756,7495,11432
1,강동구,19,30,81,185,354,649,1273
2,강북구,11,15,27,85,153,298,496
3,강서구,43,41,132,274,432,805,1679
4,관악구,6,10,45,149,250,412,730
5,광진구,12,12,44,123,191,304,590
6,구로구,14,20,65,171,267,944,3733
7,금천구,12,67,97,134,330,439,530
8,노원구,14,25,83,164,263,495,889
9,도봉구,14,22,47,121,201,347,637
10,동대문구,16,22,49,106,195,312,656
11,동작구,22,28,73,157,265,390,710
12,마포구,310,327,210,216,367,567,1062
13,서대문구,12,13,41,128,219,358,663
14,서초구,52,103,308,638,1152,2058,3616
15,성동구,34,37,195,441,578,1041,1494
16,성북구,14,24,64,174,334,530,900
17,송파구,27,45,114,343,617,1075,1932
18,양천구,63,76,93,199,343,557,989
19,영등포구,34,95,279,658,1362,1942,2409
20,용산구,51,58,66,200,326,479,957
21,은평구,18,29,73,164,260,492,881
22,종로구,29,37,75,133,189,278,606
23,중구,148,114,110,210,336,714,950
24,중랑구,21,29,40,128,212,412,750
