,동,등록 자동차 수
0,가락2동,2
1,가락본동,1
2,가산동,57
3,가양1동,12
4,가회동,2
5,갈현1동,2
6,개봉1동,2
7,개포2동,2
8,개포4동,1
9,거여1동,2
10,거여2동,1
11,고덕1동,2
12,고덕2동,1
13,고척1동,3
14,공덕동,9
15,공릉1동,5
16,공항동,5
17,광장동,4
18,광희동,2
19,구로1동,1
20,구로2동,1
21,구로3동,3
22,구로4동,2
23,구로5동,2
24,구산동,1
25,구의1동,2
26,구의3동,2
27,금호2·3가동,1
28,길동,1
29,길음1동,2
30,길음2동,2
31,낙성대동,1
32,남가좌1동,1
33,남영동,3
34,내곡동,6
35,노량진1동,2
36,녹번동,7
37,논현1동,3
38,논현2동,13
39,다산동,1
40,답십리2동,1
41,당산1동,9
42,당산2동,4
43,대방동,1
44,대치1동,79
45,대치2동,3
46,대치4동,23
47,대학동,1
48,도곡1동,3
49,도곡2동,4
50,도봉2동,1
51,도화동,4
52,독산1동,2
53,둔촌1동,5
54,둔촌2동,2
55,등촌1동,5
56,등촌3동,2
57,마장동,5
58,마천1동,2
59,마천2동,1
60,망우3동,1
61,망원1동,1
62,망원2동,2
63,면목2동,1
64,면목4동,10
65,명동,33
66,목1동,40
67,목2동,3
68,목5동,2
69,묵1동,3
70,묵2동,1
71,문래동,1
72,문정1동,2
73,문정2동,2
74,미아동,7
75,반포1동,1
76,반포2동,1
77,반포3동,1
78,반포4동,6
79,반포본동,3
80,발산1동,3
81,방배2동,1
82,방배3동,3
83,방배4동,4
84,방배본동,2
85,방이1동,6
86,방이2동,2
87,방학1동,6
88,방학2동,2
89,방학3동,1
90,방화1동,4
91,방화3동,2
92,번2동,1
93,보문동,1
94,부암동,1
95,북가좌1동,1
96,북가좌2동,1
97,북아현동,1
98,불광1동,1
99,사근동,1
100,사당1동,3
101,사당2동,2
102,사당3동,2
103,사당4동,1
104,사당5동,3
105,사직동,6
106,삼각산동,1
107,삼선동,3
108,삼성1동,36
109,삼성2동,11
110,삼성동,1
111,삼양동,1
112,삼전동,1
113,삼청동,1
114,상계1동,1
115,상계2동,2
116,상계3·4동,1
117,상계5동,1
118,상계6·7동,5
119,상계9동,1
120,상도1동,4
121,상도2동,1
122,상도4동,1
123,상봉1동,3
124,상봉2동,1
125,상암동,283
126,상일동,1
127,서강동,2
128,서교동,4
129,서림동,1
130,서초1동,14
131,서초2동,8
132,서초3동,4
133,서초4동,1
134,석촌동,1
135,성내1동,3
136,성내2동,6
137,성북동,3
138,성산1동,3
139,성산2동,3
140,성수1가1동,20
141,성수1가2동,1
142,성수2가3동,1
143,세곡동,6
144,소공동,2
145,송중동,2
146,송파2동,1
147,수궁동,3
148,수서동,1
149,수유3동,1
150,시흥1동,1
151,시흥2동,5
152,시흥3동,1
153,시흥5동,1
154,신길4동,1
155,신길5동,1
156,신내1동,3
157,신내2동,4
158,신당동,2
159,신대방1동,1
160,신대방2동,5
161,신도림동,1
162,신림동,1
163,신사1동,2
164,신사2동,1
165,신사동,6
166,신수동,2
167,신월1동,1
168,신월2동,4
169,신월3동,1
170,신월4동,1
171,신월5동,1
172,신월6동,2
173,신월7동,8
174,신정1동,1
175,신정2동,6
176,신정3동,1
177,신정4동,3
178,신정7동,2
179,신촌동,1
180,쌍문1동,3
181,쌍문2동,2
182,쌍문3동,2
183,쌍문4동,1
184,아현동,7
185,안암동,1
186,암사1동,3
187,압구정동,2
188,약수동,2
189,양재1동,38
190,양재2동,6
191,여의동,77
192,역삼1동,10
193,역삼2동,2
194,역촌동,4
195,연남동,2
196,연희동,3
197,영등포동,2
198,오금동,2
199,오류2동,2
200,오륜동,1
201,왕십리2동,1
202,용강동,1
203,용답동,1
204,용신동,4
205,우장산동,2
206,원효로1동,1
207,원효로2동,8
208,월계1동,1
209,월곡1동,4
210,위례동,3
211,응봉동,1
212,응암2동,1
213,응암3동,1
214,이촌1동,3
215,이태원1동,2
216,이태원2동,1
217,이화동,2
218,인수동,2
219,일원1동,1
220,일원2동,1
221,일원본동,1
222,자양2동,1
223,자양3동,1
224,잠실2동,1
225,잠실3동,1
226,잠실4동,1
227,잠실6동,3
228,잠실본동,3
229,잠원동,4
230,장안1동,2
231,장안2동,1
232,장위1동,2
233,장위2동,1
234,장지동,3
235,장충동,6
236,전농1동,3
237,전농2동,2
238,정릉1동,2
239,정릉3동,2
240,제기동,1
241,조원동,1
242,종로1·2·3·4가동,15
243,종로5·6가동,3
244,종암동,1
245,중계1동,1
246,중계4동,4
247,중곡2동,1
248,중림동,2
249,중화1동,2
250,진관동,9
251,창1동,1
252,창3동,1
253,창5동,2
254,천호2동,4
255,천호3동,2
256,청구동,2
257,청담동,10
258,청량리동,5
259,청룡동,4
260,청운효자동,1
261,충현동,4
262,평창동,5
263,풍납1동,1
264,풍납2동,2
265,필동,55
266,하계1동,2
267,하계2동,1
268,한강로동,33
269,한남동,6
270,합정동,4
271,행당1동,4
272,행당2동,1
273,혜화동,1
274,홍제1동,1
275,화곡4동,1
276,화곡6동,3
277,화곡본동,2
278,화양동,1
279,회현동,7
280,후암동,1
281,휘경1동,2
282,휘경2동,1
283,흑석동,2
