,동별,연료별,등록 자동차 수
0,서울특별시 강남구 개포1동,전기,13
1,서울특별시 강남구 개포2동,전기,55
2,서울특별시 강남구 개포4동,전기,26
3,서울특별시 강남구 논현1동,전기,64
4,서울특별시 강남구 논현2동,전기,42
5,서울특별시 강남구 대치1동,전기,196
6,서울특별시 강남구 대치2동,전기,1775
7,서울특별시 강남구 대치4동,전기,3971
8,서울특별시 강남구 도곡1동,전기,64
9,서울특별시 강남구 도곡2동,전기,97
10,서울특별시 강남구 삼성1동,전기,84
11,서울특별시 강남구 삼성2동,전기,76
12,서울특별시 강남구 세곡동,전기,110
13,서울특별시 강남구 수서동,전기,35
14,서울특별시 강남구 신사동,전기,35
15,서울특별시 강남구 압구정동,전기,48
16,서울특별시 강남구 역삼1동,전기,451
17,서울특별시 강남구 역삼2동,전기,131
18,서울특별시 강남구 일원1동,전기,22
19,서울특별시 강남구 일원2동,전기,60
20,서울특별시 강남구 일원본동,전기,39
21,서울특별시 강남구 청담동,전기,101
22,서울특별시 강동구 강일동,전기,60
23,서울특별시 강동구 고덕1동,전기,53
24,서울특별시 강동구 고덕2동,전기,43
25,서울특별시 강동구 길동,전기,89
26,서울특별시 강동구 둔촌1동,전기,5
27,서울특별시 강동구 둔촌2동,전기,27
28,서울특별시 강동구 명일1동,전기,30
29,서울특별시 강동구 명일2동,전기,19
30,서울특별시 강동구 상일동,전기,60
31,서울특별시 강동구 성내1동,전기,35
32,서울특별시 강동구 성내2동,전기,55
33,서울특별시 강동구 성내3동,전기,31
34,서울특별시 강동구 암사1동,전기,30
35,서울특별시 강동구 암사2동,전기,19
36,서울특별시 강동구 암사3동,전기,12
37,서울특별시 강동구 천호1동,전기,26
38,서울특별시 강동구 천호2동,전기,27
39,서울특별시 강동구 천호3동,전기,28
40,서울특별시 강북구 미아동,전기,25
41,서울특별시 강북구 번1동,전기,9
42,서울특별시 강북구 번2동,전기,25
43,서울특별시 강북구 번3동,전기,38
44,서울특별시 강북구 삼각산동,전기,35
45,서울특별시 강북구 삼양동,전기,19
46,서울특별시 강북구 송중동,전기,23
47,서울특별시 강북구 송천동,전기,11
48,서울특별시 강북구 수유1동,전기,20
49,서울특별시 강북구 수유2동,전기,12
50,서울특별시 강북구 수유3동,전기,32
51,서울특별시 강북구 우이동,전기,13
52,서울특별시 강북구 인수동,전기,36
53,서울특별시 강서구 가양1동,전기,205
