,동,등록 자동차 수
0,개포1동,23
1,개포2동,119
2,개포4동,69
3,논현1동,66
4,논현2동,103
5,대치1동,4256
6,대치2동,1619
7,대치4동,3058
8,도곡1동,105
9,도곡2동,142
10,삼성1동,131
11,삼성2동,132
12,세곡동,194
13,수서동,61
14,신사동,60
15,압구정동,83
16,역삼1동,648
17,역삼2동,221
18,일원1동,36
19,일원2동,101
20,일원본동,59
21,청담동,146
22,강일동,137
23,고덕1동,83
24,고덕2동,94
25,길동,152
26,둔촌1동,6
27,둔촌2동,44
28,명일1동,58
29,명일2동,34
30,상일동,104
31,상일제1동,62
32,상일제2동,8
33,성내1동,64
34,성내2동,76
35,성내3동,42
36,암사1동,58
37,암사2동,38
38,암사3동,38
39,천호1동,72
40,천호2동,46
41,천호3동,57
42,미아동,30
43,번1동,23
44,번2동,34
45,번3동,61
46,삼각산동,55
47,삼양동,34
48,송중동,33
49,송천동,29
50,수유1동,24
51,수유2동,22
52,수유3동,47
53,우이동,36
54,인수동,68
55,가양1동,449
56,가양2동,23
57,가양3동,32
58,공항동,166
59,등촌1동,66
60,등촌2동,31
61,등촌3동,49
62,발산1동,173
63,방화1동,97
64,방화2동,105
65,방화3동,41
66,염창동,94
67,우장산동,73
68,화곡1동,85
69,화곡2동,19
70,화곡3동,26
71,화곡4동,22
72,화곡6동,48
73,화곡8동,40
74,화곡본동,40
75,낙성대동,22
76,난곡동,21
77,난향동,26
78,남현동,18
79,대학동,70
80,미성동,34
81,보라매동,36
82,삼성동,29
83,서림동,38
84,서원동,27
85,성현동,46
86,신림동,26
87,신사동,27
88,신원동,14
89,은천동,57
90,인헌동,36
91,조원동,29
92,중앙동,21
93,청룡동,101
94,청림동,19
95,행운동,33
96,광장동,64
97,구의1동,37
98,구의2동,44
99,구의3동,47
100,군자동,32
101,능동,21
102,자양1동,76
103,자양2동,43
104,자양3동,73
105,자양4동,22
106,중곡1동,24
107,중곡2동,19
108,중곡3동,15
109,중곡4동,47
110,화양동,26
111,가리봉동,8
112,개봉1동,65
113,개봉2동,34
114,개봉3동,13
115,고척1동,52
116,고척2동,42
117,구로1동,1367
118,구로2동,148
119,구로3동,96
120,구로4동,1543
121,구로5동,72
122,수궁동,36
123,신도림동,77
124,오류1동,37
125,오류2동,78
126,항동,65
127,가산동,131
128,독산1동,124
129,독산2동,19
130,독산3동,31
131,독산4동,20
132,시흥1동,83
133,시흥2동,32
134,시흥3동,27
135,시흥4동,24
136,시흥5동,39
137,공릉1동,72
138,공릉2동,65
139,상계10동,25
140,상계1동,127
141,상계2동,47
142,상계3.4동,66
143,상계5동,30
144,상계6.7동,50
145,상계8동,32
146,상계9동,25
147,월계1동,46
148,월계2동,42
149,월계3동,45
150,중계1동,37
151,중계2.3동,48
152,중계4동,40
153,중계본동,30
154,하계1동,41
155,하계2동,21
156,도봉1동,56
157,도봉2동,48
158,방학1동,139
159,방학2동,28
160,방학3동,43
161,쌍문1동,47
162,쌍문2동,31
163,쌍문3동,15
164,쌍문4동,18
165,창1동,55
166,창2동,44
167,창3동,22
168,창4동,52
169,창5동,39
170,답십리1동,84
171,답십리2동,63
172,용신동,82
173,이문1동,23
174,이문2동,26
175,장안1동,74
176,장안2동,73
177,전농1동,62
178,전농2동,37
179,제기동,33
180,청량리동,37
181,회기동,7
182,휘경1동,14
183,휘경2동,41
