동,등록 자동차 수
가락1동,148
가락2동,75
가락본동,54
가리봉동,8
가산동,131
가양1동,449
가양2동,23
가양3동,32
가회동,19
갈현1동,25
갈현2동,27
강일동,137
개봉1동,65
개봉2동,34
개봉3동,13
개포1동,23
개포2동,119
개포4동,69
거여1동,24
거여2동,42
고덕1동,83
고덕2동,94
고척1동,52
고척2동,42
공덕동,120
공릉1동,72
공릉2동,65
공항동,166
광장동,64
광희동,43
교남동,39
구로1동,1367
구로2동,148
구로3동,96
구로4동,1543
구로5동,72
구산동,48
구의1동,37
구의2동,44
구의3동,47
군자동,32
금호1가동,32
금호2·3가동,38
금호4가동,46
길동,152
길음1동,72
길음2동,49
낙성대동,22
난곡동,21
난향동,26
남가좌1동,44
남가좌2동,54
남영동,18
남현동,18
내곡동,125
노량진1동,74
노량진2동,18
녹번동,108
논현1동,66
논현2동,103
능동,21
다산동,38
답십리1동,84
답십리2동,63
당산1동,86
당산2동,93
대림1동,37
대림2동,15
대림3동,44
대방동,50
대조동,20
대치1동,4256
대치2동,1619
대치4동,3058
대학동,70
대흥동,25
도곡1동,105
도곡2동,142
도림동,35
도봉1동,56
도봉2동,48
도화동,43
독산1동,124
독산2동,19
독산3동,31
독산4동,20
돈암1동,26
돈암2동,62
동선동,10
동화동,12
둔촌1동,6
둔촌2동,44
등촌1동,66
등촌2동,31
등촌3동,49
마장동,129
마천1동,36
마천2동,43
망우3동,52
망우본동,89
망원1동,54
망원2동,39
면목2동,56
면목3·8동,29
면목4동,35
면목5동,26
면목7동,34
면목본동,33
명동,200
명일1동,58
명일2동,34
목1동,102
목2동,36
목3동,35
목4동,39
목5동,95
무악동,18
묵1동,60
묵2동,23
문래동,103
문정1동,95
문정2동,102
미성동,34
미아동,30
반포1동,146
반포2동,153
반포3동,62
반포4동,81
반포본동,63
발산1동,173
방배1동,62
방배2동,38
방배3동,35
방배4동,61
방배본동,66
방이1동,49
방이2동,71
방학1동,139
방학2동,28
방학3동,43
방화1동,97
방화2동,105
방화3동,41
번1동,23
번2동,34
번3동,61
보광동,17
보라매동,36
보문동,37
부암동,30
북가좌1동,56
북가좌2동,50
북아현동,33
불광1동,57
불광2동,22
사근동,24
사당1동,34
사당2동,48
사당3동,48
사당4동,27
사당5동,21
사직동,142
삼각산동,55
삼선동,66
삼성1동,131
삼성2동,132
삼성동,29
삼양동,34
삼전동,69
삼청동,9
상계10동,25
상계1동,127
상계2동,47
상계3·4동,66
상계5동,30
상계6·7동,50
상계8동,32
상계9동,25
상도1동,90
상도2동,46
상도3동,30
상도4동,41
상봉1동,48
상봉2동,36
상암동,126
상일동,174
서강동,70
서교동,69
서림동,38
서빙고동,35
서원동,27
서초1동,1014
서초2동,117
서초3동,221
서초4동,111
석관동,54
석촌동,62
성내1동,64
성내2동,76
성내3동,42
성북동,46
성산1동,53
성산2동,95
성수1가1동,526
성수1가2동,144
성수2가1동,105
성수2가3동,54
성현동,46
세곡동,194
소공동,307
송정동,16
송중동,33
송천동,29
송파1동,49
송파2동,45
수궁동,36
수색동,26
수서동,61
수유1동,24
수유2동,22
수유3동,47
숭인1동,10
숭인2동,8
시흥1동,83
시흥2동,32
시흥3동,27
시흥4동,24
시흥5동,39
신길1동,22
신길3동,24
신길4동,24
신길5동,23
신길6동,28
신길7동,61
신내1동,90
신내2동,76
신당5동,18
신당동,26
신대방1동,68
신대방2동,49
신도림동,77
신림동,26
신사1동,52
신사2동,46
신사동,60
신사동,27
신수동,49
신원동,14
신월1동,42
신월2동,28
신월3동,28
신월4동,38
신월5동,28
신월6동,49
신월7동,34
신정1동,125
신정2동,58
신정3동,89
신정4동,50
신정6동,74
신정7동,39
신촌동,28
쌍문1동,47
쌍문2동,31
쌍문3동,15
쌍문4동,18
아현동,65
안암동,17
암사1동,58
암사2동,38
암사3동,38
압구정동,83
약수동,36
양재1동,982
양재2동,226
양평1동,39
양평2동,86
여의동,1545
역삼1동,648
역삼2동,221
역촌동,61
연남동,33
연희동,120
염리동,85
염창동,94
영등포동,102
영등포본동,42
오금동,97
오류1동,37
오류2동,78
오륜동,34
옥수동,94
왕십리2동,24
왕십리도선동,71
용강동,65
용답동,55
용문동,25
용산2가동,14
용신동,82
우이동,36
우장산동,73
원효로1동,81
원효로2동,45
월계1동,46
월계2동,42
월계3동,45
월곡1동,19
월곡2동,49
위례동,163
은천동,57
을지로동,9
응봉동,20
응암1동,60
응암2동,75
응암3동,27
이문1동,23
이문2동,26
이촌1동,275
이촌2동,49
이태원1동,61
이태원2동,15
이화동,23
인수동,68
인헌동,36
일원1동,36
일원2동,101
일원본동,59
자양1동,76
자양2동,43
자양3동,73
자양4동,22
잠실2동,126
잠실3동,97
잠실4동,95
잠실6동,99
잠실7동,23
잠실본동,75
잠원동,53
장안1동,74
장안2동,73
장위1동,42
장위2동,20
장위3동,39
장지동,72
장충동,25
전농1동,62
전농2동,37
정릉1동,115
정릉2동,45
정릉3동,20
정릉4동,40
제기동,33
조원동,29
종로1·2·3·4가동,122
종로5·6가동,9
종암동,72
중계1동,37
중계2·3동,48
중계4동,40
중계본동,30
중곡1동,24
중곡2동,19
중곡3동,15
중곡4동,47
중림동,44
중앙동,21
중화1동,29
중화2동,34
증산동,30
진관동,197
창1동,55
창2동,44
창3동,22
창4동,52
창5동,39
창신1동,7
창신2동,6
창신3동,8
천연동,26
천호1동,72
천호2동,46
천호3동,57
청구동,28
청담동,146
청량리동,37
청룡동,101
청림동,19
청운효자동,51
청파동,27
충현동,66
평창동,82
풍납1동,33
풍납2동,54
필동,30
하계1동,41
하계2동,21
한강로동,129
한남동,113
합정동,71
항동,65
행당1동,82
행당2동,34
행운동,33
혜화동,23
홍은1동,47
홍은2동,58
홍제1동,42
홍제2동,18
홍제3동,21
화곡1동,85
화곡2동,19
화곡3동,26
화곡4동,22
화곡6동,48
화곡8동,40
화곡본동,40
화양동,26
황학동,31
회기동,7
회현동,103
효창동,16
후암동,37
휘경1동,14
휘경2동,41
흑석동,66
