,동,등록 자동차 수
0,가락1동,148
1,가락2동,75
2,가락본동,54
3,가리봉동,8
4,가산동,131
5,가양1동,449
6,가양2동,23
7,가양3동,32
8,가회동,19
9,갈현1동,25
10,갈현2동,27
11,강일동,137
12,개봉1동,65
13,개봉2동,34
14,개봉3동,13
15,개포1동,23
16,개포2동,119
17,개포4동,69
18,거여1동,24
19,거여2동,42
20,고덕1동,83
21,고덕2동,94
22,고척1동,52
23,고척2동,42
24,공덕동,120
25,공릉1동,72
26,공릉2동,65
27,공항동,166
28,광장동,64
29,광희동,43
30,교남동,39
31,구로1동,1367
32,구로2동,148
33,구로3동,96
34,구로4동,1543
35,구로5동,72
36,구산동,48
37,구의1동,37
38,구의2동,44
39,구의3동,47
40,군자동,32
41,금호1가동,32
42,금호2·3가동,38
43,금호4가동,46
44,길동,152
45,길음1동,72
46,길음2동,49
47,낙성대동,22
48,난곡동,21
49,난향동,26
50,남가좌1동,44
51,남가좌2동,54
52,남영동,18
53,남현동,18
54,내곡동,125
55,노량진1동,74
56,노량진2동,18
57,녹번동,108
58,논현1동,66
59,논현2동,103
60,능동,21
61,다산동,38
62,답십리1동,84
63,답십리2동,63
64,당산1동,86
65,당산2동,93
66,대림1동,37
67,대림2동,15
68,대림3동,44
69,대방동,50
70,대조동,20
71,대치1동,4256
72,대치2동,1619
73,대치4동,3058
74,대학동,70
75,대흥동,25
76,도곡1동,105
77,도곡2동,142
78,도림동,35
79,도봉1동,56
80,도봉2동,48
81,도화동,43
82,독산1동,124
83,독산2동,19
84,독산3동,31
85,독산4동,20
86,돈암1동,26
87,돈암2동,62
88,동선동,10
89,동화동,12
90,둔촌1동,6
91,둔촌2동,44
92,등촌1동,66
93,등촌2동,31
94,등촌3동,49
95,마장동,129
96,마천1동,36
97,마천2동,43
98,망우3동,52
99,망우본동,89
100,망원1동,54
101,망원2동,39
102,면목2동,56
103,면목3·8동,29
104,면목4동,35
105,면목5동,26
106,면목7동,34
107,면목본동,33
108,명동,200
109,명일1동,58
110,명일2동,34
111,목1동,102
112,목2동,36
113,목3동,35
114,목4동,39
115,목5동,95
116,무악동,18
117,묵1동,60
118,묵2동,23
119,문래동,103
120,문정1동,95
121,문정2동,102
122,미성동,34
123,미아동,30
124,반포1동,146
125,반포2동,153
126,반포3동,62
127,반포4동,81
128,반포본동,63
129,발산1동,173
130,방배1동,62
131,방배2동,38
132,방배3동,35
133,방배4동,61
134,방배본동,66
135,방이1동,49
136,방이2동,71
137,방학1동,139
138,방학2동,28
139,방학3동,43
140,방화1동,97
141,방화2동,105
142,방화3동,41
143,번1동,23
144,번2동,34
145,번3동,61
146,보광동,17
147,보라매동,36
148,보문동,37
149,부암동,30
150,북가좌1동,56
151,북가좌2동,50
152,북아현동,33
153,불광1동,57
154,불광2동,22
155,사근동,24
156,사당1동,34
157,사당2동,48
158,사당3동,48
159,사당4동,27
160,사당5동,21
161,사직동,142
162,삼각산동,55
163,삼선동,66
164,삼성1동,131
165,삼성2동,132
166,삼성동,29
167,삼양동,34
168,삼전동,69
169,삼청동,9
170,상계10동,25
171,상계1동,127
172,상계2동,47
173,상계3·4동,66
174,상계5동,30
175,상계6·7동,50
176,상계8동,32
177,상계9동,25
178,상도1동,90
179,상도2동,46
180,상도3동,30
181,상도4동,41
182,상봉1동,48
183,상봉2동,36
184,상암동,126
185,상일동,174
186,서강동,70
187,서교동,69
188,서림동,38
189,서빙고동,35
190,서원동,27
191,서초1동,1014
192,서초2동,117
193,서초3동,221
194,서초4동,111
195,석관동,54
196,석촌동,62
197,성내1동,64
198,성내2동,76
199,성내3동,42
200,성북동,46
201,성산1동,53
202,성산2동,95
203,성수1가1동,526
204,성수1가2동,144
205,성수2가1동,105
206,성수2가3동,54
207,성현동,46
208,세곡동,194
209,소공동,307
210,송정동,16
211,송중동,33
212,송천동,29
213,송파1동,49
214,송파2동,45
215,수궁동,36
216,수색동,26
217,수서동,61
218,수유1동,24
219,수유2동,22
220,수유3동,47
221,숭인1동,10
222,숭인2동,8
223,시흥1동,83
224,시흥2동,32
225,시흥3동,27
226,시흥4동,24
227,시흥5동,39
228,신길1동,22
229,신길3동,24
230,신길4동,24
231,신길5동,23
232,신길6동,28
233,신길7동,61
234,신내1동,90
235,신내2동,76
236,신당5동,18
237,신당동,26
238,신대방1동,68
239,신대방2동,49
240,신도림동,77
241,신림동,26
242,신사1동,52
243,신사2동,46
244,신사동,60
245,신사동,27
246,신수동,49
247,신원동,14
248,신월1동,42
249,신월2동,28
250,신월3동,28
251,신월4동,38
252,신월5동,28
253,신월6동,49
254,신월7동,34
255,신정1동,125
256,신정2동,58
257,신정3동,89
258,신정4동,50
259,신정6동,74
260,신정7동,39
261,신촌동,28
262,쌍문1동,47
263,쌍문2동,31
264,쌍문3동,15
265,쌍문4동,18
266,아현동,65
267,안암동,17
268,암사1동,58
269,암사2동,38
270,암사3동,38
271,압구정동,83
272,약수동,36
273,양재1동,982
274,양재2동,226
275,양평1동,39
276,양평2동,86
277,여의동,1545
278,역삼1동,648
279,역삼2동,221
280,역촌동,61
281,연남동,33
282,연희동,120
283,염리동,85
284,염창동,94
285,영등포동,102
286,영등포본동,42
287,오금동,97
288,오류1동,37
289,오류2동,78
290,오륜동,34
291,옥수동,94
292,왕십리2동,24
293,왕십리도선동,71
294,용강동,65
295,용답동,55
296,용문동,25
297,용산2가동,14
298,용신동,82
299,우이동,36
300,우장산동,73
301,원효로1동,81
302,원효로2동,45
303,월계1동,46
304,월계2동,42
305,월계3동,45
306,월곡1동,19
307,월곡2동,49
308,위례동,163
309,은천동,57
310,을지로동,9
311,응봉동,20
312,응암1동,60
