,동별,2015_12 등록된 전기차,2016_12 등록된 전기차,2017_12 등록된 전기차,2018_12 등록된 전기차,2019_12 등록된 전기차,2020_12 등록된 전기차,2021_12 등록된 전기차
0,서울특별시 강남구 개포2동,2,2,2,4,22,55,119
1,서울특별시 강남구 논현1동,7,3,3,9,36,64,66
2,서울특별시 강남구 논현2동,9,13,16,15,29,42,103
3,서울특별시 강남구 대치1동,4,79,104,223,232,196,4256
4,서울특별시 강남구 대치2동,2,3,8,748,1077,1775,1619
5,서울특별시 강남구 대치4동,10,23,2065,2783,3455,3971,3058
6,서울특별시 강남구 도곡1동,2,3,6,18,32,64,105
7,서울특별시 강남구 도곡2동,6,4,12,29,44,97,142
8,서울특별시 강남구 삼성1동,59,36,44,56,75,84,131
9,서울특별시 강남구 삼성2동,10,11,11,24,40,76,132
10,서울특별시 강남구 세곡동,11,6,7,31,77,110,194
11,서울특별시 강남구 수서동,1,1,5,9,12,35,61
12,서울특별시 강남구 신사동,4,6,12,24,28,35,60
13,서울특별시 강남구 압구정동,2,2,5,12,26,48,83
14,서울특별시 강남구 역삼1동,13,10,37,122,302,451,648
15,서울특별시 강남구 역삼2동,2,2,3,84,135,131,221
16,서울특별시 강남구 일원1동,1,1,2,4,12,22,36
17,서울특별시 강남구 일원2동,1,1,4,18,35,60,101
18,서울특별시 강남구 일원본동,1,1,2,10,21,39,59
19,서울특별시 강남구 청담동,8,10,31,31,53,101,146
20,서울특별시 강동구 고덕1동,2,2,5,19,36,53,83
21,서울특별시 강동구 고덕2동,1,1,0,4,21,43,94
22,서울특별시 강동구 둔촌1동,3,5,4,3,0,5,6
23,서울특별시 강동구 둔촌2동,1,2,4,15,19,27,44
24,서울특별시 강동구 상일동,1,1,1,4,8,60,104
25,서울특별시 강동구 성내1동,3,3,10,14,22,35,64
26,서울특별시 강동구 성내2동,4,6,27,32,40,55,76
27,서울특별시 강동구 천호2동,3,4,5,8,16,27,46
28,서울특별시 강동구 천호3동,1,2,1,5,15,28,57
29,서울특별시 강북구 미아동,6,7,8,15,17,25,30
30,서울특별시 강북구 번2동,1,1,5,7,13,25,34
31,서울특별시 강북구 송중동,2,2,2,3,12,23,33
32,서울특별시 강북구 수유3동,1,1,1,15,23,32,47
33,서울특별시 강북구 인수동,1,2,3,7,20,36,68
34,서울특별시 강서구 가양1동,21,12,44,88,115,205,449
35,서울특별시 강서구 공항동,8,5,17,22,38,53,166
36,서울특별시 강서구 등촌1동,4,5,8,15,26,41,66
37,서울특별시 강서구 등촌3동,1,2,1,3,11,26,49
38,서울특별시 강서구 발산1동,1,3,4,14,35,91,173
39,서울특별시 강서구 방화1동,1,4,6,15,27,57,97
40,서울특별시 강서구 방화3동,1,2,2,9,12,18,41
41,서울특별시 강서구 우장산동,2,2,1,10,16,25,73
42,서울특별시 강서구 화곡3동,1,0,2,5,7,16,26
43,서울특별시 강서구 화곡6동,2,3,4,7,7,20,48
44,서울특별시 강서구 화곡본동,1,2,4,6,9,21,40
45,서울특별시 관악구 삼성동,2,1,2,4,5,16,29
46,서울특별시 관악구 신림동,1,1,1,6,11,10,26
47,서울특별시 관악구 중앙동,1,0,1,6,10,13,21
48,서울특별시 관악구 청룡동,2,4,21,46,58,68,101
49,서울특별시 광진구 광장동,3,4,8,17,26,35,64
50,서울특별시 광진구 구의1동,2,2,5,9,11,23,37
51,서울특별시 광진구 구의3동,2,2,6,10,13,26,47
