동,2015_12 등록된 전기차,2016_12 등록된 전기차,2017_12 등록된 전기차,2018_12 등록된 전기차,2019_12 등록된 전기차,2020_12 등록된 전기차,2021_12 등록된 전기차
가락1동,0,0,7,8,55,84,148
가락2동,1,2,6,9,20,47,75
가락본동,0,1,0,10,19,30,54
가리봉동,0,0,1,1,3,7,8
가산동,4,57,67,58,200,222,131
가양1동,21,12,44,88,115,205,449
가양2동,0,0,0,5,6,11,23
가양3동,0,0,0,6,5,17,32
가회동,2,2,3,5,8,9,19
갈현1동,1,2,4,10,8,15,25
갈현2동,0,0,0,6,7,16,27
강일동,0,0,7,27,35,60,137
개봉1동,2,2,5,14,18,34,65
개봉2동,0,0,1,6,13,19,34
개봉3동,0,0,2,4,2,6,13
개포1동,0,0,2,3,5,13,23
개포2동,2,2,2,4,22,55,119
개포4동,0,1,4,5,8,26,69
거여1동,2,2,2,2,7,10,24
거여2동,1,1,1,7,8,19,42
고덕1동,2,2,5,19,36,53,83
고덕2동,1,1,0,4,21,43,94
고척1동,3,3,4,8,20,33,52
고척2동,0,0,1,7,13,20,42
공덕동,5,9,10,29,44,61,120
공릉1동,4,5,6,9,21,34,72
공릉2동,1,0,7,15,22,29,65
공항동,8,5,17,22,38,53,166
광장동,3,4,8,17,26,35,64
광희동,2,2,5,20,21,28,43
교남동,0,0,1,4,8,17,39
구로1동,0,1,5,47,57,399,1367
구로2동,0,1,19,27,33,80,148
구로3동,2,3,5,7,22,43,96
구로4동,1,2,3,3,5,154,1543
구로5동,1,2,7,15,15,26,72
구산동,1,1,6,10,13,23,48
구의1동,2,2,5,9,11,23,37
구의2동,0,0,3,11,19,28,44
구의3동,2,2,6,10,13,26,47
군자동,0,0,1,3,5,14,32
금호1가동,0,0,5,8,11,16,32
금호2·3가동,1,1,3,10,20,24,38
금호4가동,0,0,2,9,16,20,46
길동,0,1,2,14,44,89,152
길음1동,0,2,4,14,33,46,72
길음2동,1,2,3,10,15,28,49
낙성대동,0,1,2,4,7,13,22
난곡동,0,0,1,6,7,10,21
난향동,0,0,0,5,10,13,26
남가좌1동,0,1,1,3,10,19,44
남가좌2동,0,0,2,4,11,25,54
남영동,2,3,6,7,10,16,18
남현동,0,0,2,5,12,18,18
내곡동,6,6,8,16,26,51,125
노량진1동,0,2,9,19,32,43,74
노량진2동,0,0,9,11,12,13,18
녹번동,0,7,24,33,43,66,108
논현1동,7,3,3,9,36,64,66
논현2동,9,13,16,15,29,42,103
능동,1,0,3,5,7,12,21
다산동,1,1,2,5,12,22,38
답십리1동,0,0,2,12,24,36,84
답십리2동,1,1,2,8,19,27,63
당산1동,6,9,32,42,50,64,86
당산2동,3,4,9,20,25,48,93
대림1동,0,0,2,2,8,16,37
대림2동,0,0,0,2,5,10,15
대림3동,0,0,1,4,6,16,44
대방동,1,1,3,12,16,31,50
대조동,0,0,1,4,5,9,20
대치1동,4,79,104,223,232,196,4256
대치2동,2,3,8,748,1077,1775,1619
대치4동,10,23,2065,2783,3455,3971,3058
대학동,0,1,1,9,25,56,70
대흥동,0,0,0,4,7,13,25
도곡1동,2,3,6,18,32,64,105
도곡2동,6,4,12,29,44,97,142
도림동,0,0,2,6,9,18,35
도봉1동,0,0,0,2,10,25,56
도봉2동,1,1,2,9,14,24,48
도화동,3,4,6,14,25,27,43
독산1동,0,2,5,17,36,62,124
독산2동,0,0,1,4,5,13,19
독산3동,0,0,1,4,8,14,31
독산4동,0,0,0,1,5,9,20
돈암1동,0,0,0,0,7,11,26
돈암2동,0,0,3,14,28,38,62
동선동,0,0,2,6,5,10,10
동화동,0,0,1,4,6,8,12
둔촌1동,3,5,4,3,0,5,6
둔촌2동,1,2,4,15,19,27,44
등촌1동,4,5,8,15,26,41,66
등촌2동,0,0,2,4,10,18,31
등촌3동,1,2,1,3,11,26,49
마장동,2,5,18,29,46,79,129
마천1동,2,2,7,13,21,31,36
마천2동,1,1,1,3,7,20,43
망우3동,0,1,2,3,10,24,52
망우본동,1,0,3,11,17,62,89
망원1동,1,1,3,3,11,24,54
망원2동,1,2,3,9,16,24,39
면목2동,1,1,2,6,14,40,56
면목3·8동,0,0,0,2,4,6,29
면목4동,10,10,0,1,5,18,35
면목5동,0,0,0,0,6,9,26
면목7동,0,0,1,3,10,22,34
면목본동,0,0,0,6,8,21,33
명동,28,33,57,75,112,142,200
명일1동,0,0,4,6,23,30,58
명일2동,0,0,2,6,12,19,34
목1동,38,40,9,16,28,58,102
목2동,2,3,6,15,17,25,36
목3동,0,0,0,4,10,15,35
목4동,0,0,0,8,13,15,39
목5동,2,2,8,23,36,54,95
무악동,0,0,0,2,7,12,18
묵1동,2,3,6,12,22,27,60
묵2동,0,1,2,5,4,6,23
