,동,등록 자동차 수,격자수,격자수대비 등록수,정규화
0,가락1동,148,116,1.2758620689655171,0.028952473233778028
1,가락2동,75,82,0.9146341463414634,0.02055976669613476
2,가락본동,54,111,0.4864864864864865,0.010612258657889168
3,가리봉동,8,64,0.125,0.002213544692572883
4,가산동,131,273,0.4798534798534798,0.010458148538913112
5,가양1동,449,539,0.8330241187384044,0.018663653551763366
6,가양2동,23,67,0.3432835820895522,0.007285107359033224
7,가양3동,32,29,1.103448275862069,0.02494664124258625
8,가회동,19,55,0.3454545454545454,0.007335547143128556
9,갈현1동,25,126,0.1984126984126984,0.003919202520568431
10,갈현2동,27,106,0.2547169811320754,0.005227366402927076
11,강일동,137,423,0.3238770685579196,0.006834219809126667
12,개봉1동,65,85,0.7647058823529411,0.017076359565774156
13,개봉2동,34,105,0.3238095238095238,0.006832650486225693
14,개봉3동,13,98,0.1326530612244898,0.0023913545819778245
15,개포1동,23,164,0.1402439024390244,0.002567718862525815
16,개포2동,119,179,0.664804469273743,0.014755267562202239
17,개포4동,69,128,0.5390625,0.011833800583919397
18,거여1동,24,76,0.3157894736842105,0.006646314040720632
19,거여2동,42,78,0.5384615384615384,0.011819837948373177
20,고덕1동,83,170,0.488235294117647,0.010652890149310158
21,고덕2동,94,196,0.4795918367346938,0.010452069568335165
22,고척1동,52,127,0.4094488188976378,0.008822378928434758
23,고척2동,42,96,0.4375,0.009474115176607989
24,공덕동,120,92,1.3043478260869563,0.029614306345366232
25,공릉1동,72,91,0.7912087912087912,0.0176921235266697
26,공릉2동,65,743,0.0874831763122476,0.0013418853558623417
27,공항동,166,1169,0.1420017108639863,0.0026085594768197884
28,광장동,64,278,0.2302158273381295,0.004658110869931465
29,광희동,43,75,0.5733333333333334,0.012630043147001915
30,교남동,39,52,0.75,0.016734685660643095
31,구로1동,1367,146,9.363013698630136,0.21684794338500787
32,구로2동,148,121,1.2231404958677683,0.027727549401760702
33,구로3동,96,168,0.5714285714285714,0.012585788241194463
34,구로4동,1543,69,22.36231884057971,0.5188715313101434
35,구로5동,72,119,0.6050420168067226,0.013366757167208322
36,구산동,48,148,0.3243243243243243,0.006844611271579058
37,구의1동,37,65,0.5692307692307692,0.01253472488833971
38,구의2동,44,138,0.3188405797101449,0.006717202905858427
39,구의3동,47,134,0.3507462686567164,0.0074584941168609285
40,군자동,32,73,0.4383561643835616,0.00949400715053685
41,금호1가동,32,44,0.7272727272727273,0.016206644170895085
42,금호2·3가동,38,48,0.7916666666666666,0.017702761725181107
43,금호4가동,46,98,0.4693877551020408,0.010214989715795243
44,길동,152,125,1.216,0.027561648366436244
45,길음1동,72,88,0.8181818181818182,0.01831881012988712
46,길음2동,49,75,0.6533333333333333,0.0144887491909149
47,낙성대동,22,264,0.0833333333333333,0.0012454686280348683
48,난곡동,21,105,0.2,0.003956081608741308
49,난향동,26,85,0.3058823529411765,0.006416133725684969
50,남가좌1동,44,85,0.5176470588235295,0.011336237959572287
51,남가좌2동,54,72,0.75,0.016734685660643095
52,남영동,18,113,0.1592920353982301,0.0030102798607324873
53,남현동,18,369,0.048780487804878,0.00044267384280822223
54,내곡동,125,1394,0.0896700143472023,0.0013926939692702055
55,노량진1동,74,119,0.6218487394957983,0.013757241630215253
56,노량진2동,18,80,0.225,0.0045369272474641165
57,녹번동,108,245,0.4408163265306122,0.009551166128683463
58,논현1동,66,128,0.515625,0.011289257797616765
59,논현2동,103,156,0.6602564102564102,0.01464959875240737
60,능동,21,98,0.2142857142857142,0.004287993402297197
61,다산동,38,57,0.6666666666666666,0.014798533531567066
62,답십리1동,84,49,1.7142857142857142,0.039138731725665704
63,답십리2동,63,96,0.65625,0.014556514515432563
64,당산1동,86,98,0.8775510204081632,0.019698183817392117
65,당산2동,93,169,0.5502958579881657,0.012094794463744922
66,대림1동,37,62,0.5967741935483871,0.013174664003954914
67,대림2동,15,54,0.2777777777777778,0.005763156929212268
68,대림3동,44,71,0.6197183098591549,0.013707743599693246
69,대방동,50,127,0.3937007874015748,0.008456491911916456
70,대조동,20,68,0.2941176470588235,0.006142794601580116
71,대치1동,4256,106,40.15094339622642,0.9321693309911373
72,대치2동,1619,180,8.994444444444444,0.20828466963056477
73,대치4동,3058,71,43.070422535211264,1.0
74,대학동,70,864,0.0810185185185185,0.0011916866244494236
75,대흥동,25,95,0.2631578947368421,0.005423481117093666
76,도곡1동,105,99,1.0606060606060606,0.023951252687199196
77,도곡2동,142,83,1.710843373493976,0.03905875298023055
78,도림동,35,38,0.9210526315789472,0.020708892662430728
79,도봉1동,56,866,0.0646651270207852,0.0008117347792580215
80,도봉2동,48,141,0.3404255319148936,0.007218703919865169
81,도화동,43,55,0.7818181818181819,0.017473943746290306
82,독산1동,124,228,0.543859649122807,0.011945256709770815
83,독산2동,19,78,0.2435897435897435,0.004968838107027229
84,독산3동,31,136,0.2279411764705882,0.004605262028490329
85,독산4동,20,51,0.392156862745098,0.008420620635787208
86,돈암1동,26,72,0.3611111111111111,0.007699309058288297
87,돈암2동,62,83,0.7469879518072289,0.016664704258387335
88,동선동,10,48,0.2083333333333333,0.00414969682164891
89,동화동,12,27,0.4444444444444444,0.009635461187364323
90,둔촌1동,6,92,0.0652173913043478,0.0008245659912792101
91,둔촌2동,44,171,0.2573099415204678,0.005287610792246225
92,등촌1동,66,75,0.88,0.0197550829820017
93,등촌2동,31,89,0.348314606741573,0.007401997308130554
94,등촌3동,49,127,0.3858267716535433,0.008273548403657302
95,마장동,129,143,0.902097902097902,0.020268501784341295
96,마천1동,36,64,0.5625,0.01237834337022203
97,마천2동,43,92,0.4673913043478261,0.010168604527254826
98,망우3동,52,128,0.40625,0.008748058128204478
99,망우본동,89,269,0.3308550185873606,0.006996344282799726
100,망원1동,54,125,0.432,0.00934632913608897
101,망원2동,39,71,0.5492957746478874,0.01207155870188252
102,면목2동,56,93,0.6021505376344086,0.013299577044540463
103,면목3·8동,29,134,0.2164179104477611,0.004337532475962255
104,면목4동,35,88,0.3977272727272727,0.008550042569548975
105,면목5동,26,64,0.40625,0.008748058128204478
106,면목7동,34,116,0.293103448275862,0.0061192308839848695
107,면목본동,33,82,0.4024390243902439,0.008659514585716246
108,명동,200,91,2.197802197802198,0.050372669353711236
109,명일1동,58,82,0.7073170731707317,0.015742997984774885
110,명일2동,34,95,0.3578947368421052,0.007624580379622203
111,목1동,102,202,0.504950495049505,0.011041248211775961
112,목2동,36,155,0.232258064516129,0.004705559852254609
113,목3동,35,90,0.3888888888888889,0.00834469310131364
114,목4동,39,75,0.52,0.011390905784393257
115,목5동,95,186,0.510752688172043,0.01117605535458611
116,무악동,18,69,0.2608695652173913,0.00537031446824032
117,묵1동,60,163,0.3680981595092024,0.007861644921871356
118,묵2동,23,84,0.2738095238095238,0.005670959208780075
119,문래동,103,143,0.7202797202797203,0.01604416986635724
120,문정1동,95,65,1.4615384615384617,0.033266446147369184
121,문정2동,102,206,0.4951456310679611,0.010813443712497959
122,미성동,34,102,0.3333333333333333,0.007053925015262953
123,미아동,30,74,0.4054054054054054,0.008728434964734112
124,반포1동,146,104,1.4038461538461535,0.03192603313493192
125,반포2동,153,144,1.0625,0.0239952561446782
126,반포3동,62,100,0.62,0.013714288339284491
127,반포4동,81,119,0.680672268907563,0.015123937250739508
128,반포본동,63,97,0.6494845360824743,0.014399326907015309
129,발산1동,173,298,0.5805369127516778,0.012797409854535466
