,시군구명,동,혼잡빈도강도
0,종로구,사직동,90.43
1,종로구,삼청동,32.45
2,종로구,부암동,60.51
3,종로구,평창동,45.55
4,종로구,무악동,36.04
5,종로구,교남동,56.4
6,종로구,가회동,57.29
7,종로구,종로1·2·3·4가동,66.23
8,종로구,종로5·6가동,75.37
9,종로구,이화동,33.04
10,종로구,창신1동,93.56
11,종로구,창신2동,55.29
12,종로구,창신3동,3.78
13,종로구,숭인1동,67.69
14,종로구,숭인2동,94.6
15,종로구,청운효자동,28.04
16,종로구,혜화동,43.76
17,중구,소공동,42.81
18,중구,회현동,41.71
19,중구,명동,42.89
20,중구,필동,28.73
21,중구,장충동,29.02
22,중구,광희동,41.14
23,중구,을지로동,47.08
24,중구,신당5동,49.66
25,중구,황학동,57.28
26,중구,중림동,37.07
27,중구,신당동,54.6
28,중구,다산동,26.46
29,중구,약수동,37.88
30,중구,청구동,74.69
31,중구,동화동,50.87
32,용산구,후암동,31.63
33,용산구,용산2가동,27.86
34,용산구,남영동,38.87
35,용산구,원효로2동,58.89
36,용산구,효창동,38.11
37,용산구,용문동,63.6
38,용산구,이촌1동,63.18
39,용산구,이촌2동,71.08
40,용산구,이태원1동,36.8
41,용산구,이태원2동,31.99
42,용산구,서빙고동,58.05
43,용산구,보광동,63.55
44,용산구,청파동,38.19
45,용산구,원효로1동,37.66
46,용산구,한강로동,33.09
47,용산구,한남동,38.12
48,성동구,왕십리2동,41.4
49,성동구,마장동,37.64
50,성동구,사근동,34.01
51,성동구,행당1동,31.08
52,성동구,행당2동,38.26
53,성동구,응봉동,24.69
54,성동구,금호1가동,46.17
55,성동구,금호4가동,33.91
56,성동구,성수1가1동,52.78
57,성동구,성수1가2동,57.43
58,성동구,성수2가1동,78.24
59,성동구,성수2가3동,49.27
60,성동구,송정동,55.29
61,성동구,용답동,28.73
62,성동구,왕십리도선동,44.33
63,성동구,금호2·3가동,38.74
64,성동구,옥수동,35.96
65,광진구,화양동,73.46
66,광진구,군자동,79.55
67,광진구,중곡1동,73.36
68,광진구,중곡2동,88.86
69,광진구,중곡3동,70.38
70,광진구,중곡4동,63.39
71,광진구,능동,41.8
72,광진구,구의1동,75.26
73,광진구,구의2동,91.6
74,광진구,구의3동,47.97
75,광진구,광장동,64.43
76,광진구,자양1동,54.12
77,광진구,자양2동,59.57
78,광진구,자양3동,65.26
79,광진구,자양4동,83.12
80,동대문구,회기동,66.81
81,동대문구,휘경1동,73.53
82,동대문구,휘경2동,50.71
83,동대문구,청량리동,63.98
84,동대문구,용신동,58.01
85,동대문구,제기동,50.8
86,동대문구,전농1동,58.41
87,동대문구,전농2동,23.39
88,동대문구,답십리2동,34.48
89,동대문구,장안1동,26.71
90,동대문구,장안2동,27.24
91,동대문구,이문1동,34.97
92,동대문구,이문2동,46.68
93,동대문구,답십리1동,28.44
94,중랑구,면목2동,68.7
95,중랑구,면목4동,60.26
96,중랑구,면목5동,62.09
97,중랑구,면목7동,40.99
98,중랑구,상봉1동,33.12
99,중랑구,상봉2동,87.6
100,중랑구,중화1동,85.31
101,중랑구,중화2동,72.89
102,중랑구,묵1동,69.71
103,중랑구,묵2동,56.73
104,중랑구,망우3동,54.18
105,중랑구,신내1동,61.66
106,중랑구,신내2동,44.94
107,중랑구,면목본동,58.45
108,중랑구,면목3·8동,40.34
109,중랑구,망우본동,80.67
110,성북구,돈암1동,30.36
111,성북구,돈암2동,27.99
112,성북구,안암동,38.35
113,성북구,보문동,31.48
114,성북구,정릉1동,25.87
115,성북구,정릉2동,77.54
116,성북구,정릉3동,61.56
117,성북구,정릉4동,38.63
118,성북구,길음1동,36.43
119,성북구,길음2동,58.11
120,성북구,월곡1동,34.7
121,성북구,월곡2동,54.29
122,성북구,장위1동,68.18
