,시군구명,읍면동명,혼잡시간강도
0,종로구,사직동,95.12
1,종로구,삼청동,53.03
2,종로구,부암동,74.4
3,종로구,평창동,59.39
4,종로구,무악동,67.78
5,종로구,교남동,71.99
6,종로구,가회동,75.69
7,종로구,종로1·2·3·4가동,85.28
8,종로구,종로5·6가동,89.97
9,종로구,이화동,66.47
10,종로구,창신1동,98.02
11,종로구,창신2동,72.83
12,종로구,창신3동,22.39
13,종로구,숭인1동,82.61
14,종로구,숭인2동,98.56
15,종로구,청운효자동,52.06
16,종로구,혜화동,72.55
17,중구,소공동,72.15
18,중구,회현동,70.17
19,중구,명동,73.12
20,중구,필동,55.82
21,중구,장충동,55.4
22,중구,광희동,73.04
23,중구,을지로동,77.94
24,중구,신당5동,75.93
25,중구,황학동,83.98
26,중구,중림동,65.93
27,중구,신당동,78.0
28,중구,다산동,57.04
29,중구,약수동,64.06
30,중구,청구동,89.58
31,중구,동화동,76.39
32,용산구,후암동,44.09
33,용산구,용산2가동,46.73
34,용산구,남영동,65.86
35,용산구,원효로2동,70.8
36,용산구,효창동,67.1
37,용산구,용문동,81.06
38,용산구,이촌1동,77.47
39,용산구,이촌2동,84.73
40,용산구,이태원1동,55.36
41,용산구,이태원2동,51.23
42,용산구,서빙고동,70.25
43,용산구,보광동,76.32
44,용산구,청파동,67.72
45,용산구,원효로1동,64.02
46,용산구,한강로동,64.23
47,용산구,한남동,57.66
48,성동구,왕십리2동,68.17
49,성동구,마장동,60.8
50,성동구,사근동,57.94
51,성동구,행당1동,59.13
52,성동구,행당2동,68.72
53,성동구,응봉동,48.16
54,성동구,금호1가동,69.97
55,성동구,금호4가동,61.06
56,성동구,성수1가1동,75.69
57,성동구,성수1가2동,73.98
58,성동구,성수2가1동,89.15
59,성동구,성수2가3동,78.12
60,성동구,송정동,70.46
61,성동구,용답동,55.43
62,성동구,왕십리도선동,73.37
63,성동구,금호2·3가동,55.65
64,성동구,옥수동,60.99
65,광진구,화양동,88.21
66,광진구,군자동,89.6
67,광진구,중곡1동,84.38
68,광진구,중곡2동,94.51
69,광진구,중곡3동,81.56
70,광진구,중곡4동,81.1
71,광진구,능동,69.05
72,광진구,구의1동,89.0
73,광진구,구의2동,95.32
74,광진구,구의3동,66.59
75,광진구,광장동,76.26
76,광진구,자양1동,74.62
77,광진구,자양2동,71.87
78,광진구,자양3동,77.41
79,광진구,자양4동,91.0
80,동대문구,회기동,88.0
81,동대문구,휘경1동,82.33
82,동대문구,휘경2동,70.0
83,동대문구,청량리동,78.8
84,동대문구,용신동,76.41
85,동대문구,제기동,71.87
86,동대문구,전농1동,78.21
87,동대문구,전농2동,49.5
88,동대문구,답십리2동,62.13
89,동대문구,장안1동,53.72
90,동대문구,장안2동,55.29
91,동대문구,이문1동,60.63
92,동대문구,이문2동,60.39
93,동대문구,답십리1동,49.3
94,중랑구,면목2동,81.91
95,중랑구,면목4동,75.43
96,중랑구,면목5동,76.74
97,중랑구,면목7동,64.86
98,중랑구,상봉1동,59.19
99,중랑구,상봉2동,94.3
100,중랑구,중화1동,91.01
101,중랑구,중화2동,85.2
102,중랑구,묵1동,83.38
103,중랑구,묵2동,76.35
104,중랑구,망우3동,76.81
105,중랑구,신내1동,73.75
106,중랑구,신내2동,74.77
107,중랑구,면목본동,78.02
108,중랑구,면목3·8동,68.83
109,중랑구,망우본동,87.33
110,성북구,돈암1동,58.42
111,성북구,돈암2동,40.4
112,성북구,안암동,67.92
113,성북구,보문동,53.82
114,성북구,정릉1동,54.86
115,성북구,정릉2동,85.83
116,성북구,정릉3동,73.12
117,성북구,정릉4동,65.18
118,성북구,길음1동,65.77
119,성북구,길음2동,77.14
120,성북구,월곡1동,67.56
121,성북구,월곡2동,74.04
122,성북구,장위1동,82.52
123,성북구,장위2동,89.43
124,성북구,장위3동,58.68
125,성북구,성북동,66.93
126,성북구,삼선동,71.25
127,성북구,동선동,64.75
128,성북구,종암동,60.11
129,성북구,석관동,78.53
130,강북구,번1동,75.15
131,강북구,번2동,59.69
132,강북구,번3동,48.82
133,강북구,수유1동,56.78
134,강북구,수유2동,65.91
135,강북구,수유3동,78.36
136,강북구,삼양동,58.48
137,강북구,미아동,55.89
138,강북구,송중동,66.34
139,강북구,송천동,72.52
140,강북구,삼각산동,73.96
141,강북구,우이동,65.8
142,강북구,인수동,82.42
143,도봉구,쌍문1동,58.68
144,도봉구,쌍문2동,79.4
145,도봉구,쌍문3동,76.45
146,도봉구,쌍문4동,69.15
147,도봉구,방학1동,67.19
148,도봉구,방학2동,64.54
149,도봉구,방학3동,53.89
150,도봉구,창1동,65.43
151,도봉구,창2동,54.31
152,도봉구,창3동,76.9
153,도봉구,창4동,52.0
154,도봉구,창5동,63.05
155,도봉구,도봉1동,55.73
156,도봉구,도봉2동,60.41
157,노원구,월계1동,71.57
158,노원구,월계2동,47.32
159,노원구,월계3동,63.28
160,노원구,공릉2동,50.52
161,노원구,하계1동,54.95
162,노원구,하계2동,92.92
163,노원구,중계본동,62.31
164,노원구,중계1동,57.89
165,노원구,중계4동,66.84
166,노원구,상계1동,79.06
167,노원구,상계2동,72.97
168,노원구,상계5동,72.62
169,노원구,상계8동,93.84
170,노원구,상계9동,82.1
171,노원구,상계10동,85.67
172,노원구,상계3·4동,59.49
173,노원구,상계6·7동,91.24
174,노원구,중계2·3동,78.38
175,노원구,공릉1동,78.65
176,은평구,녹번동,57.47
177,은평구,불광1동,61.56
178,은평구,갈현1동,96.74
179,은평구,갈현2동,82.05
180,은평구,구산동,69.78
181,은평구,대조동,74.24
182,은평구,응암1동,60.49
183,은평구,응암2동,72.33
184,은평구,신사1동,85.96
185,은평구,신사2동,99.96
186,은평구,증산동,90.89
187,은평구,수색동,56.13
188,은평구,진관동,80.5
189,은평구,불광2동,81.63
190,은평구,응암3동,69.85
191,은평구,역촌동,85.27
192,서대문구,천연동,91.49
193,서대문구,홍제1동,73.19
194,서대문구,홍제3동,81.79
195,서대문구,홍제2동,63.05
196,서대문구,홍은1동,65.97
197,서대문구,홍은2동,76.67
198,서대문구,남가좌1동,59.29
199,서대문구,남가좌2동,81.69
200,서대문구,북가좌1동,70.78
201,서대문구,북가좌2동,76.79
202,서대문구,충현동,76.76
203,서대문구,북아현동,99.97
204,서대문구,신촌동,97.71
205,서대문구,연희동,86.23
206,마포구,용강동,93.25
207,마포구,대흥동,78.99
208,마포구,염리동,70.33
209,마포구,신수동,85.42
210,마포구,서교동,89.28
211,마포구,합정동,91.77
212,마포구,망원1동,93.05
213,마포구,망원2동,93.21
214,마포구,연남동,73.31
215,마포구,성산1동,75.01
216,마포구,성산2동,77.11
217,마포구,상암동,61.18
218,마포구,도화동,96.12
219,마포구,서강동,80.64
220,마포구,공덕동,75.68
221,마포구,아현동,98.15
222,양천구,목1동,52.46
223,양천구,목2동,79.85
224,양천구,목3동,72.83
225,양천구,목4동,70.21
