시군구명,동,혼잡빈도강도,정규화
종로구,사직동,90.43,0.9017587678218337
종로구,삼청동,32.45,0.2983661151004267
종로구,부암동,60.51,0.5903840149859506
종로구,평창동,45.55,0.4346966385680091
종로구,무악동,36.04,0.33572692267665727
종로구,교남동,56.4,0.5476116141117702
종로구,가회동,57.29,0.5568737641794151
종로구,종로1·2·3·4가동,66.23,0.6499115412633989
종로구,종로5·6가동,75.37,0.7450307003850557
종로구,이화동,33.04,0.30450619211156205
종로구,창신1동,93.56,0.9343323967114163
종로구,창신2동,55.29,0.536059943802685
종로구,창신3동,3.78,0.0
종로구,숭인1동,67.69,0.6651056301384118
종로구,숭인2동,94.6,0.945155583307316
종로구,청운효자동,28.04,0.2524716411697367
종로구,혜화동,43.76,0.4160682693308356
중구,소공동,42.81,0.40618170465188885
중구,회현동,41.71,0.39473410344468723
중구,명동,42.89,0.407014257466958
중구,필동,28.73,0.2596524091997086
중구,장충동,29.02,0.2626704131543344
중구,광희동,41.14,0.38880216463731915
중구,을지로동,47.08,0.4506192111562077
중구,신당5동,49.66,0.47746903944218955
중구,황학동,57.28,0.5567696950775315
중구,중림동,37.07,0.3464460401706733
중구,신당동,54.6,0.528879175772713
중구,다산동,26.46,0.2360287230721199
중구,약수동,37.88,0.354875637423249
중구,청구동,74.69,0.7379540014569673
중구,동화동,50.87,0.4900614007701113
용산구,후암동,31.63,0.2898324487459673
용산구,용산2가동,27.86,0.25059839733583095
용산구,남영동,38.87,0.3651784785097304
용산구,원효로2동,58.89,0.5735248204807992
용산구,효창동,38.11,0.35726922676657297
용산구,용문동,63.6,0.6225413674679987
용산구,이촌1동,63.18,0.6181704651888854
용산구,이촌2동,71.08,0.7003850556769694
용산구,이태원1동,36.8,0.3436361744198147
용산구,이태원2동,31.99,0.2935789364137787
용산구,서빙고동,58.05,0.5647830159225725
용산구,보광동,63.55,0.6220210219585804
용산구,청파동,38.19,0.3581017795816422
용산구,원효로1동,37.66,0.35258611718180866
용산구,한강로동,33.09,0.30502653762098036
용산구,한남동,38.12,0.3573732958684566
성동구,왕십리2동,41.4,0.39150796128629406
성동구,마장동,37.64,0.3523779789780414
