동,인구수,여자,남자,혼잡빈도강도
사직동,9630,4335,5295,90.43
삼청동,2741,1312,1429,32.45
부암동,9702,4654,5048,60.51
평창동,18272,8518,9754,45.55
무악동,8245,3823,4422,36.04
교남동,10148,4671,5477,56.4
가회동,4152,1915,2237,57.29
종로5·6가동,5464,2894,2570,75.37
이화동,7697,3613,4084,33.04
창신1동,5640,3006,2634,93.56
창신3동,6668,3302,3366,3.78
숭인1동,6126,2913,3213,67.69
숭인2동,10266,5048,5218,94.6
청운효자동,12100,5595,6505,28.04
혜화동,18982,8728,10254,43.76
소공동,3423,1739,1684,42.81
회현동,5394,2793,2601,41.71
명동,3726,1654,2072,42.89
필동,4630,2365,2265,28.73
장충동,5301,2711,2590,29.02
광희동,6326,3194,3132,41.14
을지로동,1932,1148,784,47.08
신당5동,10640,5156,5484,49.66
황학동,13481,6364,7117,57.28
중림동,12283,6118,6165,37.07
신당동,9116,4406,4710,54.6
다산동,14193,6860,7333,26.46
약수동,16847,7814,9033,37.88
청구동,13769,6544,7225,74.69
동화동,10389,5003,5386,50.87
후암동,17220,8408,8812,31.63
용산2가동,10779,5270,5509,27.86
남영동,7811,4700,3111,38.87
원효로2동,13839,6513,7326,58.89
효창동,10179,4831,5348,38.11
용문동,11932,5694,6238,63.6
이촌1동,26447,12435,14012,63.18
이촌2동,8310,3883,4427,71.08
이태원1동,8068,4200,3868,36.8
이태원2동,10576,4966,5610,31.99
서빙고동,13879,6659,7220,58.05
보광동,14610,7463,7147,63.55
청파동,20081,9279,10802,38.19
원효로1동,16618,7900,8718,37.66
한강로동,23286,11158,12128,33.09
한남동,22883,11212,11671,38.12
왕십리2동,16730,8061,8669,41.4
마장동,22975,11267,11708,37.64
사근동,13627,6840,6787,34.01
행당1동,14238,6834,7404,31.08
행당2동,23273,10886,12387,38.26
응봉동,15348,7313,8035,24.69
금호1가동,15196,7227,7969,46.17
금호4가동,14419,6852,7567,33.91
성수1가1동,16792,8393,8399,52.78
성수1가2동,12686,6214,6472,57.43
성수2가1동,16138,8405,7733,78.24
성수2가3동,10926,5509,5417,49.27
송정동,10854,5711,5143,55.29
용답동,12474,6389,6085,28.73
왕십리도선동,26959,12736,14223,44.33
옥수동,26173,12205,13968,35.96
화양동,26567,12266,14301,73.46
군자동,21341,10530,10811,79.55
중곡1동,15761,7603,8158,73.36
중곡2동,21650,10158,11492,88.86
중곡3동,16301,8058,8243,70.38
