시군구명,동,혼잡빈도강도
종로구,사직동,90.43
종로구,삼청동,32.45
종로구,부암동,60.51
종로구,평창동,45.55
종로구,무악동,36.04
종로구,교남동,56.4
종로구,가회동,57.29
종로구,종로1·2·3·4가동,66.23
종로구,종로5·6가동,75.37
종로구,이화동,33.04
종로구,창신1동,93.56
종로구,창신3동,3.78
종로구,숭인1동,67.69
종로구,숭인2동,94.6
종로구,청운효자동,28.04
종로구,혜화동,43.76
중구,소공동,42.81
중구,회현동,41.71
중구,명동,42.89
중구,필동,28.73
중구,장충동,29.02
중구,광희동,41.14
중구,을지로동,47.08
중구,신당5동,49.66
중구,황학동,57.28
중구,중림동,37.07
중구,신당동,54.6
중구,다산동,26.46
중구,약수동,37.88
중구,청구동,74.69
중구,동화동,50.87
용산구,후암동,31.63
용산구,용산2가동,27.86
용산구,남영동,38.87
용산구,원효로2동,58.89
용산구,효창동,38.11
용산구,용문동,63.6
용산구,이촌1동,63.18
용산구,이촌2동,71.08
용산구,이태원1동,36.8
용산구,이태원2동,31.99
용산구,서빙고동,58.05
용산구,보광동,63.55
용산구,청파동,38.19
용산구,원효로1동,37.66
용산구,한강로동,33.09
용산구,한남동,38.12
성동구,왕십리2동,41.4
성동구,마장동,37.64
성동구,사근동,34.01
성동구,행당1동,31.08
성동구,행당2동,38.26
성동구,응봉동,24.69
성동구,금호1가동,46.17
성동구,금호4가동,33.91
성동구,성수1가1동,52.78
성동구,성수1가2동,57.43
성동구,성수2가1동,78.24
성동구,성수2가3동,49.27
성동구,송정동,55.29
성동구,용답동,28.73
성동구,왕십리도선동,44.33
성동구,금호2·3가동,38.74
성동구,옥수동,35.96
광진구,화양동,73.46
광진구,군자동,79.55
광진구,중곡1동,73.36
광진구,중곡2동,88.86
광진구,중곡3동,70.38
광진구,중곡4동,63.39
광진구,능동,41.8
광진구,구의1동,75.26
광진구,구의2동,91.6
광진구,구의3동,47.97
광진구,광장동,64.43
광진구,자양1동,54.12
광진구,자양2동,59.57
광진구,자양3동,65.26
광진구,자양4동,83.12
동대문구,회기동,66.81
