시군구명,읍면동명,혼잡시간강도
종로구,사직동,95.12
종로구,삼청동,53.03
종로구,부암동,74.4
종로구,평창동,59.39
종로구,무악동,67.78
종로구,교남동,71.99
종로구,가회동,75.69
종로구,종로1·2·3·4가동,85.28
종로구,종로5·6가동,89.97
종로구,이화동,66.47
종로구,창신1동,98.02
종로구,창신3동,22.39
종로구,숭인1동,82.61
종로구,숭인2동,98.56
종로구,청운효자동,52.06
종로구,혜화동,72.55
중구,소공동,72.15
중구,회현동,70.17
중구,명동,73.12
중구,필동,55.82
중구,장충동,55.4
중구,광희동,73.04
중구,을지로동,77.94
중구,신당5동,75.93
중구,황학동,83.98
중구,중림동,65.93
중구,신당동,78.0
중구,다산동,57.04
중구,약수동,64.06
중구,청구동,89.58
중구,동화동,76.39
용산구,후암동,44.09
용산구,용산2가동,46.73
용산구,남영동,65.86
용산구,원효로2동,70.8
용산구,효창동,67.1
용산구,용문동,81.06
용산구,이촌1동,77.47
용산구,이촌2동,84.73
용산구,이태원1동,55.36
용산구,이태원2동,51.23
용산구,서빙고동,70.25
용산구,보광동,76.32
용산구,청파동,67.72
용산구,원효로1동,64.02
용산구,한강로동,64.23
용산구,한남동,57.66
성동구,왕십리2동,68.17
성동구,마장동,60.8
성동구,사근동,57.94
성동구,행당1동,59.13
성동구,행당2동,68.72
성동구,응봉동,48.16
성동구,금호1가동,69.97
성동구,금호4가동,61.06
성동구,성수1가1동,75.69
성동구,성수1가2동,73.98
성동구,성수2가1동,89.15
성동구,성수2가3동,78.12
성동구,송정동,70.46
성동구,용답동,55.43
성동구,왕십리도선동,73.37
성동구,금호2·3가동,55.65
성동구,옥수동,60.99
광진구,화양동,88.21
광진구,군자동,89.6
광진구,중곡1동,84.38
광진구,중곡2동,94.51
광진구,중곡3동,81.56
광진구,중곡4동,81.1
광진구,능동,69.05
광진구,구의1동,89.0
광진구,구의2동,95.32
광진구,구의3동,66.59
광진구,광장동,76.26
광진구,자양1동,74.62
광진구,자양2동,71.87
광진구,자양3동,77.41
광진구,자양4동,91.0
동대문구,회기동,88.0
동대문구,휘경1동,82.33
동대문구,휘경2동,70.0
동대문구,청량리동,78.8
동대문구,용신동,76.41
동대문구,제기동,71.87
동대문구,전농1동,78.21
동대문구,전농2동,49.5
동대문구,답십리2동,62.13
동대문구,장안1동,53.72
동대문구,장안2동,55.29
동대문구,이문1동,60.63
동대문구,이문2동,60.39
동대문구,답십리1동,49.3
중랑구,면목2동,81.91
중랑구,면목4동,75.43
중랑구,면목5동,76.74
중랑구,면목7동,64.86
중랑구,상봉1동,59.19
중랑구,상봉2동,94.3
중랑구,중화1동,91.01
중랑구,중화2동,85.2
중랑구,묵1동,83.38
중랑구,묵2동,76.35
중랑구,망우3동,76.81
중랑구,신내1동,73.75
중랑구,신내2동,74.77
중랑구,면목본동,78.02
중랑구,면목3·8동,68.83
중랑구,망우본동,87.33
성북구,돈암1동,58.42
성북구,돈암2동,40.4
성북구,안암동,67.92
성북구,보문동,53.82
성북구,정릉1동,54.86
성북구,정릉2동,85.83
성북구,정릉3동,73.12
성북구,정릉4동,65.18
성북구,길음1동,65.77
성북구,길음2동,77.14
성북구,월곡1동,67.56
성북구,월곡2동,74.04
성북구,장위1동,82.52
성북구,장위2동,89.43
성북구,장위3동,58.68
성북구,성북동,66.93
성북구,삼선동,71.25
성북구,동선동,64.75
성북구,종암동,60.11
성북구,석관동,78.53
강북구,번1동,75.15
강북구,번2동,59.69
강북구,번3동,48.82
강북구,수유1동,56.78
강북구,수유2동,65.91
강북구,수유3동,78.36
강북구,삼양동,58.48
강북구,미아동,55.89
강북구,송중동,66.34
강북구,송천동,72.52
강북구,삼각산동,73.96
강북구,우이동,65.8
강북구,인수동,82.42
도봉구,쌍문1동,58.68
도봉구,쌍문2동,79.4
도봉구,쌍문3동,76.45
도봉구,쌍문4동,69.15
도봉구,방학1동,67.19
도봉구,방학2동,64.54
도봉구,방학3동,53.89
도봉구,창1동,65.43
도봉구,창2동,54.31
도봉구,창3동,76.9
도봉구,창4동,52.0
도봉구,창5동,63.05
도봉구,도봉1동,55.73
도봉구,도봉2동,60.41
노원구,월계1동,71.57
노원구,월계2동,47.32
노원구,월계3동,63.28
노원구,공릉2동,50.52
노원구,하계1동,54.95
노원구,하계2동,92.92
노원구,중계본동,62.31
노원구,중계1동,57.89
노원구,중계4동,66.84
노원구,상계1동,79.06
노원구,상계2동,72.97
노원구,상계5동,72.62
노원구,상계8동,93.84
노원구,상계9동,82.1
노원구,상계10동,85.67
노원구,상계3·4동,59.49
노원구,상계6·7동,91.24
노원구,중계2·3동,78.38
노원구,공릉1동,78.65
은평구,녹번동,57.47
은평구,불광1동,61.56
은평구,갈현1동,96.74
은평구,갈현2동,82.05
은평구,구산동,69.78
은평구,대조동,74.24
은평구,응암1동,60.49
은평구,응암2동,72.33
은평구,신사1동,85.96
은평구,신사2동,99.96
은평구,증산동,90.89
은평구,수색동,56.13
은평구,진관동,80.5
은평구,불광2동,81.63
은평구,응암3동,69.85
은평구,역촌동,85.27
서대문구,천연동,91.49
서대문구,홍제1동,73.19
서대문구,홍제3동,81.79
서대문구,홍제2동,63.05
서대문구,홍은1동,65.97
서대문구,홍은2동,76.67
서대문구,남가좌1동,59.29
서대문구,남가좌2동,81.69
서대문구,북가좌1동,70.78
서대문구,북가좌2동,76.79
서대문구,충현동,76.76
서대문구,북아현동,99.97
서대문구,신촌동,97.71
서대문구,연희동,86.23
마포구,용강동,93.25
마포구,대흥동,78.99
마포구,염리동,70.33
마포구,신수동,85.42
마포구,서교동,89.28
마포구,합정동,91.77
마포구,망원1동,93.05
마포구,망원2동,93.21
마포구,연남동,73.31
마포구,성산1동,75.01
마포구,성산2동,77.11
마포구,상암동,61.18
마포구,도화동,96.12
마포구,서강동,80.64
마포구,공덕동,75.68
마포구,아현동,98.15
양천구,목1동,52.46
양천구,목2동,79.85
양천구,목3동,72.83
양천구,목4동,70.21
양천구,신월1동,53.83
양천구,신월2동,55.41
양천구,신월3동,61.77
양천구,신월4동,48.04
양천구,신월5동,72.32
양천구,신월6동,60.27
양천구,신월7동,61.4
양천구,신정1동,68.35
양천구,신정2동,64.13
양천구,신정3동,51.54
양천구,신정6동,54.27
양천구,신정7동,68.86
양천구,목5동,46.52
양천구,신정4동,52.6
강서구,염창동,82.05
강서구,등촌1동,90.07
강서구,등촌2동,87.51
강서구,등촌3동,83.68
강서구,화곡본동,60.24
강서구,화곡2동,28.09
강서구,화곡3동,69.59
강서구,화곡4동,35.2
강서구,화곡6동,73.44
강서구,화곡8동,72.16
강서구,가양1동,66.87
강서구,가양2동,71.82
강서구,가양3동,65.03
강서구,발산1동,55.9
강서구,공항동,64.62
강서구,방화1동,78.28
강서구,방화2동,76.99
강서구,방화3동,56.45
강서구,화곡1동,51.27
강서구,우장산동,68.59
구로구,신도림동,88.51
구로구,구로1동,60.11
구로구,구로3동,70.19
구로구,구로4동,52.35
구로구,구로5동,58.73
구로구,고척1동,61.77
구로구,고척2동,64.6
구로구,개봉2동,48.99
구로구,개봉3동,70.91
구로구,오류1동,95.47
구로구,오류2동,56.92
구로구,수궁동,55.86
구로구,가리봉동,60.59
구로구,구로2동,80.68
구로구,개봉1동,71.62
금천구,가산동,81.55
금천구,독산1동,75.21
금천구,독산2동,63.79
금천구,독산3동,61.93
금천구,독산4동,81.03
금천구,시흥1동,91.72
금천구,시흥2동,39.63
금천구,시흥3동,92.26
금천구,시흥4동,73.43
금천구,시흥5동,46.92
영등포구,여의동,66.31
영등포구,당산1동,71.56
영등포구,당산2동,59.81
영등포구,양평1동,84.05
영등포구,양평2동,83.68
영등포구,신길1동,46.55
영등포구,신길3동,66.98
영등포구,신길4동,59.81
영등포구,신길5동,62.01
영등포구,신길6동,64.72
영등포구,신길7동,54.37
영등포구,대림1동,71.38
영등포구,대림2동,63.75
영등포구,대림3동,64.07
영등포구,영등포본동,57.15
영등포구,영등포동,75.93
영등포구,도림동,49.94
영등포구,문래동,71.15
동작구,노량진2동,41.77
동작구,상도1동,61.39
동작구,상도2동,74.61
동작구,상도3동,72.59
동작구,상도4동,54.03
동작구,사당1동,64.54
동작구,사당3동,48.32
동작구,사당4동,74.38
동작구,사당5동,74.26
동작구,대방동,54.19
동작구,신대방1동,41.17
동작구,신대방2동,65.79
동작구,흑석동,80.64
동작구,노량진1동,51.6
동작구,사당2동,66.59
관악구,보라매동,74.02
관악구,청림동,43.23
관악구,행운동,62.97
관악구,낙성대동,67.26
관악구,중앙동,69.57
관악구,남현동,60.0
관악구,서원동,74.09
관악구,신원동,68.51
관악구,서림동,63.4
관악구,신사동,57.38
관악구,신림동,62.25
관악구,난향동,50.5
관악구,조원동,47.06
관악구,대학동,53.1
관악구,은천동,55.6
관악구,성현동,64.09
관악구,청룡동,59.72
관악구,난곡동,57.81
관악구,삼성동,46.82
관악구,미성동,57.52
서초구,서초1동,79.44
서초구,서초2동,79.61
서초구,서초3동,66.83
서초구,서초4동,84.55
