행정구역코드,시도명,시군구명,읍면동명,평일주말구분,혼잡빈도강도
1101053,서울특별시,종로구,사직동,평일,90.43
1101054,서울특별시,종로구,삼청동,평일,32.45
1101055,서울특별시,종로구,부암동,평일,60.51
1101056,서울특별시,종로구,평창동,평일,45.55
1101057,서울특별시,종로구,무악동,평일,36.04
1101058,서울특별시,종로구,교남동,평일,56.4
1101060,서울특별시,종로구,가회동,평일,57.29
1101061,서울특별시,종로구,종로1·2·3·4가동,평일,66.23
1101063,서울특별시,종로구,종로5·6가동,평일,75.37
1101064,서울특별시,종로구,이화동,평일,33.04
1101067,서울특별시,종로구,창신1동,평일,93.56
1101069,서울특별시,종로구,창신3동,평일,3.78
1101070,서울특별시,종로구,숭인1동,평일,67.69
1101071,서울특별시,종로구,숭인2동,평일,94.6
1101072,서울특별시,종로구,청운효자동,평일,28.04
1101073,서울특별시,종로구,혜화동,평일,43.76
1102052,서울특별시,중구,소공동,평일,42.81
1102054,서울특별시,중구,회현동,평일,41.71
1102055,서울특별시,중구,명동,평일,42.89
1102057,서울특별시,중구,필동,평일,28.73
1102058,서울특별시,중구,장충동,평일,29.02
1102059,서울특별시,중구,광희동,평일,41.14
1102060,서울특별시,중구,을지로동,평일,47.08
1102065,서울특별시,중구,신당5동,평일,49.66
1102067,서울특별시,중구,황학동,평일,57.28
1102068,서울특별시,중구,중림동,평일,37.07
1102069,서울특별시,중구,신당동,평일,54.6
1102070,서울특별시,중구,다산동,평일,26.46
1102071,서울특별시,중구,약수동,평일,37.88
1102072,서울특별시,중구,청구동,평일,74.69
1102073,서울특별시,중구,동화동,평일,50.87
1103051,서울특별시,용산구,후암동,평일,31.63
1103052,서울특별시,용산구,용산2가동,평일,27.86
1103053,서울특별시,용산구,남영동,평일,38.87
1103057,서울특별시,용산구,원효로2동,평일,58.89
1103058,서울특별시,용산구,효창동,평일,38.11
1103059,서울특별시,용산구,용문동,평일,63.6
1103063,서울특별시,용산구,이촌1동,평일,63.18
1103064,서울특별시,용산구,이촌2동,평일,71.08
1103065,서울특별시,용산구,이태원1동,평일,36.8
1103066,서울특별시,용산구,이태원2동,평일,31.99
1103069,서울특별시,용산구,서빙고동,평일,58.05
1103070,서울특별시,용산구,보광동,평일,63.55
1103071,서울특별시,용산구,청파동,평일,38.19
1103072,서울특별시,용산구,원효로1동,평일,37.66
1103073,서울특별시,용산구,한강로동,평일,33.09
1103074,서울특별시,용산구,한남동,평일,38.12
1104052,서울특별시,성동구,왕십리2동,평일,41.4
1104054,서울특별시,성동구,마장동,평일,37.64
1104055,서울특별시,성동구,사근동,평일,34.01
1104056,서울특별시,성동구,행당1동,평일,31.08
1104057,서울특별시,성동구,행당2동,평일,38.26
1104058,서울특별시,성동구,응봉동,평일,24.69
1104059,서울특별시,성동구,금호1가동,평일,46.17
1104062,서울특별시,성동구,금호4가동,평일,33.91
1104065,서울특별시,성동구,성수1가1동,평일,52.78
1104066,서울특별시,성동구,성수1가2동,평일,57.43
1104067,서울특별시,성동구,성수2가1동,평일,78.24
1104068,서울특별시,성동구,성수2가3동,평일,49.27
1104069,서울특별시,성동구,송정동,평일,55.29
1104070,서울특별시,성동구,용답동,평일,28.73
1104071,서울특별시,성동구,왕십리도선동,평일,44.33
1104072,서울특별시,성동구,금호2·3가동,평일,38.74
1104073,서울특별시,성동구,옥수동,평일,35.96
1105053,서울특별시,광진구,화양동,평일,73.46
1105054,서울특별시,광진구,군자동,평일,79.55
1105055,서울특별시,광진구,중곡1동,평일,73.36
1105056,서울특별시,광진구,중곡2동,평일,88.86
1105057,서울특별시,광진구,중곡3동,평일,70.38
1105058,서울특별시,광진구,중곡4동,평일,63.39
1105059,서울특별시,광진구,능동,평일,41.8
1105060,서울특별시,광진구,구의1동,평일,75.26
1105061,서울특별시,광진구,구의2동,평일,91.6
1105062,서울특별시,광진구,구의3동,평일,47.97
1105063,서울특별시,광진구,광장동,평일,64.43
1105064,서울특별시,광진구,자양1동,평일,54.12
