"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","현황도형 생성일시","면적(도형)","길이(도형)"
"53537","11305UQ171PS202206020001","UQQ900"," "," ","UQQ900","11305EZZ202205120001","11000NTC202205230001","개발행위허가제한지역","11305"," ","2022-06-02 00:00:00.0","144598.55093832","2237.44895257"
"53536","11170UQ171PS202204260002","UQQ900"," "," ","UQQ900","11170EZZ202204200002","11170NTC202204200004","개발행위허가제한지역","11170"," ","2022-04-26 00:00:00.0","16295.27566018","727.40105987"
"53535","11170UQ171PS202204260001","UQQ900"," "," ","UQQ900","11170EZZ202204200001","11170NTC202204200004","개발행위허가제한지역","11170"," ","2022-04-26 00:00:00.0","90221.33819033","1688.57216329"
"53534","11440UQ171PS202103100001","UQQ900"," "," ","UQQ900","11440EZZ202103030001","11440NTC202103030005","개발행위허가제한지역","11440"," ","2021-03-10 00:00:00.0","57050.90353054","1476.96962810"
"53533","11000UQ171PS202009210001","UQQ900"," "," ","UQQ900","11000EZZ202009180001","11650NTC202009180004","개발행위허가제한지역","11000"," ","2020-09-21 00:00:00.0","67168.40155123","1473.74747906"
"53532","11170UQ171PS202203150001","UQQ900"," "," ","UQQ900","11170EZZ202201250001","11170NTC202201250002","개발행위허가제한지역","11170"," ","2022-03-15 00:00:00.0","197724.47954879","3740.54970476"
"53531","11710UQ171PS202201120001","UQQ900"," "," ","UQQ900","11710EZZ202201070001","11710NTC202201070002","오금지구중심 지구단위계획구역","11710"," ","2022-01-12 00:00:00.0","227876.04362139","2263.31712932"
"53530","11440UQ171PS202201050001","UQQ900"," "," ","UQQ900","11440EZZ202201030001","11440NTC202201030002","개발행위허가제한지역","11440"," ","2022-01-05 00:00:00.0","25748.40005549","1033.52504859"
"53529","11440UQ171PS202110150001","UQQ900"," "," ","UQQ900","11440EZZ202110070001","11440NTC202110070002","개발행위허가제한지역","11440"," ","2021-10-15 00:00:00.0","69869.93202041","1967.28954686"
"53528","11590UQ171PS202101260001","UQQ900"," "," ","UQQ900","11590EZZ202101250001","11590NTC202101250005","개발행위허가제한지역","11590"," ","2021-01-26 00:00:00.0","2568.63264334","248.12832307"
"53527","11260UQ171PS202203150001","UQQ900"," "," ","UQQ900","11260EZZ202203140001","11140NTC202203140002","행위제한","11260"," ","2022-03-15 00:00:00.0","60060.84528099","1424.12097208"
"53526","11170UQ171PS202112150001","UQQ900"," "," ","UQQ900","11170EZZ202111260001","11170NTC202112130003","효창공원.남영역세권 행위제한","11170"," ","2021-12-15 00:00:00.0","94143.11823687","2182.28495775"
"53525","11170UQ171PS202008210001","UQQ900"," "," ","UQQ900","11170EZZ202008200001","11170NTC202008200004","개발행위허가제한지역","11170"," ","2020-08-21 00:00:00.0","321339.18376173","3104.10570478"
"53524","11440UQ171PS202101050001","UQQ900"," "," ","UQQ900","11440EZZ202101050002","11440NTC202101050004","개발행위허가제한지역","11440"," ","2021-01-05 00:00:00.0","48652.81265050","882.18333874"
"53523","11320UQ171PS202109300001","UQQ900"," "," ","UQQ900","11320EZZ202109280001","11320NTC202109280006","개발행위허가제한지역","11320"," ","2021-09-30 00:00:00.0","11389.26012200","522.08350858"
"53522","11470UQ171PS202104210001","UQQ900"," "," ","UQQ900","11470EZZ202104200001","11000NTC202104200004","개발행위허가제한지역","11470"," ","2021-04-21 00:00:00.0","44014.24636231","1004.64703629"
"53521","11110UQ171PS201909260001","UQQ900"," "," ","UQQ900","11110EZZ201905270001","11110NTC201905270002","개발행위허가제한구역","11110"," ","2019-09-26 00:00:00.0","89083.22164650","1367.71997070"
"53520","11000UQ171PS201912150343","UQQ900"," "," ","UQQ900","11000EZZ201911110076","11000NTC201910251152","4.19사거리 지구단위계획 수립지","11000"," ","2019-12-15 00:00:00.0","86600.74162110","1497.57995605"
"53519","11000UQ171PS201912150342","UQQ900"," "," ","UQQ900","11000EZZ201911110075","11000NTC201910251152","우이초교사거리 지구단위계획 수립지","11000"," ","2019-12-15 00:00:00.0","72094.98298430","1373.89001465"
"53518","11000UQ171PS201912150341","UQQ900"," "," ","UQQ900","11000EZZ201705042171","11000NTC201703308051","옥인1 주택재개발구역","11000"," ","2019-12-15 00:00:00.0","30265.52998070","901.05297852"
"53517","11000UQ171PS201912150340","UQQ900"," "," ","UQQ900","11000EZZ201903130309","11000NTC201901310036","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","23171.07722410","915.96398926"
"53516","11000UQ171PS201912150339","UQQ900"," "," ","UQQ900","11000EZZ201903130001","11000NTC201903132810","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","71569.90747890","1380.32995605"
"53515","11000UQ171PS201912150338","UQQ900"," "," ","UQQ900","11000EZZ201903130001","11000NTC201903132810","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","71569.90747890","1380.32995605"
"53514","11000UQ171PS201912150337","UQQ900"," "," ","UQQ900","11000EZZ201903210306","11000NTC201902220021","화계사입구사거리 지구단위계획구역수립지","11000"," ","2019-12-15 00:00:00.0","111177.30333800","1516.97998047"
"53513","11000UQ171PS201912150336","UQQ900"," "," ","UQQ900","11000EZZ201903210305","11000NTC201902220021","삼양사거리 지구단위계획구역수립지","11000"," ","2019-12-15 00:00:00.0","92724.94765220","1837.80004883"
"53512","11230UQ171PS202203110001","UQQ900"," "," ","UQQ900","11230EZZ202203020001","11230NTC202203020001","행위제한","11230"," ","2022-03-11 00:00:00.0","44548.95195036","1072.89748715"
"53511","11230UQ171PS202011230002","UQQ900"," "," ","UQQ900","11230EZZ202011120001","11230NTC202011120004","개발행위허가제한지역","11230"," ","2020-11-23 00:00:00.0","150140.45406248","3510.78768573"
