"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"118657","11000UQ153PS202011160001","UQT200","UQT220"," ","UQT220","11000URZ202011120001","11110NTC202011120005","근린공원","11000"," ","EMA0009","","163544.15532500","6019.92145249"
"118663","11000UQ153PS202011160002","UQT200","UQT220"," ","UQT220","11000URZ202011120001","11110NTC202011120005","근린공원","11000"," ","EMA0009","","163544.15532500","6019.92145249"
"113759","11620UQ153PS202206230001","UQT200","UQT205"," ","UQT205","11620URZ202112090004","11000NTC202206200005","소공원","11620","1","EMA0009","2022-06-23 00:00:00.0","5101.18010853","346.19460464"
"117877","11530UQ153PS202205260016","UQT300","UQT310"," ","UQT310","11530URZ202205180008","11530NTC202205180003","완충녹지","11530","5","EMA0009","2022-05-26 00:00:00.0","4052.02657710","597.43719690"
"116820","11530UQ153PS202205260017","UQT200","UQT220"," ","UQT220","11530URZ202205180005","11530NTC202205180003","제3호근린공원","11530","3","EMA0009","2022-05-26 00:00:00.0","12572.96546650","481.62724118"
"116822","11530UQ153PS202205260019","UQT200","UQT220"," ","UQT220","11530URZ202205180006","11530NTC202205180003","제4호근린공원","11530","4","EMA0009","2022-05-26 00:00:00.0","14104.90359429","915.44716551"
"116821","11530UQ153PS202205260018","UQT300","UQT320"," ","UQT320","11530URZ202205180010","11530NTC202205180003","경관녹지","11530","6","EMA0009","2022-05-26 00:00:00.0","3566.08156638","528.53203459"
"116703","11530UQ153PS202205260008","UQT300","UQT310"," ","UQT310","11530URZ202205180008","11530NTC202205180003","완충녹지","11530","5","EMA0009","2022-05-26 00:00:00.0","4052.02657710","597.43719690"
"116438","11530UQ153PS202205260005","UQT300","UQT320"," ","UQT320","11530URZ202205180011","11530NTC202205180003","경관녹지","11530","7","EMA0009","2022-05-26 00:00:00.0","702.08072897","294.11650402"
"116850","11530UQ153PS202205260006","UQT500","UQT590"," ","UQT590","11530URZ202205180007","11530NTC202205180003","공공공지","11530","14","EMA0009","2022-05-26 00:00:00.0","499.23733462","335.93111378"
"116437","11530UQ153PS202205260004","UQT300","UQT320"," ","UQT320","11530URZ202205180009","11530NTC202205180003","경관녹지","11530","3","EMA0009","2022-05-26 00:00:00.0","1157.42921229","242.81645572"
"113483","11530UQ153PS202205260020","UQT300","UQT320"," ","UQT320","11530URZ202205180009","11530NTC202205180003","경관녹지","11530","3","EMA0009","2022-05-26 00:00:00.0","1157.42921229","242.81645572"
"113484","11530UQ153PS202205260021","UQT300","UQT320"," ","UQT320","11530URZ202205180011","11530NTC202205180003","경관녹지","11530","7","EMA0009","2022-05-26 00:00:00.0","702.08072897","294.11650402"
"113485","11530UQ153PS202205260022","UQT500","UQT590"," ","UQT590","11530URZ202205180007","11530NTC202205180003","공공공지","11530","14","EMA0009","2022-05-26 00:00:00.0","499.23733462","335.93111378"
"113486","11530UQ153PS202205260023","UQT300","UQT330"," ","UQT330","11530URZ202205180012","11530NTC202205180003","연결녹지","11530","3","EMA0009","2022-05-26 00:00:00.0","1146.47220587","173.36169259"
"113487","11530UQ153PS202205260024","UQT300","UQT310"," ","UQT310","11530URZ202205180008","11530NTC202205180003","완충녹지","11530","5","EMA0009","2022-05-26 00:00:00.0","4052.02657710","597.43719690"
"116436","11530UQ153PS202205260003","UQT200","UQT220"," ","UQT220","11530URZ202205180006","11530NTC202205180003","제4호근린공원","11530","4","EMA0009","2022-05-26 00:00:00.0","14104.90359429","915.44716551"
"116435","11530UQ153PS202205260002","UQT300","UQT320"," ","UQT320","11530URZ202205180010","11530NTC202205180003","경관녹지","11530","6","EMA0009","2022-05-26 00:00:00.0","3566.08156638","528.53203459"
"116702","11530UQ153PS202205260007","UQT300","UQT330"," ","UQT330","11530URZ202205180012","11530NTC202205180003","연결녹지","11530","3","EMA0009","2022-05-26 00:00:00.0","1146.47220587","173.36169259"
"117870","11530UQ153PS202205260009","UQT200","UQT220"," ","UQT220","11530URZ202205180005","11530NTC202205180003","제3호근린공원","11530","3","EMA0009","2022-05-26 00:00:00.0","12572.96546650","481.62724118"
"116434","11530UQ153PS202205260001","UQT200","UQT220"," ","UQT220","11530URZ202205180005","11530NTC202205180003","제3호근린공원","11530","3","EMA0009","2022-05-26 00:00:00.0","12572.96546650","481.62724118"
"117871","11530UQ153PS202205260010","UQT300","UQT320"," ","UQT320","11530URZ202205180010","11530NTC202205180003","경관녹지","11530","6","EMA0009","2022-05-26 00:00:00.0","3566.08156638","528.53203459"
"117872","11530UQ153PS202205260011","UQT200","UQT220"," ","UQT220","11530URZ202205180006","11530NTC202205180003","제4호근린공원","11530","4","EMA0009","2022-05-26 00:00:00.0","14104.90359429","915.44716551"
