설치장소,급속충전기(대),완속충전기(대),위도,경도
서울특별시은평병원 주차장,1,0,37.59376510000001,126.9236307
양재리본타워2단지아파트,0,4,37.4650053,127.036612
연희동 홍연2교 옆 노상주차장,1,0,37.5763134,126.9291179
응암3동 공영주차장,1,0,37.5934029,126.915364
LH강남힐스테이트,1,4,37.46927120000001,127.1073203
LH서울지사,1,0,37.5134419,127.03999
가람아파트,1,0,37.4890175,127.0824833
강남구청 공영주차장,1,0,37.5175282,127.0474699
강남데시앙파크,1,1,37.4629612,127.101282
강남데시앙포레,1,3,37.4795828,127.0885477
강남세브란스 병원,2,0,37.492736,127.0462661
강남아이파크,1,1,37.46927120000001,127.1073203
강남한신휴 플러스8단지,0,2,37.4737808,127.1065697
강남한신휴플러스6단지 아파트,1,2,37.4737808,127.1065697
강남한양수자인,1,4,37.46927120000001,127.1073203
개나리래미안 아파트,1,2,37.4990748,127.0470296
개나리푸르지오,0,3,37.4996497,127.0499488
개포7차 우성 아파트,1,1,37.49050829999999,127.0792227
공무원연금공단 서울지부(상록회관),1,0,37.5038913,127.0429552
금호어울림 아파트(삼성동),0,1,37.51642,127.0650934
대치2문화센터 공영주차장,1,0,37.5022464,127.0641595
대치현대 아파트,1,1,37.5004466,127.0627992
도곡대림아크로빌,1,0,37.4881509,127.0528748
도곡렉슬 아파트,2,2,37.4898434,127.0438136
도성 아파트,0,2,37.5010925,127.0583065
라테라스삼성,0,1,37.5085884,127.0405045
래미안강남힐즈,1,2,37.46927120000001,127.1073203
래미안그레이튼,1,1,37.4961344,127.0474356
래미안대치팰리스,2,0,37.496114,127.059466
래미안대치하이스턴 아파트,1,1,37.5012426,127.0643606
래미안삼성1차,0,2,37.5171071,127.0640034
삼성동 에스케이뷰 아파트,0,1,37.5174074,127.0633745
삼성동한일아파트,0,1,37.5137553,127.0499091
삼성동현대아파트,0,1,37.5170137,127.0453125
삼성동힐스테이트2단지,1,3,37.5135381,127.0520362
삼성우정에쉐르아파트,0,2,37.5171415,127.0443222
삼성중앙하이츠빌리지,0,1,37.5166817,127.0469781
삼성파크 아파트,0,2,37.5088853,127.0538844
샘터마을 아파트,1,0,37.4890175,127.0824833
세곡리엔파크1단지,0,3,37.4640671,127.1006133
세곡리엔파크2단지 아파트,1,0,37.466266,127.1167873
세곡리엔파크3단지,1,1,37.4629612,127.101282
세곡푸르지오아파트,1,1,37.4645163,127.099603
아이파크삼성동,1,0,37.5121481,127.0609078
아크로힐스논현,1,2,37.5093526,127.0388621
압구정하이츠파크,0,2,37.5266798,127.0349409
역삼2차아이파크아파트,0,3,37.4962089,127.0507845
역삼e-편한세상,1,3,37.4987189,127.0499436
역삼래미안,1,4,37.4972705,127.0502289
우정에쉐르 3차,0,1,37.5068204,127.0622577
청담래미안로이뷰,0,1,37.5245509,127.0555861
청담자이 아파트,1,3,37.5234372,127.0563767
청담파크파라곤,0,1,37.5221287,127.0543173
타워팰리스 2차,1,1,37.4881509,127.0528748
타워팰리스1차,1,4,37.4881509,127.0528748
타워팰리스G동,1,2,37.4881509,127.0528748
헌릉로745길 노상주차장,1,0,37.4702733,127.1186282
현대까르띠에710아파트,0,2,37.50141900000001,127.0448721
GS강동자이 아파트,1,2,37.5375197,127.1490709
강동보건소,1,0,37.5293701,127.1255567
강동송파지사,1,3,37.5237544,127.1356819
강동아트센터(강동문화재단),2,0,37.551183,127.1573277
강동헤르셔,1,2,37.5439937,127.1256452
강일리버파크 6단지,1,0,37.5624675,127.1767962
강일리버파크10단지,1,0,37.5598645,127.1797581
강일리버파크11단지,0,1,37.5598645,127.1797581
강일리버파크3단지,1,1,37.5665592,127.1737804
강일리버파크5단지,1,3,37.5679699,127.1768745
강일리버파크7단지 아파트,1,3,37.5647396,127.1788562
경보그레이스 힐,0,2,37.5303518,127.1342709
고덕리엔파크1단지,0,2,37.5609818,127.171693
고덕리엔파크3단지 아파트,2,6,37.5525612,127.1752562
고덕아이파크,1,3,37.5586882,127.1541646
길동삼익파크,1,2,37.5376779,127.1454566
대우한강베네시티 아파트,0,2,37.540481,127.1249608
둔촌푸르지오아파트,1,3,37.5376779,127.1454566
명일동 공영주차장,2,0,37.5510151,127.1428921
명일한양아파트,1,0,37.5514935,127.1545154
삼익가든아파트,0,2,37.546105,127.1472079
성내1차이편한세상,0,2,37.5332725,127.1312918
성내동중앙하이츠,0,1,37.5304759,127.1336595
성내삼성 아파트,1,4,37.5305788,127.1316457
신성둔촌미소지움아파트 입주자대표회의,1,2,37.5376779,127.1454566
암사라인 아파트,0,1,37.5555874,127.1475975
암펠로스타워,0,1,37.5376779,127.1454566
천호1동 공영주차장,2,0,37.5449113,127.1365113
천호유수지,2,0,37.5447732,127.1218699
한강포스파크아파트,0,1,37.5555923,127.1342001
한강현대 아파트,1,2,37.5555671,127.1310559
현대백화점 천호점,3,0,37.5388007,127.1243716
홈플러스 강동점,1,0,37.5456582,127.1422439
힐스테이트 강동리버뷰,0,5,37.558248,127.1304539
강북문화예술회관,1,0,37.6407291,127.013272
강북성북지사,0,7,37.6305227,127.024922
강북성북지사(공용),6,2,37.6305227,127.024922
래미안미아1차 아파트,1,1,37.6256685,127.0206387
미아동부센트레빌,1,2,37.6136035,127.0257297
미아한일유앤아이APT,0,2,37.6146375,127.0365492
북서울꿈의숲,2,0,37.6198726,127.0436442
해모로아파트,1,0,37.6263134,127.0373569
효성네오인텔리안,0,2,37.6386636,127.0270104
e편한세상염창,0,5,37.5540319,126.8717993
강서경찰서 민원인주차장,1,0,37.5513622,126.8502799
강서한강자이아파트,1,1,37.5659751,126.8507521
마곡 이웰메디파크,1,0,37.5764888,126.8307466
마곡13단지 힐스테이트마스터,1,2,37.5764888,126.8307466
마곡수명산파크1단지,1,2,37.5543232,126.8300338
마곡수명산파크3단지,1,1,37.5529465,126.8250463
마곡수명산파크5단지,1,2,37.552046,126.8271858
마곡수명산파크6단지,1,1,37.5504646,126.8266636
마곡수명산파크7단지,1,3,37.5482508,126.8238242
마곡수명산파크8단지,0,1,37.55167420000001,126.828673
마곡엠밸리11단지아파트,0,2,37.5764888,126.8307466
마곡엠밸리2단지,0,3,37.566981,126.826587
마곡엠밸리3단지,1,2,37.5764888,126.8307466
마곡엠밸리6단지,1,4,37.5764888,126.8307466
마곡엠밸리8단지,1,0,37.566981,126.826587
마곡힐스테이트,1,3,37.5764888,126.8307466
미주진로아파트,0,2,37.5597721,126.8471049
방화5단지 아파트,1,3,37.5746758,126.811399
방화동부센트레빌,1,0,37.5745085,126.814913
방화동성아파트,1,3,37.578936,126.8116259
서울남부출입국 외국인사무소,1,0,37.5764888,126.8307466
염창힐스테이트 아파트,0,1,37.5514161,126.8736376
한국공항공사 고객전용주차장,1,0,37.5613129,126.79761
한국공항공사 서울,4,0,37.5667733,126.8025118
한사랑2차삼성 아파트,1,2,37.5544601,126.8639798
화곡초록 아파트,1,0,37.545673,126.8337291
관악구 종합체육센타,1,0,37.472466,126.959882
관악구 평생학습관,1,0,37.4829104,126.9224155
관악동부센트레빌 아파트,1,1,37.4879078,126.9524169
관악동작 견인차량 보관소,1,0,37.48463539999999,126.9037601
관악벽산블루밍,2,0,37.4863757,126.9459739
대우신림2차푸르지오,1,0,37.4712962,126.917945
보라매삼성 아파트,1,2,37.4920112,126.9270365
봉천건영6차아파트,0,1,37.4771165,126.9518479
서울대입구아이원,1,1,37.4794029,126.9457657
신동아 아파트,0,1,37.4741365,126.9358708
신림 주공2단지,0,3,37.4653934,126.9277538
신림동부센트레빌,0,2,37.4733709,126.9168336
신림서초 아파트,0,2,37.4644511,126.9329887
신림쌍용 아파트,1,2,37.4735908,126.9140269
은천2단지 아파트,1,1,37.4709035,126.9654103
청광 아파트,0,1,37.4675545,126.941934
강변테크노마트 주차장,5,1,37.5349372,127.0957088
광장힐스테이트 아파트,1,2,37.5478086,127.1052825
광진구청 주차장,1,0,37.53837420000001,127.0822077
광진하우스토리한강,0,1,37.5301415,127.0886182
구의삼성쉐르빌상가,3,0,37.5398369,127.0948552
구의삼성쉐르빌아파트,0,5,37.5398369,127.0948552
더샵스타시티 아파트,1,4,37.5324005,127.0715809
뚝도충전소,2,1,37.5361423,127.0694332
자양10차현대홈타운,0,2,37.5334669,127.069652
자양2동유수지 공영주차장,2,0,37.5308541,127.0789306
자양금강KCC 아파트,0,2,37.5369175,127.0743676
장로회신학대학교,2,0,37.550118,127.1038593
개봉대상아파트,0,2,37.4822492,126.8498033
개봉영화 아파트,1,1,37.4959779,126.8598938
경남1차 아파트,0,2,37.502084,126.8650633
고척LIG리가 아파트,1,2,37.5056184,126.8614189
고척근린공원 지하주차장,1,0,37.5059915,126.8537585
고척벽산블루밍 아파트,1,1,37.5011414,126.8625002
고척스카이돔,3,0,37.4987976,126.8672325
고척파크푸르지오,1,3,37.5075955,126.8580851
구로4동 주택가 공동,1,0,37.4897551,126.8870831
구로구청 주차장,1,0,37.4954708,126.8876994
구로리공원,1,0,37.490848,126.8915776
구로삼성래미안,1,2,37.4876957,126.8918232
구로성호메이플라워,0,2,37.4917392,126.8842933
구로아트밸리 지하1층,1,0,37.497057,126.8895588
구로아트밸리 지하2층,1,0,37.497057,126.8895588
구로중앙하이츠아파트,0,2,37.4987734,126.880477
근상프리즘아파트,0,1,37.4982347,126.8754661
동아한신아파트,1,2,37.5009285,126.8651634
롯데 아파트,1,1,37.5032924,126.8841316
신구로자이 아파트,0,2,37.5000786,126.8840596
신도림 쌍용플래티넘노블,0,2,37.5006396,126.8914793
신도림7차e-편한세상아파트,0,3,37.5085751,126.8814279
신도림동아1차 아파트,1,3,37.5110546,126.8827673
오류푸르지오,1,1,37.4915303,126.8415485
천왕연지타운1단지,1,2,37.4896792,126.840282
천왕이펜하우스2단지,1,3,37.4803813,126.8415075
천왕이펜하우스4단지 아파트,1,2,37.4803813,126.8415075
천왕이펜하우스5단지,1,3,37.4803813,126.8415075
하늘공원 공영주차장,1,0,37.4873936,126.880518
항동하버라인3단지,0,10,37.479589,126.8242331
금나래체육문화센타,1,0,37.4701831,126.9077968
금천구청 지상 주차장,1,0,37.4567667,126.8954005
남서울힐스테이트아파트,2,2,37.4506854,126.9012586
메이퀸 웨딩홀,2,0,37.4724067,126.8976835
지식산업센터(대륭테크노타운2차),1,0,37.468407,126.8846233
지식산업센터(동일테크노타운8차),1,0,37.4680863,126.8937169
공릉2단지라이프 아파트,1,0,37.6259284,127.0695707
공릉8단지청솔아파트,0,2,37.6232629,127.086018
공릉대동 아파트,0,1,37.6197891,127.0734724
공릉대동2차,0,2,37.6272919,127.0711041
공릉대아2차 아파트,0,2,37.6231709,127.0713548
공릉동부 아파트,0,2,37.6302104,127.0753236
공릉동현대성우 아파트,0,2,37.6236045,127.0779443
공릉비선아파트,1,2,37.6243838,127.0886621
공릉풍림아파트,1,2,37.6259284,127.0695707
노원구청,1,0,37.6540782,127.0566045
노원도봉지사,1,4,37.6539175,127.0556557
노원우성아파트,0,2,37.6578107,127.0647187
노원프레미어스엠코,0,2,37.6185055,127.0761919
대주파크빌 아파트,0,2,37.6259284,127.0695707
동신 아파트,1,1,37.6302104,127.0753236
동진신안 아파트,1,1,37.6483727,127.0787833
롯데우성 아파트,1,2,37.6475922,127.0726622
미주동방벽운 아파트,0,2,37.6835944,127.0629108
북서울시립미술관,4,0,37.6393259,127.067631
삼육대학교,2,0,37.64267650000001,127.1052902
상계동아불암아파트,1,2,37.6588489,127.0728153
상계동양 아파트,1,2,37.6571162,127.0633016
상계신동아 아파트,1,2,37.6664605,127.0665032
상계주공15단지,2,0,37.665688,127.0557151
상계주공16단지아파트,1,1,37.6686255,127.0533712
서울과학기술대학교,3,0,37.6324657,127.0786713
수락리버시티3단지,1,1,37.6868786,127.0535761
월계동세양청마루 아파트,0,2,37.6205566,127.0615146
월계우남 아파트,0,2,37.6277451,127.0568215
월계청백1단지 아파트,1,2,37.6309106,127.0540163
인재개발원,1,2,37.6627439,127.0624252
중계건영3차아파트,1,1,37.6485488,127.0744872
중계경남롯데상아 아파트,2,0,37.6387354,127.0624762
중계삼성 아파트,1,2,37.6485509,127.0832522
중계센트럴파크,1,0,37.6422956,127.0574567
중계우성3차아파트,0,2,37.6588489,127.0728153
중계주공4단지 아파트,1,3,37.6549269,127.0757529
중계현대2차 아파트,0,1,37.6557694,127.073677
학여울청구 아파트,1,4,37.6401186,127.0625953
한국원자력의학원,1,0,37.6294332,127.0826468
현대그린 아파트,0,2,37.6473129,127.0841489
화랑타운,1,2,37.6243838,127.0886621
대상타운현대아파트,1,2,37.664974,127.048155
도깨비시장 공영주차장,1,0,37.6644829,127.0339637
도봉구민회관,1,0,37.6540005,127.0386044
도봉구청,1,0,37.66862870000001,127.0470496
도봉서원 아파트,2,0,37.6713606,127.047272
도봉현대성우 아파트,1,1,37.6763021,127.0476373
동아에코빌 아파트,1,2,37.682268,127.0486451
동아청솔아파트,2,3,37.6550339,127.0500594
방학3동 주민센터,1,0,37.6590661,127.0280509
방학4단지신동아,1,2,37.6624061,127.0342434
방학5단지 신동아 아파트,0,2,37.6629213,127.0300244
방학극동 아파트,1,0,37.6640125,127.0269574
방학금광포란재,0,2,37.6643194,127.0453569
방학명품ESA2단지,0,2,37.6660612,127.044837
방학우성1차 아파트,1,3,37.6554768,127.0323978
북한산코오롱하늘채 아파트,1,2,37.6492052,127.0230667
서울가든 아파트,1,2,37.6879391,127.0336271
쌍문미라보아파트,0,1,37.6553186,127.0316617
쌍문염광 아파트,0,2,37.6485379,127.0258845
쌍문한양6차 아파트,1,3,37.6557483,127.0292388
쌍문현대2차 아파트,0,1,37.6591984,127.0306616
창3동 주민센터,1,0,37.6381103,127.0428666
창동2차현대아파트,1,2,37.6594229,127.0439074
창동3차현대아파트,0,2,37.6703415,127.0407797
창동대동 아파트,0,2,37.6703415,127.0407797
창동대우아파트,1,0,37.6423565,127.0375024
창동수산트리플 아파트,0,2,37.6411219,127.0344599
창동쌍용 아파트,1,0,37.6676581,127.049132
창동주공18단지아파트,1,0,37.646865,127.0520542
창동주공19단지,2,2,37.6497784,127.03332
창동한승미메이드 아파트,1,1,37.636757,127.041296
창동한신 아파트,0,1,37.638863,127.0412951
한일병원,1,0,37.6458568,127.0285789
홈플러스 방학점,1,0,37.6648183,127.0435994
효성하이타운,0,2,37.6600084,127.0330744
답십리래미안위브1블럭,1,2,37.5753938,127.0548231
답십리래미안위브2블럭,1,2,37.5753938,127.0548231
동일스위트리버,1,0,37.58739449999999,127.0688476
래미안엘파인 아파트,1,2,37.5762596,127.066364
배봉공영주차장,2,0,37.5871413,127.0620254
브라운스톤휘경,1,0,37.5904483,127.0650348
이문쌍용아파트,1,2,37.6017385,127.0693828
장안힐스테이트 아파트,1,2,37.5759638,127.0753716
전농sk 아파트,2,0,37.5764921,127.0604586
청량리역사(한화역사),2,0,37.5792928,127.0479007
청솔우성,1,1,37.57462,127.0600372
휘경베스트빌현대,1,1,37.581572,127.0741282
휘경주공1단지,1,4,37.583069,127.0702771
힐스테이트청계,1,0,37.5710836,127.0488191
관악동작지사,1,5,37.4781249,126.9810071
대방성원 아파트,1,2,37.5090188,126.9276167
대방중간집하장 공영주차장,1,0,37.51389289999999,126.930964
대우유로카운티,0,1,37.4998077,126.9454645
동작상떼빌 아파트,1,3,37.4868762,126.9079735
래미안상도3차아파트,1,1,37.5080962,126.9262539
보라매아카데미타워 아파트,0,2,37.4911639,126.9243844
빙수골 장미주차장,1,0,37.49312150000001,126.9339934
사당롯데캐슬샤인,1,1,37.4875595,126.9751922
상도대림 아파트,0,1,37.4926216,126.954113
상도래미안1차 아파트,1,1,37.5073763,126.9329053
상도파크자이,1,1,37.50504979999999,126.9410548
서울시여성가족재단,1,0,37.5115519,126.9271787
숲속마을신동아파밀리에,0,2,37.4939303,126.9147589
신대방현대 아파트,1,1,37.50022730000001,126.9185269
이수힐스테이트,1,1,37.4924968,126.9807436
흑석한강센트레빌,1,3,37.5094857,126.9605285
힐스테이트상도프레스티지,1,1,37.4997186,126.9414329
e편한세상마포리버파크,1,3,37.542319,126.943065
공덕아이파크아파트,0,2,37.5465829,126.9570111
