시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종
서울특별시,서울특별시은평병원 주차장,서울특별시 은평구 백련산로 90,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,양재리본타워2단지아파트,서울특별시 서초구 양재동 212,0 ,4 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,연희동 홍연2교 옆 노상주차장,서울특별시 서대문구 연희동 736,1 ,0 ,"SM3 Z.E,테슬라"
서울특별시,응암3동 공영주차장,"서울특별시 은평구 불광천길 436 (응암동, 응암공영주차장)",1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,LH강남힐스테이트,서울특별시 강남구 자곡동 자곡로3길 21,1 ,4 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,LH서울지사,서울특별시 강남구 선릉로 121길 12,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,가람아파트,서울특별시 강남구 일원동 일원로 127,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,강남구청 공영주차장,서울특별시 강남구 삼성동 16-1,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,강남데시앙파크,서울특별시 강남구 세곡동 헌릉로590길 63,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,강남데시앙포레,서울특별시 강남구 수서동 광평로34길55,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,강남세브란스 병원,서울특별시 강남구 언주로 211,2 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,강남아이파크,서울특별시 강남구 자곡동 자곡로 175,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,강남한신휴 플러스8단지,서울특별시 강남구 율현동 밤고개로27길 20,0 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,강남한신휴플러스6단지 아파트,서울특별시 강남구 율현동 밤고개로26길 50,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,강남한양수자인,서울특별시 강남구 자곡동 자곡로 260,1 ,4 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
