번호,광역지자체,시군구, 50키로와트 , 100키로와트 , 100키로와트듀얼 , 200키로와트듀얼 , 300키로와트이상 ,  사용량(키로와트시)  
1,제주,제주시,5,0,0,0,0,"1,464,941"
2,서울,마포구,7,0,0,0,0,"609,582"
3,대구,달서구,0,8,0,0,0,"480,324"
4,서울,용산구,10,0,0,0,0,"472,412"
5,제주,제주시,9,0,0,0,0,"460,545"
6,대전,중구,5,0,0,0,0,"448,505"
7,경남,창원시,5,0,0,0,0,"413,042"
8,제주,제주시,2,0,0,0,0,"402,696"
9,서울,광진구,4,0,0,0,0,"388,667"
10,대전,서구,2,0,0,0,0,"384,444"
11,인천,계양구,4,0,0,0,0,"378,780"
12,대구,동구,5,0,0,0,0,"372,049"
13,제주,서귀포시,3,0,0,0,0,"357,230"
14,대구,북구,4,0,0,0,0,"354,046"
15,제주,제주시,3,0,0,0,0,"341,876"
16,경기,수원시,2,0,0,0,0,"341,484"
17,제주,제주시,2,0,0,0,0,"323,804"
18,서울,양천구,4,0,0,0,0,"314,195"
19,대전,서구,5,0,0,0,0,"301,367"
20,세종,세종시,4,0,0,0,0,"290,588"
21,제주,서귀포시,2,0,0,0,0,"279,186"
22,서울,강서구,4,0,0,0,0,"275,756"
23,제주,제주시,1,0,0,0,0,"265,088"
24,대전,동구,2,0,0,0,0,"261,840"
25,대구,수성구,2,0,0,0,0,"257,095"
26,전남,나주시,1,0,0,0,0,"244,608"
27,서울,송파구,3,0,0,0,0,"243,273"
28,서울,강북구,4,2,0,0,0,"238,426"
29,강원,강릉시,2,0,0,0,0,"230,153"
30,인천,남동구,2,0,0,0,0,"228,351"
31,경기,성남시,2,0,0,0,0,"226,267"
32,제주,제주시,2,0,0,0,0,"220,733"
33,제주,제주시,2,0,0,0,0,"214,253"
34,경북,경주시,2,0,0,0,0,"213,906"
35,경기,안산시,2,0,0,0,0,"212,657"
36,부산,사하구,2,0,0,0,0,"212,577"
37,대구,달서구,2,0,0,0,0,"210,987"
38,충북,청주시,2,0,0,0,0,"206,172"
39,제주,제주시,2,0,0,0,0,"204,418"
40,경북,안동시,2,0,0,0,0,"203,493"
41,서울,광진구,5,0,0,0,0,"201,790"
42,서울,강남구,1,0,0,0,0,"201,697"
43,대전,대덕구,2,0,0,0,0,"200,218"
44,대전,유성구,1,0,0,0,0,"198,496"
45,제주,서귀포시,2,0,0,0,0,"197,596"
46,제주,서귀포시,2,0,0,0,0,"197,251"
47,제주,제주시,2,0,0,0,0,"196,314"
48,제주,제주시,2,0,0,0,0,"196,054"
49,경북,포항시,1,0,0,0,0,"193,695"
50,울산,중구,5,0,0,0,0,"187,484"
51,서울,강남구,1,0,0,0,0,"185,890"
52,제주,제주시,2,0,0,0,0,"184,692"
53,제주,서귀포시,2,0,0,0,0,"184,038"
54,전남,나주시,2,0,0,0,0,"181,468"
55,울산,남구,2,0,0,0,0,"181,310"
