지역,충전소명,충전기ID,설치년도,주소
서울특별시,종묘 공영주차장,1,2012,"서울특별시 종로구 종로 157, 지하주차장 4층 하층 T구역"
서울특별시,세종로 공영주차장,1,2014,"서울특별시 종로구 세종대로 189, 지하주차장 4층 D구역 계단실 앞"
서울특별시,그랜드앰배서더 서울,1,2014,"서울특별시 중구 동호로 287, 대형버스주차장"
서울특별시,한강진역 공영주차장,1,2012,"서울특별시 용산구 한남동 산10-84, 지상실외주차장"
서울특별시,기아차 성동서비스센터,1,2012,"서울특별시 성동구 성수이로26길 61, 지상주차장 입구 좌측 경비실 옆"
서울특별시,마장동사무소 앞(공중전화부스),1,2016,서울특별시 성동구 마장동 808
서울특별시,청량리롯데백화점,1,2013,"서울특별시 동대문구 왕산로 214, 주차장 옥상"
서울특별시,이마트 이문점,1,2013,"서울특별시 동대문구 이문로 136, 지하주차장 1층 D-04"
서울특별시,홈플러스 면목점,1,2012,"서울특별시 중랑구 사가정로 332, 지상주차장 4층 406구역"
서울특별시,홈플러스 월곡점,2,2012,"서울특별시 성북구 화랑로 76, 지하주차장 3층 98구역"
서울특별시,성북벤처빌딩 공영주차장,1,2016,서울특별시 성북구 장위2동 65-154
서울특별시,롯데마트 삼양점,1,2012,"서울특별시 강북구 삼양로 247삼양시장, 지상주차장 3층 324구역"
서울특별시,빅마켓 도봉점,1,2012,"서울특별시 도봉구 마들로 645, 지상주차장 4층 406구역"
서울특별시,이마트 은평점,1,2012,"서울특별시 은평구 은평로 111, 지하주차장 4층 A구역"
서울특별시,구파발역 환승주차장,1,2012,"서울특별시 은평구 진관동 66-30, 지하주차장 1층 20구역"
서울특별시,홈플러스 월드컵점,1,2012,"서울특별시 마포구 월드컵로 240, 지상주차장 1층"
서울특별시,시설관리공단 마포유수지주차장,1,2012,"서울특별시 마포구 마포대로1길 19, 지상주차장"
서울특별시,노을공원,1,2014,"서울특별시 마포구 상암동 482-116, 주차장 입구 정면"
서울특별시,홈플러스 목동점,1,2012,"서울특별시 양천구 목동서로 170, 지상주차장 2층 01구역"
서울특별시,해맞이공영주차장,1,2016,서울특별시 양천구 지양로 47
서울특별시,홈플러스 가양점,1,2013,"서울특별시 강서구 양천로 431, 지하주차장 1층"
서울특별시,롯데마트 김포공항점,1,2014,"서울특별시 강서구 하늘길 77, 지하주차장 1층 A-18구역"
서울특별시,메이필드호텔,1,2014,"서울특별시 강서구 방화대로 94, 호텔 정면 주차장"
서울특별시,롯데마트 구로점,2,2010,"서울특별시 구로구 경인로 482, 지상주차장 5층"
서울특별시,천왕역 환승주차장,1,2013,"서울특별시 구로구 오류동 174-10, 천왕역 환승주차장 1층"
서울특별시,구로리공원 앞(공중전화부스),1,2016,서울특별시 구로구 구로동 136-14
서울특별시,홈플러스 시흥점,1,2012,"서울특별시 금천구 시흥대로 201, 지상주차장 4층 28구역"
서울특별시,독산1동 공영주차장,1,2013,"서울특별시 금천구 범안로12가길 65, 독산1동 공영주차장 옥상"
서울특별시,제일모직아울렛 건너편(공중전화부스),1,2016,서울특별시 금천구 가산동 239-27
서울특별시,영등포구 대신시장(공중전화부스),1,2016,서울특별시 영등포구 신길1동 116-15
서울특별시,현대차 남부서비스센터,1,2012,"서울특별시 동작구 노량진로 53, 현대자동차 남부서비스센터 본관 후문 주차장"
서울특별시,동작주차공원 공영주차장,1,2014,"서울특별시 동작구 현충로 213, 출입구 왼쪽"
서울특별시,조원동 제1공영주차장,1,2016,서울특별시 관악구 신림동 571-6
서울특별시,사당역 공영주차장,2,2013,"서울특별시 서초구 과천대로 950-18, 지상주차장 북주차장(우측)"
서울특별시,이마트 양재점,1,2013,"서울특별시 서초구 매헌로 16, 지하주차장 2층 Z구역"
서울특별시,수서역 공영주차장,2,2012,"서울특별시 강남구 수서동 735, 지상주차장 북주차장(우측)"
서울특별시,학여울역 공영주차장,1,2012,"서울특별시 강남구 남부순환로 3104, 지하주차장 3층 M418구역"
서울특별시,GS칼텍스 삼성로점,1,2012,"서울특별시 강남구 삼성로 563, GS칼텍스 주유소 입구 우측"
서울특별시,개포동공원 공영주차장,1,2014,"서울특별시 강남구 개포로 509, 지하주차장 1층 8구역"
서울특별시,탄천제2호 공영주차장,1,2014,"서울특별시 강남구 일원동 4-49, 주차장 입구 오른쪽"
서울특별시,롯데마트 잠실점,2,2010,"서울특별시 송파구 올림픽로 240, 지하주차장 1층 M148구역"
서울특별시,이마트 명일점,1,2013,"서울특별시 강동구 고덕로 276, 지하주차장 1층 E구역"
부산광역시,홈플러스 영도점,1,2012,"부산광역시 영도구 대교로14번길 57, 지상주차장 3층 410구역"
부산광역시,온천장역 공영주차장,1,2014,"부산광역시 금정구 오시게로 20, 주차장 출구 오른쪽"
부산광역시,이마트 문현점,1,2013,"부산광역시 남구 전포대로91번길 47, 지상주차장 4층 A구역"
부산광역시,하단역 공영주차장,1,2014,"부산광역시 사하구 하신중앙로 313, 주차장 출구 오른쪽"
부산광역시,이마트 금정점,1,2012,"부산광역시 금정구 중앙대로1841번길 24, 지상주차장 3층 73구역"
부산광역시,남산역 공영주차장,1,2014,"부산광역시 금정구 중앙대로 2030, 주차장 입구 정면"
부산광역시,부산환경공단 명지사업소,1,2014,"부산광역시 강서구 명지오션시티13로 12-11, 주차장 입구 왼쪽"
부산광역시,홈플러스 아시아드점,1,2012,"부산광역시 연제구 종합운동장로 7, 지하주차장 1층 35구역"
부산광역시,이마트 연제점,1,2013,"부산광역시 연제구 연수로 89, 지하주차장 1층 E구역"
부산광역시,학장천 공영주차장,1,2014,"부산광역시 사상구 가야대로 309, 주차장 입구 정면"
부산광역시,장안휴게소(울산방향),1,2011,"부산광역시 기장군 장안읍 동해고속도로 26, 휴게소와 LPG충전소 사이"
부산광역시,장안휴게소(부산방향),1,2011,"부산광역시 기장군 장안읍 명례리 835, 휴게소와 LPG충전소 사이"
부산광역시,기장군청,1,2016,부산광역시 기장군 기장읍 기장대로 560
대구광역시,성명맨션 앞(공중전화부스),1,2016,대구광역시 동구 신천3동 146-15
대구광역시,망우당공원 택시쉼터,1,2016,대구광역시 동구 효동로2길 93
대구광역시,원평치안센터(공중전화부스),1,2016,대구광역시 서구 평리3동 729-2
대구광역시,만평네거리 북편 공영주차장,1,2016,대구광역시 북구 팔달로 105
대구광역시,대구교통연수원,1,2016,대구광역시 수성구 무학로 203
대구광역시,성서국민체육센터,1,2016,대구광역시 달서구 선원로 133
대구광역시,홀마트 앞 (공중전화부스),1,2016,대구광역시 달성군 논공읍 논공로 749
인천광역시,인천공항 정부합동청사,1,2012,"인천광역시 중구 공항로424번길 47, 정문 주차장"
인천광역시,롯데마트 영종도점,1,2013,"인천광역시 중구 흰바위로 51, 지상주차장 4층 455구역"
인천광역시,차이나타운 주차장,1,2016,인천광역시 중구 신포로27번길 80
인천광역시,송림체육관,1,2016,인천광역시 동구 염전로 30
인천광역시,홈플러스 인하점,1,2013,"인천광역시 미추홀구 소성로 6, 주차장 옥상"
인천광역시,이마트 연수점,1,2013,"인천광역시 연수구 경원대로 184, 주차장 옥상"
인천광역시,홈플러스 구월점,1,2012,"인천광역시 남동구 예술로 198, 지하주차장 4층 I4구역"
인천광역시,계양구 공영주차장,1,2014,"인천광역시 계양구 봉오대로 679-1, 작전역 2번 출구 100m 앞"
인천광역시,인천서구청 제1주차장,1,2012,"인천광역시 서구 탁옥로51번길 26, 서구청후문 주차타워 지상 1층"
인천광역시,홈플러스 가좌점,1,2013,"인천광역시 서구 가정로151번길 11, 지하주차장 1층 M0구역"
광주광역시,소태역 환승주차장,1,2014,"광주광역시 동구 남문로 575, 환승주차장 1층"
광주광역시,광주시청,11,2013,"광주광역시 서구 내방로 111, 광주광역시청"
광주광역시,광주시청,12,2013,"광주광역시 서구 내방로 111, 광주광역시청"
광주광역시,송암동주민센터,1,2014,"광주광역시 남구 송암로 66, 도로쪽 주차장"
광주광역시,광주문화예술회관,1,2013,"광주광역시 북구 북문대로 60, 광주문화예술회관 지상주차장"
광주광역시,중소기업진흥공단 호남연수원,1,2014,"광주광역시 북구 동문대로456번길 40, 주차장 1층"
대전광역시,홈플러스 동대전점,1,2013,"대전광역시 동구 한밭대로 1282, 지상주차장 5층"
대전광역시,대전월드컵경기장,1,2016,대전광역시 유성구 월드컵대로 32
울산광역시,울산 중구 동천체육관,1,2016,울산광역시 중구 염포로 85동천 체육관 동편 주차장
울산광역시,울산 동구 전하체육센터,1,2016,울산광역시 동구 봉수로 285전하체육센터 주차장 입구옆
울산광역시,울산시 북구청,2,2016,울산광역시 북구 연암동 산업로 1010 북구청
울산광역시,농소2동 주민센터,1,2016,울산광역시 북구 찬샘1길 24
울산광역시,울산 울주군 서생면사무소,1,2016,울산광역시 울주군 서생면 해맞이로 894서생면사무소 청사 건물 출입구 우측 주차장
세종특별자치시,첫마을 BRT 환승주차장 A,1,2017,세종특별자치시 나성남로 7-7 BRT환승센터 B주차장 B1 (나성동 531)
세종특별자치시,첫마을 BRT 환승주차장 B,1,2017,세종특별자치시 나성남로 7-7 BRT환승센터 B주차장 B1 (나성동 778)
경기도,홈플러스 동수원점,1,2012,"경기도 수원시 팔달구 효원로 257, 지하주차장 1층  A01구역"
경기도,이마트 서수원점,1,2013,"경기도 수원시 권선구 수인로 291, 지하주차장 1층 C12구역"
경기도,장안구청,1,2016,경기도 수원시 장안구 송원로 101지하 주차장 진입 후 우측
경기도,수원화성박물관,1,2016,경기도 수원시 팔달구 창룡대로 21
경기도,롯데마트 영통점,1,2014,"경기도 수원시 영통구 봉영로 1579, 지하주차장 5층 503구역"
경기도,이마트 성남점,1,2012,"경기도 성남시 수정구 수정로 201, 지하주차장 2층 C3구역"
경기도,성남시청,5,2014,"경기도 성남시 중원구 성남대로 997, 성남시청 제1주차장"
경기도,동양컴퓨터학원 앞(공중전화부스),1,2016,경기도 성남시 중원구 중앙동 1175
경기도,율동자연공원 B주차장,1,2014,"경기도 성남시 분당구 서현로 459, 율동자연공원 B주차장(서현로방면) 출입구 왼쪽"
경기도,성남 맛고을 주차장,1,2016,경기도 성남시 분당구 야탑로 111번길 12-14
경기도,하나로마트 성남점,1,2016,경기도 성남시 분당구 성남대로 43번길 11
경기도,홈플러스 의정부점,1,2013,"경기도 의정부시 청사로 38, 지상주차장 5층"
경기도,홈플러스 안양점,1,2013,"경기도 안양시 동안구 엘에스로 92, 지하주차장 2층 D1 구역"
경기도,안양시청,1,2016,경기도 안양시 동안구 관앙동 1590
경기도,이마트 중동점,1,2012,"경기도 부천시 원미구 석천로 188, 지상주차장 2층 D구역 창고 오른쪽"
경기도,비전 공영주차장,1,2014,"경기도 평택시 비전동 629-1,주차장 안쪽 끝"
경기도,홈플러스 안산점,1,2013,"경기도 안산시 상록구 충장로 432, 지상주차장 1층 35구역"
경기도,안산문화예술의전당,1,2014,"경기도 안산시 단원구 화랑로 312, 출연자 주차장 P4 (관리동오른쪽)"
경기도,롯데마트 주엽점,1,2012,"경기도 고양시 일산서구 중앙로 1496, 지하주차장 2층 210구역"
경기도,롯데마트 고양점,1,2012,"경기도 고양시 덕양구 충장로 150, 지상주차장 4층 422구역"
경기도,고양종합운동장 부설주차장,1,2014,"경기도 고양시 일산서구 중앙로 1601, 대형주차장 왼쪽도로변"
경기도,과천시청,3,2010,"경기도 과천시 관문로 69, 과천시청"
경기도,이마트 도농점,1,2013,"경기도 남양주시 도농로 24, 지하주차장 2층 L8구역"
경기도,별내동주민센터,1,2014,"경기도 남양주시 별내3로 64-21, 주차장 입구"
경기도,롯데마트 마석점,1,2014,"경기도 남양주시 화도읍 경춘로 1992, 지상주차장 3층 20구역"
경기도,홈플러스 시화점,1,2013,"경기도 시흥시 희망공원로 269, 지상주차장 1층 A0구역"
경기도,의왕휴게소(서울방향),1,2014,"경기도 의왕시 오전로 24, 하이패스 안내소 뒷편"
경기도,의왕휴게소(의왕방향),1,2014,"경기도 의왕시 오전로 24, 의왕휴게소 건물 오른쪽"
경기도,이마트 하남점,1,2013,"경기도 하남시 덕풍서로 70, 지상주차장 5층"
경기도,서하남휴게소(판교방향),1,2014,"경기도 하남시 서울외곽순환고속도로 19, 주차장 플랜카드 앞"
경기도,이마트 보라점,1,2013,"경기도 용인시 기흥구 한보라1로 92, 지상주차장 4층"
경기도,이마트 죽전점,1,2013,"경기도 용인시 수지구 포은대로 552, 지상주차장 3층 B01구역"
경기도,홈플러스 파주문산점,1,2014,"경기도 파주시 문산읍 방촌로 1759, 옥상주차장 차량정비소 옆"
경기도,이마트 이천점,1,2013,"경기도 이천시 이섭대천로 1440-50, 옥상주차장"
경기도,롯데마트 마장휴게소점(통영방향),1,2014,"경기도 이천시 마장면 중부고속도로 82, 지하주차장 100구역"
경기도,홈플러스 풍무점,1,2013,"경기도 김포시 풍무로 167, 지상주차장 2층 E-01구역"
경기도,홈플러스 병점점,1,2013,"경기도 화성시 경기대로 985, 지상주차장 3층 4구역"
경기도,송산포도휴게소(평택방향),1,2016,경기도 화성시 송산면 평택시흥고속도로 25
경기도,송산포도휴게소(시흥방향),1,2016,경기도 화성시 송산면 평택시흥고속도로 25
경기도,경안동 공영주차장,1,2014,"경기도 광주시 경안로 13-6, 주차장 1층 안쪽"
경기도,연천군청,1,2016,경기도 연천군 연천읍 연천로 220
강원도,하나로마트 퇴계점,1,2013,강원도 춘천시 지석로 11
강원도,춘천휴게소(부산방향),1,2016,강원도 춘천시 동산면 원창리
강원도,문막휴게소(강릉방향),1,2011,"강원도 원주시 문막읍 원문로 1234, 휴게소 좌측"
강원도,치악휴게소(부산방향),1,2016,강원도 원주시 신림면 치악로 416
강원도,치악휴게소(춘천방향),1,2016,강원도 원주시 신림면 다리실2길 32
강원도,강릉시청,4,2014,강원도 강릉시 강릉대로 33 P3 주차장
강원도,정동진해변 주차장,1,2016,강원도 강릉시 강동면 정동역길 17
강원도,동해문화예술회관,1,2016,강원도 동해시 평원로 15
강원도,삼척시청,1,2016,강원도 삼척시 중앙로 296
강원도,홍천강휴게소(춘천방향),1,2016,강원도 홍천군 북방면 소매곡리
강원도,홍천군청,1,2016,강원도 홍천군 홍천읍 석화로 93
강원도,횡성휴게소(인천방향),1,2011,"강원도 횡성군 안흥면 영동고속도로 153, 농축산물판매장 옆"
강원도,횡성휴게소(강릉방향),1,2010,"강원도 횡성군 안흥면 영동고속도로 154, 휴게소와 LPG충전소 사이"
강원도,평창알펜시아리조트,1,2010,"강원도 평창군 대관령면 솔봉로 325, 알펜시아 컨벤션센터 주차장"
강원도,평창휴게소(강릉방향),1,2011,"강원도 평창군 용평면 경강로 2159-58, 주유소 맞은편 주차면"
강원도,평창휴게소(인천방향),1,2011,"강원도 평창군 용평면 탑거리길 63, 내고장 으뜸상품 판매장 앞"
강원도,고석정주차장,1,2016,강원도 철원군 동송읍 장흥리 20-15
강원도,인제군농특산물전시판매장,1,2016,강원도 인제군 인제읍 상동리 430
강원도,38선 휴게소,1,2016,강원도 양양군 현북면 동해대로 1242
충청북도,충북도청,1,2016,충청북도 청주시 상당구 상당로 82
충청북도,청주시 차량등록사업소,1,2016,충청북도 청주시 흥덕구 무심서로 857
충청북도,충주시청 의회동주차장,1,2016,충청북도 충주시 으뜸로21
충청북도,제천시청,2,2014,"충청북도 제천시 내토로 295, 건설 민원봉사실 옆 제2주차장 입구 왼쪽"
충청북도,충북제천시 관광정보센터,1,2016,충청북도 제천시 청풍면 교리 산 26
충청북도,수산복지회관,1,2016,충청북도 제천시 수산면 월악로26길 37
충청북도,KTX오송역 공영주차장,1,2013,"충청북도 청주시 흥덕구 오송읍 봉산리 370-1, KTX 오송역 공영주차장 A출구 바로 옆(지상)"
충청북도,속리산휴게소(청원방향),1,2016,충청북도 보은군 마로면 적암리
충청북도,옥천읍사무소,1,2016,충청북도 옥천군 옥천읍 동부로 15
충청북도,영동읍사무소,1,2016,충청북도 영동군 영동읍 영동황간로 15
충청북도,증평인삼관광휴게소,1,2016,충청북도 증평군 증평읍 중부로 2451
충청북도,괴산국민체육센터,1,2016,충청북도 괴산군 괴산읍 서부리 654
충청북도,푸른내문화센터,1,2016,충청북도 괴산군 청천면 금관로 473
충청북도,단양휴게소(부산방향),1,2016,충청북도 단양군 적성면 기동리
충청북도,단양휴게소(춘천방향),1,2016,충청북도 단양군 단성면 하방리
충청북도,단양관광안내소(단양팔경),1,2016,충청북도 단양군 단양읍 고수리 149-1
충청남도,입장휴게소(서울방향),1,2016,충청남도 천안시 서북구 입장면 연곡길 407
충청남도,천안휴게소(부산방향),1,2016,충청남도 천안시 동남구 수신면 성남로 793-40
충청남도,정안휴게소(천안방향),1,2016,충청남도 공주시 정안면 장원장자울길 73-47
충청남도,이인휴게소(천안방향),1,2016,충청남도 공주시 이인면 이인리
충청남도,탄천휴게소(논산방향),1,2016,충청남도 공주시 탄천면 장선리 151-6
충청남도,정안휴게소(순천방향),1,2016,충청남도 공주시 정안면 석송리
충청남도,아트센터 고마,1,2016,충청남도 공주시 웅진동 354-6
충청남도,보령시청,1,2012,"충청남도 보령시 성주산로 77, 후문 왼편"
충청남도,둔포면사무소,1,2016,충청남도 아산시 둔포면 둔포리 461-11
충청남도,서산시청,1,2011,"충청남도 서산시 관아문길 1, 수도과 주차장 정면"
충청남도,지곡면 공영주차장,1,2016,충청남도 서산시 지곡면 화천리 1301-17
충청남도,벌곡휴게소(대전방향),1,2016,충청남도 논산시 벌곡면 양산리
충청남도,엄사상점가 공영주차장,1,2016,충청남도 계룡시 엄사면 엄사리 181-3
충청남도,면천면사무소,1,2014,"충청남도 당진시 면천로 623, 사무소 앞 주차장"
충청남도,행담도휴게소(서울방향),1,2014,"충청남도 당진시 신평면 서해안고속도로 275,행담도휴게소(서울방향) 뒷편 주차장"
충청남도,행담도휴게소(목포방향),1,2014,"충청남도 당진시 신평면 서해안고속도로 275,행담도휴게소(목포방향) 뒷편 주차장"
충청남도,인삼랜드휴게소(하남방향),1,2016,충청남도 금산군 군북면 대암길 34-30
충청남도,인삼랜드휴게소(통영방향),1,2016,충청남도 금산군 군북면 어필각로 300
충청남도,금산군청,1,2016,충청남도 금산군 금산읍 군청길 13
충청남도,부여백제휴게소(공주방향),1,2016,충청남도 부여군 내산면 서천공주고속도로 26
충청남도,부여백제휴게소(서천방향),1,2016,충청남도 부여군 내산면 서천공주고속도로 25
