충전소명,충전일,충전량(kWh)
가산 공영주차장,2021-06-23,0.45
가산 공영주차장,2021-06-26,38.11
가산 공영주차장,2021-07-01,20.3
가산 공영주차장,2021-07-02,82.05
가산 공영주차장,2021-07-03,81.94
가산 공영주차장,2021-07-05,34.06
가산 공영주차장,2021-07-06,31.37
가산 공영주차장,2021-07-07,19.05
가산 공영주차장,2021-07-08,24.61
가산 공영주차장,2021-07-09,129.21
가산 공영주차장,2021-07-10,85.45
가산 공영주차장,2021-07-11,77.07
가산 공영주차장,2021-07-12,151.05
가산 공영주차장,2021-07-13,27.86
가산 공영주차장,2021-07-14,99.46
가산 공영주차장,2021-07-15,93.15
가산 공영주차장,2021-07-16,46.26
가산 공영주차장,2021-07-17,121.04
가산 공영주차장,2021-07-18,76.13
가산 공영주차장,2021-07-19,24.26
가산 공영주차장,2021-07-20,74.6
가산 공영주차장,2021-07-22,45.6
가산 공영주차장,2021-07-23,47.02
가산 공영주차장,2021-07-25,17.46
가산 공영주차장,2021-08-04,20.03
가산 공영주차장,2021-08-05,35.12
가산 공영주차장,2021-08-06,9.97
가산 공영주차장,2021-08-10,58.97
가산 공영주차장,2021-08-11,15.15
가산 공영주차장,2021-08-13,144.92
가산 공영주차장,2021-08-16,31.8
가산 공영주차장,2021-08-18,25.63
가산 공영주차장,2021-08-22,30.02
가산 공영주차장,2021-08-23,26.93
가산 공영주차장,2021-08-24,15.71
가산 공영주차장,2021-08-25,17.05
가산 공영주차장,2021-08-27,22.45
가산 공영주차장,2021-08-28,24.31
가산 공영주차장,2021-08-31,1.34
가산 공영주차장,2021-09-02,60.86
가산 공영주차장,2021-09-06,13.93
가산 공영주차장,2021-09-08,27.48
가산 공영주차장,2021-09-09,43.63
가산 공영주차장,2021-09-10,21.88
가산 공영주차장,2021-09-13,17.02
가산 공영주차장,2021-09-15,57.98
가산 공영주차장,2021-09-16,38.53
가산 공영주차장,2021-09-17,14.48
가산 공영주차장,2021-09-21,13.47
가산 공영주차장,2021-09-23,48.58
가산 공영주차장,2021-09-28,1.36
가산 공영주차장,2021-09-29,17.02
가산 공영주차장,2021-09-30,49.82
가산 공영주차장,2021-10-01,86.4
가산 공영주차장,2021-10-03,29.55
가산 공영주차장,2021-10-05,24.84
가산 공영주차장,2021-10-06,26.39
가산 공영주차장,2021-10-07,12.22
가산 공영주차장,2021-10-09,10.04
가산 공영주차장,2021-10-10,44.05
개화산역 공영주차장,2021-06-23,37.36
개화산역 공영주차장,2021-06-25,28.68
개화산역 공영주차장,2021-06-26,19.06
개화산역 공영주차장,2021-06-27,3.45
개화산역 공영주차장,2021-06-29,68.64
개화산역 공영주차장,2021-06-30,22.72
개화산역 공영주차장,2021-07-01,36.61
개화산역 공영주차장,2021-07-02,24.92
개화산역 공영주차장,2021-07-05,62.04
개화산역 공영주차장,2021-07-06,139.29
개화산역 공영주차장,2021-07-07,23.2
개화산역 공영주차장,2021-07-08,38.77
개화산역 공영주차장,2021-07-09,21.06
개화산역 공영주차장,2021-07-11,90.7
개화산역 공영주차장,2021-07-12,61.29
개화산역 공영주차장,2021-07-13,90.99
개화산역 공영주차장,2021-07-14,67.86
개화산역 공영주차장,2021-07-15,45.39
개화산역 공영주차장,2021-07-16,133.47
개화산역 공영주차장,2021-07-17,79.76
개화산역 공영주차장,2021-07-18,60.9
개화산역 공영주차장,2021-07-19,85.82
개화산역 공영주차장,2021-07-20,40.43
개화산역 공영주차장,2021-07-21,36.79
개화산역 공영주차장,2021-07-22,27.36
개화산역 공영주차장,2021-07-23,20.86
개화산역 공영주차장,2021-07-26,23.59
개화산역 공영주차장,2021-07-27,10.03
개화산역 공영주차장,2021-07-29,2.75
개화산역 공영주차장,2021-08-01,47.84
개화산역 공영주차장,2021-08-02,18.53
개화산역 공영주차장,2021-08-05,15.51
개화산역 공영주차장,2021-08-07,23.59
개화산역 공영주차장,2021-08-08,22.36
개화산역 공영주차장,2021-08-09,65.97
개화산역 공영주차장,2021-08-10,53.59
개화산역 공영주차장,2021-08-12,77.54
개화산역 공영주차장,2021-08-13,19.63
개화산역 공영주차장,2021-08-14,19.57
개화산역 공영주차장,2021-08-16,40.34
개화산역 공영주차장,2021-08-17,21.98
