일시,급속/완속,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2020-01,급속,65160,50840,37600,29080,32640,44000,76280,123600,205320,235520,277880,306240,337080,336800,339880,350160,350720,329240,305480,264560,226560,184800,143800,125000
2020-01,완속,15477,14182,7714,4039,2177,2401,4060,6167,10626,13083,15848,19159,17885,19516,22162,28336,32284,36099,41363,40558,38738,39473,41517,48020
2020-02,급속,54800,41680,31880,24680,27560,36120,61600,113880,178200,203120,229160,257640,284160,279160,285280,298320,300920,281840,274600,227800,189560,150040,117400,95720
2020-02,완속,14896,12551,7077,4473,2156,1960,3297,5726,9044,11354,14959,17402,16926,18844,21105,26089,30135,32809,40229,40901,36064,34139,35105,41552
2020-03,급속,49720,37200,28760,22960,24760,30440,63080,110440,163800,191840,217000,248840,270600,265640,273480,291840,288800,273480,268000,221640,182920,140080,106480,75480
2020-03,완속,13258,10549,6405,3955,2380,2009,3073,5180,8988,10766,14868,18417,18025,18648,21357,27419,30044,37506,48006,47579,38185,36050,33201,36456
2020-04,급속,49880,35400,26440,24240,26960,35600,72000,117560,165920,194480,214800,242040,262840,259880,269760,289840,289280,285200,275840,229600,187280,147880,106480,78720
2020-04,완속,13993,12096,6454,3493,2268,2149,3843,5866,9527,12362,14714,17465,17206,18410,21742,26761,33194,41615,48307,48356,41650,37835,36701,36960
2020-05,급속,53560,36200,26760,23240,28240,44600,81560,123320,167960,200240,226480,255120,273280,287600,293960,309840,309480,303640,289240,252320,215800,163080,122800,87160
2020-05,완속,16324,15015,7175,3913,2296,2723,3906,5719,10185,13181,15463,19019,19089,20496,23415,28588,34958,43260,49623,49434,45843,43071,41209,40341
2020-06,급속,56480,40680,29240,26760,32040,56320,90400,127360,189280,205840,238440,259080,286280,285400,281680,303960,303240,301400,293080,260040,216400,174320,132360,98480
2020-06,완속,17416,14966,8288,4025,2891,3269,4900,7322,12376,13657,15491,18298,18256,19593,22617,28847,34979,42147,49336,49980,44240,44324,45045,47726
2020-07,급속,64720,45560,32240,27960,38080,63080,106800,143040,197760,228400,247680,273680,303280,297320,305200,323960,326440,322800,310560,271880,229600,180400,141760,121240
2020-07,완속,19768,17969,7973,4557,3066,4011,5880,8603,13006,13580,16653,18277,19369,19978,22904,29820,36197,45185,51506,51114,45549,47565,50274,57463
2020-08,급속,64760,44320,30560,26160,33160,58720,109400,143120,202840,223280,256000,278960,300600,300160,312800,335360,335160,324360,310160,276560,231400,185640,140040,112400
2020-08,완속,19075,17864,8484,4130,2968,3318,5551,8022,12208,13363,16072,19222,19257,19369,23422,29421,33712,40299,47817,47089,42175,42994,45619,52178
2020-09,급속,53880,36720,25040,21600,28520,43360,89640,126920,178200,203680,222040,250840,280280,275560,281600,297560,298560,291680,277160,238640,199440,155480,116080,87120
2020-09,완속,16380,15239,8134,3493,2324,2940,4669,7224,10584,13048,15638,18732,18627,19208,22603,28567,33264,42693,50127,50624,44394,42518,40747,43750
2020-10,급속,60480,42680,30880,23920,32480,43960,89680,137920,199520,231440,251960,282000,310480,299880,304560,327880,324320,307840,283280,256880,220520,169120,131240,100880
2020-10,완속,17227,15967,7861,4816,2884,2884,4319,7273,12852,15463,17465,20342,20496,20321,24248,30289,37597,46151,53746,55216,49168,45850,44009,44996
2020-11,급속,63000,46480,33640,25840,37880,48480,86720,144560,215960,255040,277560,319040,342120,338280,341280,356920,356280,335400,314600,271440,236840,187040,152240,115800
2020-11,완속,18270,15743,8183,4452,2772,2877,4620,7294,14357,16870,18081,21119,22911,23478,26852,33558,39781,51331,60501,60235,50918,48167,47684,50526
2020-12,급속,68280,48520,29360,20640,43640,52400,86600,152000,253480,291760,325240,381480,409240,397480,397280,418680,422600,395400,361840,302520,255800,202720,161240,121240
2020-12,완속,15974,15680,8827,4396,2261,2786,4683,7805,14448,17836,21175,25060,25690,26943,30296,38206,46109,61663,72422,67298,56672,50792,46249,49182
