지역구분명,계절구분명,부하구분명,시작시간,종료시간,시작월,종료월
내륙지역,계절구분없음,부하구분없음,00,23,01,12
내륙지역,겨울1,경부하,00,08,01,02
내륙지역,겨울1,경부하,23,23,01,02
내륙지역,겨울1,중간부하,09,09,01,02
내륙지역,겨울1,중간부하,12,16,01,02
내륙지역,겨울1,중간부하,20,21,01,02
내륙지역,겨울1,최대부하,10,11,01,02
내륙지역,겨울1,최대부하,17,19,01,02
내륙지역,겨울1,최대부하,22,22,01,02
내륙지역,봄/가을1,경부하,00,08,03,05
내륙지역,봄/가을1,경부하,23,23,03,05
내륙지역,봄/가을1,중간부하,09,09,03,05
내륙지역,봄/가을1,중간부하,12,12,03,05
내륙지역,봄/가을1,중간부하,17,22,03,05
내륙지역,봄/가을1,최대부하,10,11,03,05
내륙지역,봄/가을1,최대부하,13,16,03,05
내륙지역,여름,경부하,00,08,06,08
내륙지역,여름,경부하,23,23,06,08
내륙지역,여름,중간부하,09,09,06,08
내륙지역,여름,중간부하,12,12,06,08
내륙지역,여름,중간부하,17,22,06,08
내륙지역,여름,최대부하,10,11,06,08
내륙지역,여름,최대부하,13,16,06,08
내륙지역,봄/가을2,경부하,00,08,09,10
내륙지역,봄/가을2,경부하,23,23,09,10
내륙지역,봄/가을2,중간부하,09,09,09,10
내륙지역,봄/가을2,중간부하,12,12,09,10
내륙지역,봄/가을2,중간부하,17,22,09,10
내륙지역,봄/가을2,최대부하,10,11,09,10
내륙지역,봄/가을2,최대부하,13,16,09,10
내륙지역,겨울2,경부하,00,08,11,12
내륙지역,겨울2,경부하,23,23,11,12
내륙지역,겨울2,중간부하,09,09,11,12
내륙지역,겨울2,중간부하,12,16,11,12
내륙지역,겨울2,중간부하,20,21,11,12
내륙지역,겨울2,최대부하,10,11,11,12
내륙지역,겨울2,최대부하,17,19,11,12
내륙지역,겨울2,최대부하,22,22,11,12
제주지역,계절구분없음,부하구분없음,00,23,01,12
제주지역,겨울1,경부하,00,07,01,02
제주지역,겨울1,경부하,22,23,01,02
제주지역,겨울1,중간부하,08,15,01,02
제주지역,겨울1,최대부하,16,21,01,02
제주지역,봄/가을1,경부하,00,07,03,05
제주지역,봄/가을1,경부하,22,23,03,05
제주지역,봄/가을1,중간부하,08,15,03,05
제주지역,봄/가을1,최대부하,16,21,03,05
제주지역,여름,경부하,00,07,06,08
제주지역,여름,경부하,22,23,06,08
제주지역,여름,중간부하,08,15,06,08
제주지역,여름,최대부하,16,21,06,08
제주지역,봄/가을2,경부하,00,07,09,10
제주지역,봄/가을2,경부하,22,23,09,10
제주지역,봄/가을2,중간부하,08,15,09,10
제주지역,봄/가을2,최대부하,16,21,09,10
제주지역,겨울2,경부하,00,07,11,12
제주지역,겨울2,경부하,22,23,11,12
제주지역,겨울2,중간부하,08,15,11,12
제주지역,겨울2,최대부하,16,21,11,12
