gid,합계
다사643560,0
다사647551,0
다사629554,1
다사645566,0
다사631573,0
다사634534,0
다사649556,0
다사626569,0
다사627555,1
다사629545,0
다사647561,0
다사641561,3
다사647559,0
다사630540,0
다사642536,0
다사629564,0
다사629531,0
다사641549,0
다사624555,0
다사641571,0
다사632547,0
다사625566,0
다사624567,0
다사626567,0
다사627539,0
다사642533,0
다사648552,2
다사634536,0
다사623549,0
다사633531,0
다사631531,0
다사638560,0
다사623545,0
다사628572,0
다사626572,2
다사633538,0
다사626549,0
다사632558,0
다사635542,1
다사636547,1
다사638552,0
다사647557,0
다사645553,2
다사625569,1
다사634546,0
다사631563,0
다사632556,0
다사653559,0
다사658562,0
다사631532,0
다사642555,0
다사643553,0
다사633525,0
다사639572,0
다사639539,0
다사628561,0
다사648566,0
다사628526,0
다사652557,0
다사634541,1
다사627565,0
다사646554,2
다사656558,2
다사627566,0
다사628560,0
다사644545,0
다사658567,0
다사630544,0
다사623570,0
다사639536,0
다사653568,0
다사632550,2
다사621549,2
다사641573,0
다사646562,0
다사646555,2
다사629559,0
다사632538,0
다사643542,1
다사646550,0
다사623551,0
다사636550,0
다사637544,1
다사630568,0
다사634543,1
다사630545,0
다사637559,0
다사641542,1
다사647543,1
다사654575,0
다사648576,0
다사638572,0
다사637530,0
다사629574,0
다사652554,0
다사655576,0
다사631529,0
다사646546,0
다사647568,0
다사646544,1
다사644548,0
다사631548,0
다사644549,0
다사622549,2
다사630551,1
다사637576,2
다사633553,3
다사643545,0
다사645551,0
다사651564,0
다사636561,0
다사637575,0
다사634525,0
다사628553,0
다사636553,0
다사643561,0
다사624542,0
다사631538,0
다사630529,0
다사634561,0
다사640561,0
다사625571,1
다사646570,0
다사623568,0
다사635545,1
다사643559,0
다사636546,1
다사650554,0
다사634542,1
다사650567,0
다사631525,0
다사629556,3
다사640540,0
다사651579,0
다사640547,1
다사641563,3
다사625549,0
다사628569,0
다사629526,0
다사646556,0
다사634540,1
다사650562,0
다사626547,0
다사632526,0
다사633574,0
다사641539,0
다사656573,0
다사658566,2
다사633545,0
다사640546,1
다사629577,0
다사633554,3
다사642564,0
다사651556,0
다사634548,0
다사623550,0
다사625544,0
다사632543,0
다사636543,1
다사624545,0
다사625541,0
다사651559,0
다사635552,0
다사635574,0
다사652562,0
다사630527,0
다사622546,0
다사629547,0
다사631533,0
다사623562,0
다사625575,0
다사647574,0
다사657566,2
다사648557,0
다사640563,1
다사624569,1
다사630549,0
다사636573,0
다사624548,0
다사624556,1
다사631572,0
