gid,lon,lat
다사643560,127.0961186000,37.6031786000
다사647551,127.1006935000,37.5950820600
다사629554,127.0802887000,37.5977153000
다사645566,127.0983553000,37.6085943000
다사631573,127.0824585000,37.6148485300
다사634534,127.0860525000,37.5797087100
다사649556,127.1029350000,37.5995963500
다사626569,127.0768137000,37.6112230500
다사627555,127.0780180000,37.5986085500
다사629545,127.0803342000,37.5896033400
다사647561,127.1006453000,37.6040953500
다사641561,127.0938479000,37.6040721500
다사647559,127.1006549000,37.6022926900
다사630540,127.0814921000,37.5851007200
다사642536,127.0951029000,37.5815428000
다사629564,127.0802380000,37.6067285600
다사629531,127.0804050000,37.5769847300
다사641549,127.0939067000,37.5932562100
다사624555,127.0746196000,37.5985963500
다사641571,127.0937989000,37.6130854300
다사632547,127.0837222000,37.5914180300
다사625566,127.0756961000,37.6085150100
다사624567,127.0745580000,37.6094122600
다사626567,127.0768239000,37.6094204000
다사627539,127.0780994000,37.5841872900
다사642533,127.0951176000,37.5788388000
다사648552,127.1018214000,37.5959872100
다사634536,127.0860425000,37.5815113700
다사623549,127.0735176000,37.5931843000
다사633531,127.0849350000,37.5770007400
다사631531,127.0826700000,37.5769927600
다사638560,127.0904542000,37.6031590800
다사623545,127.0735382000,37.5895789900
다사628572,127.0790645000,37.6139351300
다사626572,127.0767984000,37.6139270300
다사633538,127.0849000000,37.5833100600
다사626549,127.0769158000,37.5931965300
다사632558,127.0836670000,37.6013326400
다사635542,127.0871452000,37.5869233200
다사636547,127.0882530000,37.5914339300
다사638552,127.0904937000,37.5959484500
다사647557,127.1006646000,37.6004900300
다사645553,127.0984183000,37.5968770300
다사625569,127.0756807000,37.6112189800
다사634546,127.0859926000,37.5905246700
다사631563,127.0825089000,37.6058352800
다사632556,127.0836770000,37.5995299900
다사653559,127.1074522000,37.6023155000
다사658562,127.1131025000,37.6050381900
다사631532,127.0826650000,37.5778940900
다사642555,127.0950101000,37.5986680800
다사643553,127.0961527000,37.5968693000
다사633525,127.0849650000,37.5715927500
다사639572,127.0915279000,37.6139789300
다사639539,127.0916905000,37.5842350900
다사628561,127.0791203000,37.6040205500
다사648566,127.1017542000,37.6086058200
다사628526,127.0792979000,37.5724740400
다사652557,127.1063288000,37.6005090600
다사634541,127.0860176000,37.5860180300
다사627565,127.0779671000,37.6076218100
다사646554,127.0995462000,37.5977822100
다사656558,127.1108555000,37.6014254200
다사627566,127.0779620000,37.6085231300
다사628560,127.0791254000,37.6031192200
다사644545,127.0973243000,37.5896625300
다사658567,127.1130792000,37.6095448400
다사630544,127.0814719000,37.5887060400
다사623570,127.0734095000,37.6121121400
다사639536,127.0917053000,37.5815311000
다사653568,127.1074095000,37.6104274600
다사632550,127.0837071000,37.5941220200
다사621549,127.0712522000,37.5931760900
다사641573,127.0937891000,37.6148880800
다사646562,127.0995076000,37.6049928400
다사646555,127.0995414000,37.5986835400
다사629559,127.0802633000,37.6022219300
다사632538,127.0837674000,37.5833060700
