gid,ADM_DR_NM
다사643560,신내1동
다사647551,망우3동
다사629554,중화1동
다사645566,신내1동
다사631573,묵1동
다사634534,면목7동
다사649556,망우본동
다사626569,묵2동
다사627555,중화2동
다사629545,면목2동
다사647561,신내1동
다사641561,상봉1동
다사647559,신내1동
다사630540,면목5동
다사642536,면목3·8동
다사629564,묵1동
다사629531,면목4동
다사641549,망우3동
다사624555,중화2동
다사641571,신내2동
다사632547,면목2동
다사625566,묵2동
다사624567,묵2동
다사626567,묵2동
다사627539,면목5동
다사642533,면목7동
다사648552,망우본동
다사634536,면목3·8동
다사623549,상봉2동
다사633531,면목4동
다사631531,면목4동
다사638560,상봉1동
다사623545,면목2동
다사628572,묵1동
다사626572,묵1동
다사633538,면목3·8동
다사626549,상봉2동
다사632558,중화1동
다사635542,면목본동
다사636547,면목본동
다사638552,상봉2동
다사647557,신내1동
다사645553,망우본동
다사625569,묵2동
다사634546,면목2동
다사631563,중화1동
다사632556,중화1동
다사653559,망우본동
다사658562,망우본동
다사631532,면목7동
다사642555,상봉1동
다사643553,망우본동
다사633525,중곡3동
다사639572,신내2동
다사639539,면목본동
다사628561,중화1동
다사648566,신내1동
다사628526,면목4동
다사652557,망우본동
다사634541,면목본동
다사627565,묵1동
다사646554,망우본동
다사656558,망우본동
다사627566,묵1동
다사628560,중화1동
다사644545,면목3·8동
다사658567,신내1동
다사630544,면목2동
다사623570,묵2동
다사639536,면목3·8동
다사653568,망우본동
다사632550,상봉2동
다사621549,상봉2동
다사641573,신내2동
다사646562,신내1동
다사646555,망우본동
다사629559,중화1동
다사632538,면목5동
다사643542,면목3·8동
다사646550,망우3동
다사623551,중화2동
다사636550,상봉2동
다사637544,면목본동
다사630568,묵1동
다사634543,면목본동
다사630545,면목2동
다사637559,상봉1동
다사641542,면목본동
다사647543,면목3·8동
다사654575,신내1동
다사648576,신내1동
다사638572,신내2동
다사637530,면목4동
다사629574,묵1동
다사652554,망우본동
다사655576,신내1동
다사631529,면목4동
다사646546,망우3동
다사647568,신내1동
다사646544,면목3·8동
다사644548,망우3동
다사631548,면목2동
다사644549,망우3동
다사622549,상봉2동
다사630551,상봉1동
다사637576,묵1동
다사633553,상봉1동
다사643545,면목3·8동
다사645551,망우3동
다사651564,망우본동
다사636561,상봉1동
다사637575,묵1동
다사634525,면목4동
다사628553,중화2동
다사636553,상봉1동
다사643561,신내1동
다사624542,면목2동
다사631538,면목5동
다사630529,면목4동
다사634561,상봉1동
다사640561,상봉1동
다사625571,묵2동
다사646570,신내1동
다사623568,묵2동
다사635545,면목본동
다사643559,신내1동
다사636546,면목본동
다사650554,망우본동
다사634542,면목본동
다사650567,신내1동
다사631525,중곡3동
다사629556,중화1동
다사640540,면목본동
다사651579,신내1동
다사640547,면목본동
다사641563,신내2동
다사625549,상봉2동
다사628569,묵1동
다사629526,면목4동
다사646556,망우본동
다사634540,면목본동
다사650562,망우본동
다사626547,면목2동
다사632526,면목4동
다사633574,묵1동
다사641539,면목본동
다사656573,신내1동
다사658566,망우본동
다사633545,면목2동
다사640546,면목본동
다사629577,묵1동
다사633554,상봉1동
다사642564,신내1동
다사651556,망우본동
다사634548,면목2동
다사623550,중화2동
다사625544,면목2동
다사632543,면목2동
다사636543,면목본동
다사624545,면목2동
다사625541,면목2동
다사651559,망우본동
다사635552,상봉2동
다사635574,묵1동
다사652562,망우본동
다사630527,면목4동
다사622546,면목2동
다사629547,면목2동
다사631533,면목7동
다사623562,중화2동
다사625575,묵1동
다사647574,신내1동
다사657566,망우본동
다사648557,망우본동
다사640563,상봉1동
다사624569,묵2동
다사630549,상봉2동
다사636573,묵1동
다사624548,면목2동
다사624556,중화2동
다사631572,묵1동
다사648548,망우3동
다사649545,망우3동
다사644565,신내1동
다사625568,묵2동
다사635557,상봉1동
다사645556,신내1동
다사630537,면목5동
다사653556,망우본동
다사628543,면목2동
다사629571,묵1동
다사633558,중화1동
다사636551,상봉2동
