DGM_NM,gid
신림5동사무소,다사493432
길1동사무소,다사684484
서울남부여성발전센터,다사475406
서울남부여성발전센터,다사473405
서울남부여성발전센터,다사474405
서울남부여성발전센터,다사474406
서울남부여성발전센터,다사475405
"청사(공공업무시설,근린공공시설)",다사455536
공공청사,다사437466
공공청사,다사436465
공공청사,다사437465
공공청사,다사635512
공공청사,다사635511
기타공공청사시설,다사519515
공공청사,다사535481
공공청사,다사533479
공공청사,다사536482
공공청사,다사534481
공공청사,다사535482
공공청사,다사534480
공공청사,다사533480
공공청사,다사532479
공공청사,다사536484
공공청사,다사536483
공공청사,다사533478
공공청사,다사540483
공공청사,다사536478
공공청사,다사535477
공공청사,다사534478
공공청사,다사537478
공공청사,다사537482
공공청사,다사535480
공공청사,다사537477
공공청사,다사538484
공공청사,다사537480
공공청사,다사536477
공공청사,다사534479
공공청사,다사536480
공공청사,다사538482
공공청사,다사538483
공공청사,다사535478
공공청사,다사539483
공공청사,다사536479
공공청사,다사538479
공공청사,다사538480
공공청사,다사537484
공공청사,다사539481
공공청사,다사537483
공공청사,다사539484
공공청사,다사538481
공공청사,다사536481
공공청사,다사539482
공공청사,다사535479
공공청사,다사540484
공공청사,다사537479
공공청사,다사537481
공공청사,다사662427
공공청사,다사664426
공공청사,다사663426
공공청사,다사662428
공공청사,다사664427
공공청사,다사664428
공공청사,다사663428
공공청사,다사663427
서울지방검찰청,다사568440
서울지방검찰청,다사566444
서울지방검찰청,다사567445
서울지방검찰청,다사564439
서울지방검찰청,다사569441
서울지방검찰청,다사565439
서울지방검찰청,다사567444
서울지방검찰청,다사568445
서울지방검찰청,다사567440
서울지방검찰청,다사565440
서울지방검찰청,다사567443
서울지방검찰청,다사567441
서울지방검찰청,다사564440
서울지방검찰청,다사569444
서울지방검찰청,다사568442
서울지방검찰청,다사565441
서울지방검찰청,다사568444
서울지방검찰청,다사563440
서울지방검찰청,다사567442
서울지방검찰청,다사568443
서울지방검찰청,다사569442
서울지방검찰청,다사564441
서울지방검찰청,다사563439
서울지방검찰청,다사566443
서울지방검찰청,다사563442
서울지방검찰청,다사565444
서울지방검찰청,다사566440
서울지방검찰청,다사563441
서울지방검찰청,다사566441
서울지방검찰청,다사566442
서울지방검찰청,다사568441
서울지방검찰청,다사569443
국립환경연구소,다사498568
국립환경연구소,다사499569
국립환경연구소,다사498569
국립환경연구소,다사500569
국립환경연구소,다사499568
국립환경연구소,다사500568
강남우체국,다사626439
강남우체국,다사626438
강남우체국,다사627439
강남우체국,다사627438
미아2동사무소,다사575587
미아2동사무소,다사574587
중화2동사무소,다사624551
"청사(공공업무시설,근린공공시설)",다사418517
"청사(공공업무시설,근린공공시설)",다사417517
공공청사,다사421524
공공청사,다사439467
공공청사,다사439466
공공시설,다사594543
공공시설,다사594542
공공시설,다사595543
공공시설,다사595542
공공청사,다사662427
공공청사,다사663426
공공청사,다사662425
공공청사,다사661427
공공청사,다사661425
공공청사,다사661426
공공청사,다사662426
공공청사,다사663425
공공청사,다사510501
공공청사,다사510500
