DGM_NM,gid
기타시장시설,다사680486
기타시장시설,다사680485
기타시장시설,다사679486
기타시장시설,다사679485
시장,다사637529
시장,다사637528
신세계백화점 미아점,다사585568
신세계백화점 미아점,다사584568
신세계백화점 미아점,다사584569
신세계백화점 미아점,다사585569
신세계백화점 미아점,다사585569
신세계백화점 미아점,다사585568
시장,다사618532
시장,다사619532
영진시장,다사481505
영진시장,다사481506
시장,다사594512
시장,다사594511
시장,다사593512
양재시장,다사591429
양재시장,다사591428
양재시장,다사591429
남대문시장,다사537512
남대문시장,다사538511
남대문시장,다사539513
남대문시장,다사537513
남대문시장,다사539512
남대문시장,다사538513
남대문시장,다사537511
남대문시장,다사538512
시장,다사671501
시장,다사490532
시장,다사568546
시장,다사569546
시장,다사570547
시장,다사569547
시장,다사564544
시장,다사566544
시장,다사565544
시장,다사564543
시장,다사566543
시장,다사565543
시장,다사635549
시장,다사634549
시장,다사634550
시장,다사635550
시장,다사534508
시장,다사534507
시장,다사534507
성수시장,다사607498
성수시장,다사607499
시장,다사473374
시장,다사473377
시장,다사472378
시장,다사472374
시장,다사473375
시장,다사473376
시장,다사472377
시장,다사473378
시장,다사472376
시장,다사472375
시장,다사637545
시장,다사638545
시장,다사637546
시장,다사638546
시장,다사673481
시장,다사673480
롯데쇼핑,다사641457
롯데쇼핑,다사640458
롯데쇼핑,다사645460
롯데쇼핑,다사641458
롯데쇼핑,다사642458
롯데쇼핑,다사647457
롯데쇼핑,다사646458
롯데쇼핑,다사640459
롯데쇼핑,다사643459
롯데쇼핑,다사644459
롯데쇼핑,다사642459
롯데쇼핑,다사645458
롯데쇼핑,다사641459
롯데쇼핑,다사644457
롯데쇼핑,다사642457
롯데쇼핑,다사647458
롯데쇼핑,다사645459
롯데쇼핑,다사646459
롯데쇼핑,다사646460
롯데쇼핑,다사640457
롯데쇼핑,다사644458
롯데쇼핑,다사647459
롯데쇼핑,다사645457
롯데쇼핑,다사643458
롯데쇼핑,다사646457
롯데쇼핑,다사643457
기타 시장시설,다사635549
기타 시장시설,다사634549
기타 시장시설,다사634550
기타 시장시설,다사635550
시장,다사436445
시장,다사435448
시장,다사436444
시장,다사435445
시장,다사435446
시장,다사434446
시장,다사435444
시장,다사433446
시장,다사435447
시장,다사434448
시장,다사434447
시장,다사434445
시장,다사428431
시장,다사625581
시장,다사625580
시장,다사624581
유통업무설비,다사450452
유통업무설비,다사452450
유통업무설비,다사452452
유통업무설비,다사450449
유통업무설비,다사450451
유통업무설비,다사451449
유통업무설비,다사451452
유통업무설비,다사449449
유통업무설비,다사452451
유통업무설비,다사451451
유통업무설비,다사449450
유통업무설비,다사451450
유통업무설비,다사449451
유통업무설비,다사450450
시장,다사634534
시장,다사634533
시장,다사635534
편익,다사482607
편익,다사481608
편익,다사480607
편익,다사480608
편익,다사481607
시장,다사671501
시장,다사435509
시장,다사435510
시장,다사434510
시장,다사434509
시장,다사419478
시장,다사418478
시장,다사627574
시장,다사626573
시장,다사627573
시장,다사626574
시장,다사615486
새로나백화점,다사539513
새로나백화점,다사540513
새로나백화점,다사539514
새로나백화점,다사540514
시장,다사481501
시장,다사481500
시장,다사604617
시장,다사605617
시장,다사605618
시장,다사603617
시장,다사605619
시장,다사604618
시장,다사603618
시장,다사604619
대규모점포및정기시장,다사691444
대규모점포및정기시장,다사691443
대규모점포및정기시장,다사690443
대규모점포및정기시장,다사690444
광장시장,다사558523
광장시장,다사560523
광장시장,다사559523
광장시장,다사557523
광장시장,다사557523
광장시장,다사556524
광장시장,다사558523
광장시장,다사559524
광장시장,다사560523
광장시장,다사559523
광장시장,다사556523
광장시장,다사558524
광장시장,다사557524
광장시장,다사560524
시장,다사602619
시장,다사602620
시장,다사604620
시장,다사603621
시장,다사605619
시장,다사605620
시장,다사604618
시장,다사603618
시장,다사603619
시장,다사604621
시장,다사604619
시장,다사603620
시장,다사548436
시장,다사548437
시장,다사543426
논현시장,다사588457
논현시장,다사589457
일원마트,다사634437
일원마트,다사635436
일원마트,다사634436
현대시장,다사600528
현대시장,다사600529
현대시장,다사599529
현대시장,다사599528
시장,다사464440
시장,다사464441
시장,다사464440
시장,다사464441
시장,다사463439
시장,다사464439
시장,다사463440
시장,다사428438
시장,다사428437
시장,다사429438
시장,다사429437
유통업무설비,다사448449
유통업무설비,다사448448
유통업무설비,다사449449
유통업무설비,다사448450
유통업무설비,다사446447
유통업무설비,다사445448
유통업무설비,다사447446
유통업무설비,다사445447
유통업무설비,다사447447
유통업무설비,다사449448
유통업무설비,다사447449
유통업무설비,다사447450
