gid,라벨,lon,lat
다사575572,"52","127.0190136000","37.6137056500"
다사573572,"52","127.0167475000","37.6136963900"
다사573573,"52","127.0167417000","37.6145977100"
다사574572,"52","127.0178805000","37.6137010300"
다사573577,"52","127.0167183000","37.6182029800"
다사569581,"52","127.0121624000","37.6217895900"
다사575578,"52","127.0189787000","37.6191135500"
다사574577,"52","127.0178514000","37.6182076100"
다사571578,"52","127.0144463000","37.6190949900"
다사574575,"52","127.0178631000","37.6164049800"
다사575576,"52","127.0189903000","37.6173109200"
다사575577,"52","127.0189845000","37.6182122400"
다사574574,"52","127.0178689000","37.6155036600"
다사574576,"52","127.0178573000","37.6173062900"
다사572578,"52","127.0155794000","37.6190996500"
다사572577,"52","127.0155852000","37.6181983300"
다사576573,"52","127.0201408000","37.6146115800"
다사573574,"52","127.0167358000","37.6154990300"
다사574578,"52","127.0178456000","37.6191089300"
다사576574,"52","127.0201350000","37.6155129000"
다사573575,"52","127.0167300000","37.6164003400"
다사576578,"52","127.0201118000","37.6191181700"
다사576577,"52","127.0201176000","37.6182168500"
다사571579,"52","127.0144404000","37.6199963000"
다사573576,"52","127.0167242000","37.6173016600"
다사576576,"52","127.0201234000","37.6173155300"
다사575575,"52","127.0189961000","37.6164096000"
다사575574,"52","127.0190019000","37.6155082800"
다사575573,"52","127.0190078000","37.6146069700"
다사575572,"52","127.0190136000","37.6137056500"
다사576575,"52","127.0201292000","37.6164142100"
다사573578,"52","127.0167125000","37.6191042900"
다사572576,"52","127.0155911000","37.6172970100"
다사573573,"52","127.0167417000","37.6145977100"
다사574572,"52","127.0178805000","37.6137010300"
다사599478,"2","127.0467201000","37.5290885700"
다사600471,"2","127.0478899000","37.5227835700"
다사601476,"2","127.0489945000","37.5272945700"
다사600478,"2","127.0478519000","37.5290929100"
다사599476,"2","127.0467310000","37.5272859100"
다사600473,"2","127.0478791000","37.5245862400"
다사601473,"2","127.0490107000","37.5245905700"
다사602476,"2","127.0501262000","37.5272988900"
다사597475,"2","127.0444730000","37.5263758600"
다사599471,"2","127.0467583000","37.5227792300"
