gid,lbl,val
다사643560,56.000000,56.000000
다사647551,288.000000,288.000000
다사629554,44.000000,44.000000
다사645566,548.000000,548.000000
다사631573,680.000000,680.000000
다사634534,251.000000,251.000000
다사649556,324.000000,324.000000
다사626569,334.000000,334.000000
다사627555,239.000000,239.000000
다사629545,315.000000,315.000000
다사647561,143.000000,143.000000
다사641561,1621.000000,1621.000000
다사647559,180.000000,180.000000
다사630540,430.000000,430.000000
다사642536,603.000000,603.000000
다사629564,425.000000,425.000000
다사629531,263.000000,263.000000
다사641549,427.000000,427.000000
다사624555,433.000000,433.000000
다사641571,518.000000,518.000000
다사632547,321.000000,321.000000
다사625566,559.000000,559.000000
다사624567,276.000000,276.000000
다사626567,333.000000,333.000000
다사627539,403.000000,403.000000
다사642533,478.000000,478.000000
다사648552,245.000000,245.000000
다사634536,443.000000,443.000000
다사623549,0.000000,0.000000
다사633531,342.000000,342.000000
다사631531,500.000000,500.000000
다사638560,620.000000,620.000000
다사623545,173.000000,173.000000
다사628572,502.000000,502.000000
다사626572,125.000000,125.000000
다사633538,488.000000,488.000000
다사626549,117.000000,117.000000
다사632558,281.000000,281.000000
다사635542,654.000000,654.000000
다사636547,308.000000,308.000000
다사638552,67.000000,67.000000
다사647557,98.000000,98.000000
다사645553,211.000000,211.000000
다사625569,334.000000,334.000000
다사634546,469.000000,469.000000
다사631563,463.000000,463.000000
다사632556,530.000000,530.000000
다사653559,247.000000,247.000000
다사658562,0.000000,0.000000
다사631532,369.000000,369.000000
다사642555,79.000000,79.000000
다사643553,450.000000,450.000000
다사633525,507.000000,507.000000
다사639572,254.000000,254.000000
다사639539,365.000000,365.000000
다사628561,210.000000,210.000000
다사648566,8.000000,8.000000
다사628526,17.000000,17.000000
다사652557,171.000000,171.000000
다사634541,439.000000,439.000000
다사627565,261.000000,261.000000
다사646554,415.000000,415.000000
다사656558,280.000000,280.000000
다사627566,138.000000,138.000000
다사628560,117.000000,117.000000
다사644545,182.000000,182.000000
다사658567,38.000000,38.000000
다사630544,455.000000,455.000000
다사623570,465.000000,465.000000
다사639536,492.000000,492.000000
다사653568,0.000000,0.000000
다사632550,297.000000,297.000000
다사621549,147.000000,147.000000
다사641573,355.000000,355.000000
다사646562,468.000000,468.000000
다사646555,274.000000,274.000000
다사629559,511.000000,511.000000
다사632538,146.000000,146.000000
다사643542,830.000000,830.000000
다사646550,210.000000,210.000000
다사623551,472.000000,472.000000
다사636550,343.000000,343.000000
다사637544,306.000000,306.000000
다사630568,524.000000,524.000000
다사634543,240.000000,240.000000
다사630545,598.000000,598.000000
다사637559,422.000000,422.000000
다사641542,295.000000,295.000000
다사647543,452.000000,452.000000
다사654575,328.000000,328.000000
다사648576,243.000000,243.000000
다사638572,554.000000,554.000000
다사637530,944.000000,944.000000
다사629574,507.000000,507.000000
다사652554,0.000000,0.000000
다사655576,29.000000,29.000000
다사631529,411.000000,411.000000
다사646546,458.000000,458.000000
다사647568,321.000000,321.000000
다사646544,449.000000,449.000000
다사644548,401.000000,401.000000
다사631548,359.000000,359.000000
다사644549,191.000000,191.000000
다사622549,18.000000,18.000000
다사630551,150.000000,150.000000
다사637576,342.000000,342.000000
다사633553,104.000000,104.000000
다사643545,212.000000,212.000000
다사645551,201.000000,201.000000
다사651564,0.000000,0.000000
다사636561,0.000000,0.000000
다사637575,663.000000,663.000000
다사634525,182.000000,182.000000
다사628553,613.000000,613.000000
다사636553,0.000000,0.000000
다사643561,207.000000,207.000000
다사624542,574.000000,574.000000
다사631538,532.000000,532.000000
다사630529,557.000000,557.000000
다사634561,63.000000,63.000000
다사640561,406.000000,406.000000
다사625571,510.000000,510.000000
다사646570,535.000000,535.000000
다사623568,527.000000,527.000000
다사635545,251.000000,251.000000
다사643559,687.000000,687.000000
다사636546,400.000000,400.000000
다사650554,175.000000,175.000000
다사634542,601.000000,601.000000
다사650567,0.000000,0.000000
다사631525,304.000000,304.000000
다사629556,103.000000,103.000000
다사640540,557.000000,557.000000
다사651579,0.000000,0.000000
다사640547,374.000000,374.000000
다사641563,119.000000,119.000000
다사625549,454.000000,454.000000
다사628569,410.000000,410.000000
다사629526,417.000000,417.000000
다사646556,71.000000,71.000000
다사634540,215.000000,215.000000
다사650562,69.000000,69.000000
다사626547,302.000000,302.000000
다사632526,194.000000,194.000000
다사633574,675.000000,675.000000
다사641539,228.000000,228.000000
다사656573,678.000000,678.000000
다사658566,20.000000,20.000000
다사633545,127.000000,127.000000
다사640546,325.000000,325.000000
다사629577,31.000000,31.000000
다사633554,484.000000,484.000000
다사642564,266.000000,266.000000
다사651556,510.000000,510.000000
다사634548,156.000000,156.000000
다사623550,7.000000,7.000000
다사625544,459.000000,459.000000
다사632543,150.000000,150.000000
다사636543,421.000000,421.000000
다사624545,248.000000,248.000000
다사625541,184.000000,184.000000
다사651559,388.000000,388.000000
다사635552,594.000000,594.000000
다사635574,244.000000,244.000000
다사652562,433.000000,433.000000
다사630527,492.000000,492.000000
다사622546,317.000000,317.000000
다사629547,112.000000,112.000000
다사631533,798.000000,798.000000
다사623562,13.000000,13.000000
다사625575,9.000000,9.000000
다사647574,0.000000,0.000000
다사657566,11.000000,11.000000
다사648557,140.000000,140.000000
다사640563,339.000000,339.000000
다사624569,497.000000,497.000000
다사630549,401.000000,401.000000
다사636573,0.000000,0.000000
다사624548,287.000000,287.000000
다사624556,460.000000,460.000000
다사631572,21.000000,21.000000
다사648548,419.000000,419.000000
다사649545,68.000000,68.000000
다사644565,413.000000,413.000000
다사625568,462.000000,462.000000
다사635557,408.000000,408.000000
다사645556,36.000000,36.000000
다사630537,289.000000,289.000000
다사653556,237.000000,237.000000
다사628543,315.000000,315.000000
다사629571,444.000000,444.000000
다사633558,300.000000,300.000000
다사636551,424.000000,424.000000
다사630528,354.000000,354.000000
다사636530,642.000000,642.000000
다사634547,150.000000,150.000000
다사633546,259.000000,259.000000
다사659565,0.000000,0.000000
다사632573,227.000000,227.000000
다사632540,432.000000,432.000000
다사633548,184.000000,184.000000
다사629555,194.000000,194.000000
다사634533,182.000000,182.000000
다사641541,460.000000,460.000000
다사650577,0.000000,0.000000
다사626557,497.000000,497.000000
다사629539,159.000000,159.000000
다사633577,117.000000,117.000000
다사641537,874.000000,874.000000
다사657559,0.000000,0.000000
다사648571,0.000000,0.000000
다사627556,570.000000,570.000000
다사644544,399.000000,399.000000
다사633550,365.000000,365.000000
다사639553,414.000000,414.000000
다사627575,454.000000,454.000000
다사629576,607.000000,607.000000
다사648551,285.000000,285.000000
다사650555,298.000000,298.000000
다사646559,13.000000,13.000000
다사640554,186.000000,186.000000
다사641540,445.000000,445.000000
다사624558,386.000000,386.000000
다사626556,328.000000,328.000000
다사637545,235.000000,235.000000
다사641532,133.000000,133.000000
다사649560,445.000000,445.000000
다사635551,501.000000,501.000000
다사628575,195.000000,195.000000
다사637551,270.000000,270.000000
다사642570,1535.000000,1535.000000
다사626551,15.000000,15.000000
다사637539,414.000000,414.000000
다사636542,376.000000,376.000000
다사640534,296.000000,296.000000
다사644568,1202.000000,1202.000000
다사628576,186.000000,186.000000
다사640542,566.000000,566.000000
다사627547,252.000000,252.000000
다사641533,318.000000,318.000000
다사637543,562.000000,562.000000
다사637529,306.000000,306.000000
다사643548,373.000000,373.000000
다사645554,416.000000,416.000000
다사641555,170.000000,170.000000
다사643565,267.000000,267.000000
다사644554,318.000000,318.000000
다사645565,238.000000,238.000000
다사624544,410.000000,410.000000
다사624561,460.000000,460.000000
다사652559,421.000000,421.000000
다사647548,396.000000,396.000000
다사640544,395.000000,395.000000
다사631539,624.000000,624.000000
다사645562,411.000000,411.000000
다사639554,1327.000000,1327.000000
다사624551,302.000000,302.000000
다사629550,325.000000,325.000000
다사636545,374.000000,374.000000
다사625542,807.000000,807.000000
다사643550,151.000000,151.000000
다사629558,177.000000,177.000000
다사629560,557.000000,557.000000
다사640532,366.000000,366.000000
다사642549,386.000000,386.000000
다사642565,691.000000,691.000000
다사625557,499.000000,499.000000
다사624572,464.000000,464.000000
다사635577,441.000000,441.000000
다사629548,167.000000,167.000000
다사628574,212.000000,212.000000
다사624563,610.000000,610.000000
다사660560,11.000000,11.000000
다사646566,206.000000,206.000000
다사627561,458.000000,458.000000
다사643552,431.000000,431.000000
다사650558,308.000000,308.000000
다사635575,585.000000,585.000000
다사636538,352.000000,352.000000
다사626563,187.000000,187.000000
다사642546,385.000000,385.000000
다사630577,564.000000,564.000000
다사640570,129.000000,129.000000
다사642569,391.000000,391.000000
다사648560,160.000000,160.000000
다사628535,293.000000,293.000000
다사634558,393.000000,393.000000
다사643564,1202.000000,1202.000000
다사626561,438.000000,438.000000
다사643543,129.000000,129.000000
다사645572,114.000000,114.000000
다사652576,733.000000,733.000000
다사633544,401.000000,401.000000
다사641543,282.000000,282.000000
다사652556,287.000000,287.000000
다사630575,406.000000,406.000000
다사643569,237.000000,237.000000
다사626568,361.000000,361.000000
다사638539,403.000000,403.000000
다사639542,520.000000,520.000000
다사638574,805.000000,805.000000
다사646561,113.000000,113.000000
다사647550,317.000000,317.000000
다사651568,8.000000,8.000000
다사631547,352.000000,352.000000
다사650576,0.000000,0.000000
다사655558,350.000000,350.000000
다사635553,17.000000,17.000000
다사639559,427.000000,427.000000
다사625559,0.000000,0.000000
다사629549,355.000000,355.000000
다사638531,505.000000,505.000000
다사629546,276.000000,276.000000
다사634535,161.000000,161.000000
다사638538,478.000000,478.000000
다사646551,89.000000,89.000000
다사634577,36.000000,36.000000
다사639562,175.000000,175.000000
다사641554,355.000000,355.000000
다사625551,384.000000,384.000000
다사628541,321.000000,321.000000
다사631568,27.000000,27.000000
다사633549,428.000000,428.000000
다사626546,335.000000,335.000000
다사633552,417.000000,417.000000
다사645546,416.000000,416.000000
다사631544,472.000000,472.000000
다사636537,129.000000,129.000000
다사626542,414.000000,414.000000
다사638557,316.000000,316.000000
다사633524,10.000000,10.000000
다사643556,217.000000,217.000000
다사627548,357.000000,357.000000
다사644567,399.000000,399.000000
