라벨,lon,lat
1,126.92583475,37.50153037
2,127.0478546,37.52638674
4,126.963793,37.57201618
5,126.8356012,37.53439577
7,127.0302531,37.62546842
22,126.90356695,37.457242414999996
23,126.9898196,37.5748253
25,127.1271962,37.50503334
26,127.0156466,37.607835505
29,126.8365573,37.554684555
36,127.0062859,37.48024849
44,126.9688853,37.48909958
45,127.0363222,37.56058668
52,127.0178631,37.61729701
54,127.1362977,37.496039335
77,127.04278925,37.523656515
84,127.04587509999999,37.48312685
119,127.0377134,37.520042355
127,127.0673077,37.493562085
144,126.9124039,37.48073062
