gid,lon,lat
다사641561,"127.0938479000","37.6040721500"
다사633553,"127.0848249000","37.5968300000"
다사629556,"127.0802785000","37.5995179500"
다사641563,"127.0938381000","37.6058748100"
다사633554,"127.0848198000","37.5977313200"
다사633552,"127.0848299000","37.5959286700"
다사651576,"127.1051054000","37.6176305200"
다사641562,"127.0938430000","37.6049734800"
다사631555,"127.0825492000","37.5986246600"
다사632553,"127.0836921000","37.5968260000"
다사641565,"127.0938283000","37.6076774700"
다사627571,"127.0779365000","37.6130297600"
다사632552,"127.0836971000","37.5959246800"
다사632555,"127.0836820000","37.5986286600"
다사641566,"127.0938234000","37.6085787900"
다사642561,"127.0949808000","37.6040760500"
다사632554,"127.0836871000","37.5977273300"
다사626570,"127.0768086000","37.6121243800"
다사633555,"127.0848148000","37.5986326500"
다사641567,"127.0938185000","37.6094801200"
다사627570,"127.0779416000","37.6121284400"
다사641564,"127.0938332000","37.6067761400"
다사634569,"127.0858777000","37.6112552100"
다사635570,"127.0870057000","37.6121605100"
다사639567,"127.0915526000","37.6094723000"
다사640565,"127.0926954000","37.6076735600"
다사639566,"127.0915575000","37.6085709700"
다사636568,"127.0881487000","37.6103618100"
다사636567,"127.0881536000","37.6094604900"
다사640567,"127.0926856000","37.6094762100"
다사638567,"127.0904196000","37.6094683700"
다사651578,"127.1050959000","37.6194331800"
다사635569,"127.0870107000","37.6112591800"
다사636569,"127.0881437000","37.6112631400"
다사637568,"127.0892817000","37.6103657600"
다사640566,"127.0926905000","37.6085748900"
다사578514,"127.0227465000","37.5614427900"
다사572518,"127.0159298000","37.5650204300"
다사532522,"126.9706129000","37.5684313100"
다사570515,"127.0136828000","37.5623071500"
다사571515,"127.0148150000","37.5623118100"
다사571514,"127.0148209000","37.5614104800"
다사525512,"126.9627513000","37.5593823200"
다사576514,"127.0204821000","37.5614336100"
다사570513,"127.0136945000","37.5605045000"
다사572519,"127.0159240000","37.5659217500"
다사570514,"127.0136887000","37.5614058200"
다사552522,"126.9932596000","37.5685306900"
다사536513,"126.9751991000","37.5603396600"
다사525504,"126.9628030000","37.5521717800"
다사574508,"127.0182524000","37.5560164400"
다사531522,"126.9694805000","37.5684262200"
다사533522,"126.9717452000","37.5684363800"
다사526504,"126.9639351000","37.5521769200"
다사530522,"126.9683482000","37.5684211300"
다사525503,"126.9628095000","37.5512704600"
다사551532,"126.9920661000","37.5775390200"
다사548528,"126.9886933000","37.5739190800"
다사548531,"126.9886748000","37.5766230300"
다사552522,"126.9932596000","37.5685306900"
다사549530,"126.9898134000","37.5757266200"
다사532534,"126.9705363000","37.5792471100"
다사546528,"126.9864284000","37.5739092500"
다사526525,"126.9637995000","37.5711045900"
다사525527,"126.9626542000","37.5729020800"
다사546530,"126.9864161000","37.5757118800"
다사526526,"126.9637930000","37.5720059100"
다사550528,"126.9909581000","37.5739288700"
다사564533,"127.0067823000","37.5785027700"
다사527527,"126.9649190000","37.5729123600"
다사563532,"127.0056558000","37.5775967100"
다사529523,"126.9672094000","37.5693173400"
다사563533,"127.0056498000","37.5784980300"
다사525528,"126.9626477000","37.5738033900"
다사527526,"126.9649254000","37.5720110500"
다사527530,"126.9648996000","37.5756163100"
다사527528,"126.9649125000","37.5738136800"
다사527524,"126.9649383000","37.5702084200"
다사562531,"127.0045293000","37.5766906400"
다사533522,"126.9717452000","37.5684363800"
다사525526,"126.9626606000","37.5720007600"
다사546529,"126.9864223000","37.5748105600"
다사523527,"126.9603894000","37.5728917500"
다사549531,"126.9898073000","37.5766279300"
다사527529,"126.9649061000","37.5747150000"
다사535534,"126.9739338000","37.5792623000"
다사528526,"126.9660578000","37.5720161800"
다사552543,"126.9931313000","37.5874583900"
다사526529,"126.9637736000","37.5747098600"
다사562532,"127.0045233000","37.5775919700"
다사528523,"126.9660771000","37.5693122300"
다사550527,"126.9909643000","37.5730275500"
다사533534,"126.9716688000","37.5792521800"
다사525525,"126.9626671000","37.5710994500"
다사528532,"126.9660192000","37.5774240700"
다사524525,"126.9615347000","37.5710942900"
다사564532,"127.0067883000","37.5776014500"
