,행정동,격자수
0,신내1동,340
1,망우3동,128
2,중화1동,64
3,묵1동,163
4,면목7동,116
5,망우본동,269
6,묵2동,84
7,중화2동,85
8,면목2동,93
9,상봉1동,118
10,면목5동,64
11,면목3·8동,134
12,면목4동,88
13,신내2동,61
14,상봉2동,59
15,면목본동,82
16,중곡3동,80
17,휘경2동,151
18,중곡4동,269
19,이문2동,104
20,휘경1동,74
21,이문1동,125
22,장안2동,96
23,소공동,113
24,약수동,88
25,중림동,100
26,명동,91
27,필동,173
28,청구동,42
29,을지로동,37
30,신당동,45
31,신당5동,63
32,장충동,129
33,다산동,57
34,황학동,40
35,회현동,132
36,광희동,75
37,동화동,27
38,숭인2동,56
39,창신1동,58
40,사직동,154
41,종로1·2·3·4가동,272
42,종로5·6가동,81
43,교남동,52
44,금호2·3가동,48
45,평창동,1042
46,혜화동,134
47,가회동,55
48,청운효자동,226
49,이화동,94
50,부암동,307
51,창신3동,28
52,창신2동,19
53,삼청동,211
54,무악동,69
55,숭인1동,35
56,정릉3동,335
57,용신동,178
58,진관동,1222
59,녹번동,245
60,대조동,68
61,불광2동,104
62,응암3동,83
63,갈현1동,126
64,역촌동,86
65,불광1동,323
66,구산동,148
67,응암1동,138
68,증산동,124
69,신사1동,107
70,신사2동,114
71,수색동,178
72,응암2동,96
73,갈현2동,106
74,이촌2동,163
75,용문동,26
76,효창동,86
77,이촌1동,365
78,한강로동,237
79,원효로1동,54
80,한남동,326
81,서빙고동,324
82,용산2가동,221
83,보광동,83
84,원효로2동,118
85,이태원2동,76
86,후암동,94
87,이태원1동,73
88,남영동,113
89,청파동,76
90,당산1동,98
91,영등포동,109
92,신길6동,100
93,여의동,857
94,신길5동,57
95,문래동,143
96,양평1동,90
97,신길3동,75
98,대림3동,71
99,신길7동,70
100,대림2동,54
101,영등포본동,94
102,대림1동,62
103,신길1동,91
104,도림동,38
105,양평2동,228
106,당산2동,169
107,신길4동,32
108,구로5동,119
109,구로4동,69
110,구로3동,168
111,신도림동,167
112,목2동,155
113,서강동,144
114,염창동,183
115,목5동,186
116,목1동,202
117,용강동,118
118,망원1동,125
119,상암동,906
120,합정동,227
121,신수동,86
122,신정2동,80
123,도화동,55
124,신월3동,114
125,신월5동,102
126,신정1동,98
127,신월2동,95
128,신월1동,107
129,신정3동,310
130,신정4동,105
131,신월6동,55
132,신정6동,124
133,신월4동,48
134,목4동,75
135,목3동,90
136,신정7동,149
137,신월7동,138
138,송파1동,78
139,위례동,246
140,마천2동,92
141,오륜동,365
142,방이2동,89
143,잠실6동,144
144,거여2동,78
145,문정1동,65
146,송파2동,64
147,풍납2동,269
148,잠실본동,108
149,가락1동,116
150,방이1동,83
151,석촌동,109
152,문정2동,206
153,거여1동,76
154,잠실2동,256
155,삼전동,90
156,가락2동,82
157,오금동,160
158,잠실7동,60
159,가락본동,111
160,마천1동,64
161,장지동,125
162,잠실3동,113
163,풍납1동,153
164,잠실4동,68
165,광장동,278
166,수서동,187
167,자양2동,187
168,구의3동,134
169,삼성1동,242
170,세곡동,667
171,대치2동,180
172,자양3동,132
173,일원2동,162
174,일원1동,132
175,장위1동,96
176,월곡2동,137
177,석관동,142
178,길음1동,88
179,장위2동,68
180,동선동,48
181,정릉1동,56
182,정릉4동,406
183,안암동,148
184,제기동,120
185,보문동,45
186,정릉2동,118
187,청량리동,155
188,성북동,242
189,월곡1동,109
190,돈암1동,72
191,종암동,109
192,삼선동,78
193,돈암2동,83
194,길음2동,75
195,장위3동,106
196,송중동,95
197,회기동,114
198,왕십리도선동,67
199,성수1가2동,78
200,응봉동,61
201,송정동,108
202,용답동,266
203,성수1가1동,237
204,마장동,143
205,금호1가동,44
206,성수2가1동,165
207,왕십리2동,43
208,성수2가3동,119
209,사근동,132
210,행당1동,58
211,옥수동,176
212,금호4가동,98
213,행당2동,42
214,장안1동,123
215,서초2동,158
216,양재2동,852
217,반포3동,100
218,방배1동,77
219,양재1동,612
220,반포4동,119
221,방배2동,196
222,남현동,369
223,서초3동,326
224,방배3동,217
225,내곡동,1394
226,서초1동,176
227,반포2동,144
228,잠원동,235
229,서초4동,101
230,반포1동,104
231,방배4동,70
232,방배본동,63
233,반포본동,97
234,사당2동,282
235,사당1동,111
236,개포4동,128
237,연희동,271
238,남가좌1동,85
239,신촌동,322
240,홍제3동,128
241,홍은1동,130
242,천연동,100
243,충현동,114
244,홍은2동,196
245,홍제2동,47
246,북아현동,55
247,북가좌2동,56
248,남가좌2동,72
249,북가좌1동,69
250,홍제1동,152
251,공덕동,92
252,서교동,192
253,성산2동,189
254,망원2동,71
255,성산1동,76
256,아현동,47
257,대흥동,95
258,연남동,57
259,염리동,45
260,상도3동,103
261,신대방2동,107
262,노량진1동,119
263,상도1동,211
264,사당5동,79
265,신대방1동,87
266,노량진2동,80
267,상도4동,81
268,상도2동,86
269,흑석동,167
270,사당4동,53
271,대방동,127
272,사당3동,115
273,신사동,274
274,성현동,48
275,신림동,36
276,답십리2동,96
277,전농1동,113
278,답십리1동,49
279,전농2동,89
280,중곡1동,84
281,도봉1동,866
282,창5동,47
283,창1동,156
284,쌍문2동,74
285,방학1동,138
286,쌍문3동,49
287,쌍문1동,115
288,창2동,54
289,창3동,66
290,방학3동,164
291,도봉2동,141
292,우이동,1211
293,쌍문4동,55
294,방학2동,124
295,창4동,167
296,번1동,106
297,수유3동,76
298,번2동,126
299,수유2동,93
300,번3동,114
301,상계6·7동,126
302,상계9동,59
303,공릉1동,91
304,상계3·4동,504
305,중계본동,228
306,공릉2동,743
307,중계2·3동,66
308,월계2동,175
309,상계1동,586
310,하계1동,165
311,중계1동,63
312,상계8동,66
313,중계4동,164
314,상계5동,99
315,상계10동,62
316,상계2동,75
317,월계1동,115
318,하계2동,49
319,월계3동,116
320,독산3동,136
321,시흥3동,139
322,가리봉동,64
323,시흥1동,167
324,시흥2동,186
325,독산1동,228
326,독산4동,51
327,독산2동,78
328,시흥4동,96
329,시흥5동,110
330,가산동,273
331,구로1동,146
332,개봉2동,105
333,고척1동,127
334,고척2동,96
335,수궁동,282
336,오류2동,303
337,개봉1동,85
338,개봉3동,98
339,오류1동,95
340,구로2동,121
341,항동,156
342,군자동,73
343,구의1동,65
344,화양동,133
345,자양1동,62
346,중곡2동,63
347,능동,98
348,자양4동,106
349,구의2동,138
350,청룡동,91
351,인헌동,104
352,난향동,85
353,은천동,71
354,미성동,102
355,삼성동,213
356,서림동,113
357,청림동,29
358,행운동,71
359,낙성대동,264
360,신원동,60
361,대학동,864
362,난곡동,105
363,서원동,89
364,조원동,49
365,보라매동,77
366,중앙동,46
367,발산1동,298
368,화곡4동,63
369,방화1동,143
370,화곡2동,56
371,화곡6동,95
372,방화2동,656
373,공항동,1169
374,화곡3동,55
