"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"39052","11260UQ152PS202203170007","UQS500","UQS510"," ","UQS510","11260URZ202112160012","11260NTC202112160004","일반철도(경춘선)","11260","①","EMA0009","2022-03-17 00:00:00.0","49551.73238729","5203.38819598"
"39053","11260UQ152PS202203170008","UQS200","UQS290"," ","UQS290","11260URZ202112160013","11260NTC202112160004","주차장","11260","①","EMA0009","2022-03-17 00:00:00.0","1215.85130706","136.87335676"
"39054","11260UQ152PS202203170009","UQS200","UQS201"," ","UQS201","11260URZ202112160014","11260NTC202112160004","주차장","11260","②","EMA0009","2022-03-17 00:00:00.0","688.10794415","105.60318006"
"39055","11260UQ152PS202203170010","UQS200","UQS290"," ","UQS290","11260URZ202112160015","11260NTC202112160004","주차장","11260","③","EMA0009","2022-03-17 00:00:00.0","684.46000274","101.45787109"
"39056","11650UQ152PS202203250002","UQS500","UQSA52"," ","UQSA52","11650URZ202203140002","11650NTC202203140005","도시철도(고속터미널역)","11650"," ","EMA0009","2022-03-25 00:00:00.0","6363.61155056","696.10784497"
"39361","11000UQ152PS201912151510","UQS500","UQSA54"," ","UQSA54","11000URZ199705166328","11000NTC199705166956","7호선 환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","10.99799517","19.24121487"
"39362","11000UQ152PS201912151511","UQS500","UQSA54"," ","UQSA54","11000URZ200712061001","11000NTC200712061655","환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","866.91611594","143.90597917"
"39363","11000UQ152PS201912151512","UQS500","UQSA54"," ","UQSA54","11000URZ000000001521"," ","환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","19.49927749","18.12367624"
"39364","11000UQ152PS201912151513","UQS500","UQSA54"," ","UQSA54","11000URZ000000001521"," ","환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","109.66930226","42.08662088"
"39365","11000UQ152PS201912151514","UQS500","UQSA54"," ","UQSA54","11000URZ000000001521"," ","환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","358.40428317","92.01954007"
"39366","11000UQ152PS201912151515","UQS500","UQSA54"," ","UQSA54","11000URZ000000001521"," ","환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","349.65844139","74.78283264"
"39367","11000UQ152PS201912151516","UQS500","UQSA54"," ","UQSA54","11000URZ000000001521"," ","환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","284.98803015","81.07511969"
"39368","11000UQ152PS201912151517","UQS500","UQSA54"," ","UQSA54","11000URZ000000001521"," ","환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","66.00556145","39.35386567"
"39369","11000UQ152PS201912151518","UQS500","UQSA54"," ","UQSA54","11000URZ000000001521"," ","환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","29.89181213","28.10753605"
"39370","11000UQ152PS201912151519","UQS500","UQSA54"," ","UQSA54","11000URZ199303247355","11000NTC199303243684","3호선 본선환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","248.01248864","64.17247314"
"39371","11620UQ152PS202201140001","UQS500","UQSA52"," ","UQSA52","11620URZ202112160001","11000NTC202112160001","신림역 정차장","11620","⑥","EMA0009","2022-01-14 00:00:00.0","5782.61741523","1087.27117836"
"39372","11620UQ152PS202201140002","UQS500","UQSA52"," ","UQSA52","11620URZ202112160001","11000NTC202112160001","신림역 정차장","11620","⑥","EMA0009","2022-01-14 00:00:00.0","5782.61741523","1087.27117836"
"39373","11200UQ152PS202204270001","UQS200","UQS290"," ","UQS290","11200URZ202202210001","11000NTC202203250008","주차장","11200"," ","EMA0009","2022-04-27 00:00:00.0","421.34203900","81.50671008"
"39374","11590UQ152PS202110190003","UQS500","UQSA52"," ","UQSA52","11590URZ202110140002","11590NTC202110140002","남성정거장(7호선)","11590"," ","EMA0009","2021-10-19 00:00:00.0","5123.44249460","674.09109477"
"39375","11230UQ152PS202112290001","UQS500","UQSA52"," ","UQSA52","11230URZ202112290001","11230NTC202112290001","지하철역사","11230","①","EMA0009","2021-12-29 00:00:00.0","4949.09842506","1102.37165875"
"39376","11650UQ152PS202204220001","UQS500","UQSA52"," ","UQSA52","11650URZ202204190001","11650NTC202204190001","도시철도(지하철2호선 교대역 11번 출구)","11650"," ","EMA0009","2022-04-22 00:00:00.0","5849.67632249","783.98808756"
"39377","11650UQ152PS202111120001","UQS200","UQS290"," ","UQS290","11650URZ202106010002","11650NTC202111110003","주차장","11650","3","EMA0009","2021-11-12 00:00:00.0","2582.13755035","263.14881611"
"39378","11230UQ152PS202112280001","UQS200","UQS210"," ","UQS210","11230URZ202111290002","11230NTC202112210001","주차장","11230"," ","EMA0009","2021-12-28 00:00:00.0","5000.02089171","280.36028893"
"39379","11000UQ152PS201912150300","UQS200","UQS290"," ","UQS290","11000URZ201212063898","11000NTC201212066691","주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","3980.40945116","338.85391955"
"39380","11000UQ152PS201912150301","UQS200","UQS290"," ","UQS290","11000URZ200904092730","11000NTC200904093164","주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","3216.36012871","232.69708627"
"39381","11000UQ152PS201912150302","UQS200","UQS290"," ","UQS290","11000URZ200303318467","11000NTC200303314036","기타주차장시설","11000"," ","EMA0009","2019-12-15 00:00:00.0","561.52914295","105.12768301"
"39382","11000UQ152PS201912150303","UQS200","UQS290"," ","UQS290","11000URZ199603072270","11000NTC199603075866","주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","1670.41993716","354.10331765"
"39383","11000UQ152PS201912150304","UQS200","UQS210"," ","UQS210","11000URZ199701154447","11000NTC199701156647","노외주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","782.55891308","136.06971587"
"39384","11000UQ152PS201912150305","UQS200","UQS290"," ","UQS290","11000URZ200804178886","11000NTC200804171924","주차장","11000","①","EMA0009","2019-12-15 00:00:00.0","1418.28257426","153.62215608"
"39385","11000UQ152PS201912150397","UQS200","UQS210"," ","UQS210","11000URZ199504030638","11000NTC199504035148","노외주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","10506.13339440","410.08806922"
"39386","11000UQ152PS201912150398","UQS200","UQS210"," ","UQS210","11000URZ200309059593","11000NTC200309054816","노외주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","891.59721674","121.78112417"
"39387","11000UQ152PS201912150400","UQS200","UQS290"," ","UQS290","11000URZ000000001521"," ","주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","421.99639807","88.59708507"
"39388","11000UQ152PS201912150401","UQS200","UQS210"," ","UQS210","11000URZ201704203466","11000NTC201704208087","주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","208.88804330","57.84216928"
"39389","11000UQ152PS201912150402","UQS200","UQS290"," ","UQS290","11000URZ199512221183","11000NTC199512225691","주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","325.91377235","73.50939706"
"39390","11000UQ152PS201912150403","UQS200","UQS290"," ","UQS290","11000URZ201701269198","11000NTC201701268003","주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","1909.13399692","189.09551817"
"39391","11000UQ152PS201912150404","UQS200","UQS290"," ","UQS290","11000URZ201107217523","11000NTC201107216175","주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","884.18596626","126.24237493"
"39392","11000UQ152PS201912150405","UQS200","UQS210"," ","UQS210","11000URZ200112222953","11000NTC200112221851","노외주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","455.15558342","86.34362059"
"39393","11000UQ152PS201912150406","UQS200","UQS210"," ","UQS210","11000URZ201609229626","11000NTC201609227879","주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","230.88177599","60.17418791"
"39394","11000UQ152PS201912150407","UQS200","UQS210"," ","UQS210","11000URZ200309259820","11000NTC200309254899","노외주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","404.25062842","87.59960907"
"39395","11000UQ152PS201912150225","UQS200","UQS290"," ","UQS290","11000URZ200110121878","11000NTC200110121434","기타주차장시설","11000"," ","EMA0009","2019-12-15 00:00:00.0","1291.14023984","192.94425213"
"39396","11000UQ152PS201912150226","UQS200","UQS210"," ","UQS210","11000URZ201110198883","11000NTC201110196273","주차장","11000","3","EMA0009","2019-12-15 00:00:00.0","1643.13238625","172.96200077"
"39397","11000UQ152PS201912150227","UQS200","UQS290"," ","UQS290","11000URZ200204103930","11000NTC200204102359","기타주차장시설","11000"," ","EMA0009","2019-12-15 00:00:00.0","1041.38589799","128.72622253"
"39398","11000UQ152PS201912150228","UQS200","UQS290"," ","UQS290","11000URZ000000001521"," ","주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","86.60473427","42.25839641"
"39399","11000UQ152PS201912150230","UQS200","UQS210"," ","UQS210","11000URZ200712244001","11000NTC200712241691","노외주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","1852.84576059","178.31460166"
"39400","11000UQ152PS201912150231","UQS200","UQS290"," ","UQS290","11000URZ200605110912","11000NTC200605110057","주차장","11000","②","EMA0009","2019-12-15 00:00:00.0","2295.98044099","187.58132554"
"39401","11000UQ152PS201912150232","UQS200","UQS210"," ","UQS210","11000URZ200709058699","11000NTC200709051402","노외주차장","11000","3","EMA0009","2019-12-15 00:00:00.0","768.71703313","146.90352677"
"39402","11000UQ152PS201912150233","UQS200","UQS290"," ","UQS290","11000URZ200304087315","11000NTC200304084071","기타주차장시설","11000"," ","EMA0009","2019-12-15 00:00:00.0","2286.11298322","216.93556942"
"39403","11000UQ152PS201912150234","UQS200","UQS290"," ","UQS290","11000URZ000000001521"," ","주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","7958.35828240","386.92965391"
