,gid,행정동,공공_문화체육,유통_공급시설,환경기초시설
0,다사350508,공항동,0,0,0
1,다사350509,공항동,0,0,0
2,다사351507,공항동,0,0,0
3,다사351508,공항동,0,0,0
4,다사351509,공항동,0,0,0
5,다사351510,공항동,0,0,0
6,다사352505,공항동,0,0,0
7,다사352506,공항동,0,0,0
8,다사352507,공항동,0,0,0
9,다사352508,공항동,0,0,0
10,다사352509,공항동,0,0,0
11,다사352510,공항동,0,0,0
12,다사353504,공항동,0,0,0
13,다사353505,공항동,0,0,0
14,다사353506,공항동,0,0,0
15,다사353507,공항동,0,0,0
16,다사353508,공항동,0,0,0
17,다사353509,공항동,0,0,0
18,다사353510,공항동,0,0,0
19,다사354504,공항동,0,0,0
20,다사354505,공항동,0,0,0
21,다사354506,공항동,0,0,0
22,다사354507,공항동,0,0,0
23,다사354508,공항동,0,0,0
24,다사354509,공항동,0,0,0
25,다사354510,공항동,0,0,0
26,다사354511,공항동,0,0,0
27,다사355502,공항동,0,0,0
28,다사355503,공항동,0,0,0
29,다사355504,공항동,0,0,0
30,다사355505,공항동,0,0,0
31,다사355506,공항동,0,0,0
32,다사355507,공항동,0,0,0
33,다사355508,공항동,0,0,0
34,다사355509,공항동,0,0,0
35,다사355510,공항동,0,0,0
36,다사355511,공항동,0,0,0
37,다사356501,공항동,0,0,0
38,다사356502,공항동,0,0,0
39,다사356503,공항동,0,0,0
40,다사356504,공항동,0,0,0
41,다사356505,공항동,0,0,0
42,다사356506,공항동,0,0,0
43,다사356507,공항동,0,0,0
44,다사356508,공항동,0,0,0
45,다사356509,공항동,0,0,0
46,다사356510,공항동,0,0,0
47,다사356511,공항동,0,0,0
48,다사356512,공항동,0,0,0
49,다사357501,공항동,0,0,0
50,다사357502,공항동,0,0,0
51,다사357503,공항동,0,0,0
52,다사357504,공항동,0,0,0
53,다사357505,공항동,0,0,0
54,다사357506,공항동,0,0,0
55,다사357507,공항동,0,0,0
56,다사357508,공항동,0,0,0
57,다사357509,공항동,0,0,0
58,다사357510,공항동,0,0,0
59,다사357511,공항동,0,0,0
60,다사357512,공항동,0,0,0
61,다사357513,공항동,0,0,0
62,다사358501,공항동,0,0,0
63,다사358502,공항동,0,0,0
64,다사358503,공항동,0,0,0
65,다사358504,공항동,0,0,0
66,다사358505,공항동,0,0,0
67,다사358506,공항동,0,0,0
68,다사358507,공항동,0,0,0
69,다사358508,공항동,0,0,0
70,다사358509,공항동,0,0,0
71,다사358510,공항동,0,0,0
72,다사358511,공항동,0,0,0
73,다사358512,공항동,0,0,0
74,다사358513,공항동,0,0,0
75,다사358514,공항동,0,0,0
76,다사359501,공항동,0,0,0
77,다사359502,공항동,0,0,0
78,다사359503,공항동,0,0,0
79,다사359504,공항동,0,0,0
